logged_at,reason,name,title,url,query
2026-04-25T10:50:28.574157Z,non_org_title,"List of Ngos, Charities and non-profits in Croatia - NGO Base","List of Ngos, Charities and non-profits in Croatia - NGO Base",,"""List of Ngos, Charities and non-profits in Croatia - NGO Base"" ""Croatia"" organization"
2026-04-25T10:50:29.127391Z,missing_url,HR/croatia-ngos,HR/croatia-ngos,,"""HR/croatia-ngos"" ""Croatia"" organization"
2026-04-25T10:50:29.674062Z,non_org_title,List of NGOs in Croatia - GlobalGiving Atlas,List of NGOs in Croatia - GlobalGiving Atlas,,"""List of NGOs in Croatia - GlobalGiving Atlas"" ""Croatia"" organization"
2026-04-25T10:50:30.225105Z,missing_url,Support to the work of associations - gov.hr,Support to the work of associations - gov.hr,,"""Support to the work of associations - gov.hr"" ""Croatia"" organization"
2026-04-25T10:50:30.768905Z,missing_url,Office for Cooperation with NGOs - Home - udruge,Office for Cooperation with NGOs - Home - udruge,,"""Office for Cooperation with NGOs - Home - udruge"" ""Croatia"" organization"
2026-04-25T10:50:31.321057Z,missing_url,EU Programmes Swiss,EU Programmes Swiss,,"""EU Programmes Swiss"" ""Croatia"" organization"
2026-04-25T10:50:31.856530Z,non_org_title,Associations and NGO in Croatia - Expat.com,Associations and NGO in Croatia - Expat.com,,"""Associations and NGO in Croatia - Expat.com"" ""Croatia"" organization"
2026-04-25T10:50:32.399699Z,non_org_title,"List of associations and NGOs in Croatia, non","List of associations and NGOs in Croatia, non",,"""List of associations and NGOs in Croatia, non"" ""Croatia"" organization"
2026-04-25T10:50:32.939226Z,missing_url,5 Charities Operating in Croatia - The Borgen Project,5 Charities Operating in Croatia - The Borgen Project,,"""5 Charities Operating in Croatia - The Borgen Project"" ""Croatia"" organization"
2026-04-25T10:50:33.508788Z,missing_url,PDF 202 CIVIL SOCIETY ORGANIZATION SUSTAINABILITY INDE - Ceraneo,PDF 202 CIVIL SOCIETY ORGANIZATION SUSTAINABILITY INDE - Ceraneo,,"""PDF 202 CIVIL SOCIETY ORGANIZATION SUSTAINABILITY INDE - Ceraneo"" ""Croatia"" organization"
2026-04-25T10:50:34.092385Z,missing_url,CIVIL-SOCIETY-INDEX-IN-CROATIA-FOR,CIVIL-SOCIETY-INDEX-IN-CROATIA-FOR,,"""CIVIL-SOCIETY-INDEX-IN-CROATIA-FOR"" ""Croatia"" organization"
2026-04-25T10:50:34.637104Z,non_org_title,List Of Non-profit organizations in Croatia (Hrvatska),List Of Non-profit organizations in Croatia (Hrvatska),,"""List Of Non-profit organizations in Croatia (Hrvatska)"" ""Croatia"" organization"
2026-04-25T10:50:35.174971Z,missing_url,Non-profit organizations in Croatia,Non-profit organizations in Croatia,,"""Non-profit organizations in Croatia"" ""Croatia"" organization"
