logged_at,reason,name,title,url,query
2026-04-24T19:55:16.413242Z,non_org_title,"List of Ngos, Charities and non-profits in Japan - NGO Base","List of Ngos, Charities and non-profits in Japan - NGO Base",,"""List of Ngos, Charities and non-profits in Japan - NGO Base"" ""Japan"" organization"
2026-04-24T19:55:16.953191Z,missing_url,JP/japan-ngos,JP/japan-ngos,,"""JP/japan-ngos"" ""Japan"" organization"
2026-04-24T19:55:17.495533Z,non_org_title,List of Japanese NGO Websites - GDRC,List of Japanese NGO Websites - GDRC,,"""List of Japanese NGO Websites - GDRC"" ""Japan"" organization"
2026-04-24T19:55:18.192461Z,missing_url,Resources | Japan NPO Center,Resources | Japan NPO Center,,"""Resources | Japan NPO Center"" ""Japan"" organization"
2026-04-24T19:55:18.737434Z,missing_url,Organizations English websites of major national,Organizations English websites of major national,,"""Organizations English websites of major national"" ""Japan"" organization"
2026-04-24T19:55:19.290036Z,non_org_title,List of NGOs in Japan - GlobalGiving Atlas,List of NGOs in Japan - GlobalGiving Atlas,,"""List of NGOs in Japan - GlobalGiving Atlas"" ""Japan"" organization"
2026-04-24T19:55:19.830771Z,missing_url,The Largest Non-Profit Organisations of Japan,The Largest Non-Profit Organisations of Japan,,"""The Largest Non-Profit Organisations of Japan"" ""Japan"" organization"
2026-04-24T19:55:20.389078Z,missing_url,"Based on Wikidata, here","Based on Wikidata, here",,"""Based on Wikidata, here"" ""Japan"" organization"
2026-04-24T19:55:20.945029Z,missing_url,JANIC - Japan NGO Center for International Cooperation Japan NGO Center,JANIC - Japan NGO Center for International Cooperation Japan NGO Center,,"""JANIC - Japan NGO Center for International Cooperation Japan NGO Center "" ""Japan"" organization"
2026-04-24T19:55:21.501309Z,missing_url,Japan NGO Center for International Cooperation JANIC,Japan NGO Center for International Cooperation JANIC,,"""Japan NGO Center for International Cooperation JANIC"" ""Japan"" organization"
2026-04-24T19:55:22.072356Z,non_org_title,PDF Data Book on NGOs in Japan 2021 NGOs in Figures,PDF Data Book on NGOs in Japan 2021 NGOs in Figures,,"""PDF Data Book on NGOs in Japan 2021 NGOs in Figures"" ""Japan"" organization"
2026-04-24T19:55:22.645885Z,missing_url,"In Japan, non","In Japan, non",,"""In Japan, non"" ""Japan"" organization"
2026-04-24T19:55:23.279421Z,missing_url,団体概要 | SDGsジャパン,団体概要 | SDGsジャパン,,"""団体概要 | SDGsジャパン"" ""Japan"" organization"
2026-04-24T19:55:23.827893Z,missing_url,The SDGs Civil Society Network,The SDGs Civil Society Network,,"""The SDGs Civil Society Network"" ""Japan"" organization"
2026-04-24T19:55:24.381757Z,non_org_title,PDF Chapter 1 Civil Society and NGOs in Japan,PDF Chapter 1 Civil Society and NGOs in Japan,,"""PDF Chapter 1 Civil Society and NGOs in Japan"" ""Japan"" organization"
2026-04-24T19:55:24.944358Z,missing_url,"Hirata, Keiko","Hirata, Keiko",,"""Hirata, Keiko"" ""Japan"" organization"
