logged_at,reason,name,title,url,query
2026-04-24T11:54:10.689216Z,non_org_title,"List of Ngos, Charities and non-profits in South Korea - NGO Base","List of Ngos, Charities and non-profits in South Korea - NGO Base",,"""List of Ngos, Charities and non-profits in South Korea - NGO Base"" ""South Korea"" organization"
2026-04-24T11:54:11.245814Z,missing_url,KR/south-korea-ngos,KR/south-korea-ngos,,"""KR/south-korea-ngos"" ""South Korea"" organization"
2026-04-24T11:54:11.809215Z,non_org_title,Below is a list of Non,Below is a list of Non,,"""Below is a list of Non"" ""South Korea"" organization"
2026-04-24T11:54:12.366311Z,missing_url,Civil Society Cooperation Program,Civil Society Cooperation Program,,"""Civil Society Cooperation Program"" ""South Korea"" organization"
2026-04-24T11:54:12.910112Z,non_org_title,List Of Charities In South Korea - AAM Nation Care,List Of Charities In South Korea - AAM Nation Care,,"""List Of Charities In South Korea - AAM Nation Care"" ""South Korea"" organization"
2026-04-24T11:54:13.471324Z,missing_url,"South Korea, the community chest institution","South Korea, the community chest institution",,"""South Korea, the community chest institution"" ""South Korea"" organization"
2026-04-24T11:54:14.037587Z,non_org_title,Top 8 Nonprofit Organizations in South Korea - Apr 2026,Top 8 Nonprofit Organizations in South Korea - Apr 2026,,"""Top 8 Nonprofit Organizations in South Korea - Apr 2026"" ""South Korea"" organization"
2026-04-24T11:54:14.599825Z,non_org_title,List Of Non-profit organizations in South Korea,List Of Non-profit organizations in South Korea,,"""List Of Non-profit organizations in South Korea"" ""South Korea"" organization"
2026-04-24T11:54:15.157156Z,missing_url,Non-profit organizations which,Non-profit organizations which,,"""Non-profit organizations which"" ""South Korea"" organization"
2026-04-24T11:54:15.707696Z,non_org_title,Associations and NGO in South Korea - Expat.com,Associations and NGO in South Korea - Expat.com,,"""Associations and NGO in South Korea - Expat.com"" ""South Korea"" organization"
2026-04-24T11:54:16.272883Z,non_org_title,"List of associations and NGOs in South Korea, non","List of associations and NGOs in South Korea, non",,"""List of associations and NGOs in South Korea, non"" ""South Korea"" organization"
2026-04-24T11:54:16.859691Z,missing_url,South Korea | NGO Explorer,South Korea | NGO Explorer,,"""South Korea | NGO Explorer"" ""South Korea"" organization"
2026-04-24T11:54:17.443537Z,missing_url,South Korea NGOs and Nonprofits - GlobalGiving,South Korea NGOs and Nonprofits - GlobalGiving,,"""South Korea NGOs and Nonprofits - GlobalGiving"" ""South Korea"" organization"
2026-04-24T11:54:18.008422Z,missing_url,Non-profit organisations based in South Korea - FamousFix,Non-profit organisations based in South Korea - FamousFix,,"""Non-profit organisations based in South Korea - FamousFix"" ""South Korea"" organization"
2026-04-24T11:54:18.601688Z,missing_url,Good Neighbors is a non,Good Neighbors is a non,,"""Good Neighbors is a non"" ""South Korea"" organization"
2026-04-24T11:54:19.154277Z,missing_url,Category:Non-profit organizations based in South Korea - Wiki,Category:Non-profit organizations based in South Korea - Wiki,,"""Category:Non-profit organizations based in South Korea - Wiki"" ""South Korea"" organization"
