logged_at,reason,name,title,url,query
2026-04-27T11:10:45.637680Z,non_org_title,NGO Directory of Oman | arab.org,NGO Directory of Oman | arab.org,,"""NGO Directory of Oman | arab.org"" ""Oman"" organization"
2026-04-27T11:10:46.194089Z,non_org_title,Directory of Non,Directory of Non,,"""Directory of Non"" ""Oman"" organization"
2026-04-27T11:10:46.748859Z,non_org_title,Directory and Platform of NGOs / Charities,Directory and Platform of NGOs / Charities,,"""Directory and Platform of NGOs / Charities"" ""Oman"" organization"
2026-04-27T11:10:47.296350Z,missing_url,OM/oman-ngos,OM/oman-ngos,,"""OM/oman-ngos"" ""Oman"" organization"
2026-04-27T11:10:47.852712Z,missing_url,About the NGOs - Portal,About the NGOs - Portal,,"""About the NGOs - Portal"" ""Oman"" organization"
2026-04-27T11:10:48.408352Z,non_org_title,"List of NGOs, Charities and Nonprofits in Muscat - NGO Base","List of NGOs, Charities and Nonprofits in Muscat - NGO Base",,"""List of NGOs, Charities and Nonprofits in Muscat - NGO Base"" ""Oman"" organization"
2026-04-27T11:10:48.959896Z,missing_url,MU/muscat-ngos,MU/muscat-ngos,,"""MU/muscat-ngos"" ""Oman"" organization"
2026-04-27T11:10:49.505752Z,missing_url,Charitable Organizations - Portal,Charitable Organizations - Portal,,"""Charitable Organizations - Portal"" ""Oman"" organization"
2026-04-27T11:10:50.067881Z,missing_url,Charitable organizations are non,Charitable organizations are non,,"""Charitable organizations are non"" ""Oman"" organization"
2026-04-27T11:10:50.664397Z,non_org_title,NGO Directory | arab.org,NGO Directory | arab.org,,"""NGO Directory | arab.org"" ""Oman"" organization"
2026-04-27T11:10:51.220600Z,non_org_title,The Arab NGO Directory,The Arab NGO Directory,,"""The Arab NGO Directory"" ""Oman"" organization"
2026-04-27T11:10:51.783307Z,missing_url,Non-Profit Organizations (NGOs) and Social Impact Initiatives in Muscat,Non-Profit Organizations (NGOs) and Social Impact Initiatives in Muscat,,"""Non-Profit Organizations (NGOs) and Social Impact Initiatives in Muscat "" ""Oman"" organization"
2026-04-27T11:10:52.334190Z,non_org_title,"The Growing Landscape of NGOs in Muscat Muscat, Oman","The Growing Landscape of NGOs in Muscat Muscat, Oman",,"""The Growing Landscape of NGOs in Muscat Muscat, Oman"" ""Oman"" organization"
2026-04-27T11:10:52.881048Z,missing_url,Charitable Organizations,Charitable Organizations,,"""Charitable Organizations"" ""Oman"" organization"
2026-04-27T11:10:53.430880Z,missing_url,Oman | NGO Explorer,Oman | NGO Explorer,,"""Oman | NGO Explorer"" ""Oman"" organization"
