id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
763859,Bundesverband der Österreichischen Gärtner,AT,Austria,,Vienna,,labor/national_union,umbrella organization,https://www.gartenbau.or.at/,,,democracy,,,wikidata_unions,Q1009075,1947,,,47.52,14.55,labor_union,,2,http://www.wikidata.org/entity/Q1009075,,
764500,EBG,AT,Austria,,Wohn- und Geschäftshaus Josefstädter Straße 81–83,,land_and_housing/housing_cooperative,,https://www.ebg-wohnen.at/,,,housing_land,,,wikidata_land_trusts,Q134480029,1910,,,47.52,14.55,cooperative,,2,http://www.wikidata.org/entity/Q134480029,,
763824,Federal Association of Austrian Folk Dance,AT,Austria,,Vienna,,labor/national_union,voluntary association,https://volkstanz.at/,,,democracy,,,wikidata_unions,Q1005605,,,,47.52,14.55,labor_union,,2,http://www.wikidata.org/entity/Q1005605,,
763797,International Organization of Supreme Audit Institutions,AT,Austria,,Vienna,,labor/national_union,worldwide affiliation of governmental entities,https://www.intosai.org/,,,democracy,,,wikidata_unions,Q29774,1953,,,47.52,14.55,labor_union,,2,http://www.wikidata.org/entity/Q29774,,
764425,Siedlungsgenossenschaft Ennstal,AT,Austria,,Liezen,,land_and_housing/housing_cooperative,,https://www.wohnbaugruppe.at/,,,housing_land,,,wikidata_land_trusts,Q134548275,,,,47.52,14.55,cooperative,,2,http://www.wikidata.org/entity/Q134548275,,
763641,"Union of Private Sector Employees, Printing, Journalism, and Paper",AT,Austria,,Vienna,,labor/national_union,trade union,http://www.gpa.at,,,democracy,,,wikidata_unions,Q1308389,2006,,,47.52,14.55,labor_union,,2,http://www.wikidata.org/entity/Q1308389,,
763552,Vida,AT,Austria,,Vienna,,labor/national_union,trade union representing workers,http://www.vida.at,,,democracy,,,wikidata_unions,Q1735868,2006,,,47.52,14.55,labor_union,,2,http://www.wikidata.org/entity/Q1735868,,
764349,Wien-Süd eGenmbH,AT,Austria,,Vienna,,land_and_housing/housing_cooperative,,http://www.wiensued.at,,,housing_land,,,wikidata_land_trusts,Q15854344,1910,,,47.52,14.55,cooperative,,2,http://www.wikidata.org/entity/Q15854344,,
763838,Österreichische Gesellschaft für Nachhaltiges Bauen,AT,Austria,,Vienna,,labor/national_union,,https://www.oegnb.net/,,,democracy,,,wikidata_unions,Q329573,2009,,,47.52,14.55,labor_union,,2,http://www.wikidata.org/entity/Q329573,,
763905,Österreichischer Gewerkschaftsbund,AT,Austria,,,,labor/union_federation,"ITUC affiliate. ÖGB. 1,222,190 members.",,,,cooperatives,,,ituc_affiliates,wp:Österreichischer_Gewerkschaftsbund,,,,47.52,14.55,labor_union,"labor_union,ituc_affiliate",2,https://en.wikipedia.org/wiki/%C3%96sterreichischer_Gewerkschaftsbund,,
