id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
697665,ACMI,AU,Australia,,,,,"national museum of screen culture in Melbourne, Victoria, Australia",https://www.acmi.net.au,,,recreation_arts,,,wikidata,Q4823962,,,,-25.27,133.78,nonprofit,tier_b,3,,,
697655,ACT Heritage Library,AU,Australia,,,,,"library in Canberra, Australian Capital Territory",https://www.library.act.gov.au/find/history,,,education,,,wikidata,Q4650884,,,,-25.27,133.78,nonprofit,tier_b,3,,,
708077,AIJAC,AU,Australia,,,,,Australian–Israeli advocacy group,,,,democracy,,,wikidata,Q4651929,,,,-25.27,133.78,nonprofit,tier_b,3,,,
708283,Aboriginal Shire of Palm Island,AU,Australia,,,,,"local government area of Queensland, Australia",http://www.palmcouncil.qld.gov.au/,,,democracy,,,wikidata,Q427631,,,,-25.27,133.78,nonprofit,tier_b,3,,,
707979,Aborigines Advancement League,AU,Australia,,,,,Aboriginal rights organization in Australia,http://aal.org.au/HOME/HOME_01.html,,,democracy,,,wikidata,Q322961,,,,-25.27,133.78,nonprofit,tier_b,3,,,
697660,Albany Cottage Hospital,AU,Australia,,,,,"heritage building in Albany, Western Australia",,,,healthcare,,,wikidata,Q4709301,,,,-25.27,133.78,nonprofit,tier_b,3,,,
697835,Albury Library Museum,AU,Australia,,,,,"public library and museum in Albury, New South Wales",http://www.alburycity.nsw.gov.au/leisure-and-culture/libraries-and-museum/librarymuseum,,,education,,,wikidata,Q16868900,,,,-25.27,133.78,nonprofit,tier_b,3,,,
708205,AlburyCity Libraries,AU,Australia,,,,,library system in New South Wales,https://www.alburycity.nsw.gov.au/leisure/museum-and-libraries/locations/librarymuseum,,,education,,,wikidata,Q86159391,,,,-25.27,133.78,nonprofit,tier_b,3,,,
697627,Alice Springs Public Library,AU,Australia,,,,,"library in Northern Territory, Australia",https://alicesprings.nt.gov.au/recreation/library,,,education,,,wikidata,Q4726098,,,,-25.27,133.78,nonprofit,tier_b,3,,,
708083,Amnesty International Australia,AU,Australia,,,,,Australian section of Amnesty International,http://www.amnesty.org.au/,,,democracy,,,wikidata,Q4747375,,,,-25.27,133.78,nonprofit,tier_b,3,,,
697848,Analysis & Policy Observatory,AU,Australia,,,,,"not-for-profit open access digital library featuring research resources on public interest issues from Australia, New Zealand and international sources",http://apo.org.au/,,,education,,,wikidata,Q17022254,,,,-25.27,133.78,nonprofit,tier_b,3,,,
708074,Arena,AU,Australia,,,,,Australian publishing co-operative,https://arena.org.au,,,cooperatives,,,wikidata,Q4788862,,,,-25.27,133.78,nonprofit,tier_b,3,,,
708206,Armidale Regional Council Library,AU,Australia,,,,,library system in New South Wales,https://library.armidale.nsw.gov.au/,,,education,,,wikidata,Q86163061,,,,-25.27,133.78,nonprofit,tier_b,3,,,
708191,Aurukun Shire Council library services,AU,Australia,,,,,"library service in Aurukun Shire, Queensland, Australia",http://www.aurukun.qld.gov.au/services/cultural-services/library/,,,education,,,wikidata,Q85453678,,,,-25.27,133.78,nonprofit,tier_b,3,,,
708008,Australian Aborigines' League,AU,Australia,,,,,aboriginal Australian activist organisation founded by William Cooper in 1993,,,,democracy,,,wikidata,Q781316,,,,-25.27,133.78,nonprofit,tier_b,3,,,
708181,Australian Council For International Development,AU,Australia,,,,,independent national association of Australian non-government international aid and development organizations,https://acfid.asn.au,,,democracy,,,wikidata,Q4824045,,,,-25.27,133.78,nonprofit,tier_b,3,,,
763904,Australian Council of Trade Unions,AU,Australia,,,,labor/union_federation,"ITUC affiliate. ACTU. 1,761,400 members.",,,,cooperatives,,,ituc_affiliates,wp:Australian_Council_of_Trade_Unions,,,,-25.27,133.78,labor_union,"labor_union,ituc_affiliate",2,https://en.wikipedia.org/wiki/Australian_Council_of_Trade_Unions,,
697568,Australian Foundation for Disability,AU,Australia,,,,,Australian charitable organisation,https://www.afford.com.au/,,,democracy,,,wikidata,Q28183691,,,,-25.27,133.78,nonprofit,tier_b,3,,,
708180,Australian Green Infrastructure Council,AU,Australia,,,,,,http://www.agic.net.au/,,,democracy,,,wikidata,Q4824223,,,,-25.27,133.78,nonprofit,tier_c,3,,,
708070,Australian Human Rights Commission,AU,Australia,,,,,human rights institution of the Australian Government,https://www.humanrights.gov.au/,,,democracy,,,wikidata,Q4056090,,,,-25.27,133.78,nonprofit,tier_b,3,,,
697513,Australian League of Immigration Volunteers,AU,Australia,,,,,former Australian charitable organisation,,,,democracy,,,wikidata,Q4824378,,,,-25.27,133.78,nonprofit,tier_b,3,,,
697482,Australian Library and Information Association,AU,Australia,,,,,peak professional organization for the Australian library and information services sector,http://www.alia.org.au,,,education,,,wikidata,Q4824390,,,,-25.27,133.78,nonprofit,tier_b,3,,,
697592,Australian Literacy and Numeracy Foundation,AU,Australia,,,,,Australian charity,https://alnf.org/,,,education,,,wikidata,Q118130868,,,,-25.27,133.78,nonprofit,tier_b,3,,,
708141,Australian Marine Conservation Society,AU,Australia,,,,,Australian not-for-profit organisation,http://www.marineconservation.org.au/,,,ecology,,,wikidata,Q4824412,,,,-25.27,133.78,nonprofit,tier_b,3,,,
708124,Australian Marriage Equality,AU,Australia,,,,,LGBT rights advocacy group,http://www.australianmarriageequality.com,,,democracy,,,wikidata,Q4824411,,,,-25.27,133.78,nonprofit,tier_b,3,,,
697653,Australian National University Library,AU,Australia,,,,,"academic library in Canberra, Australia",http://anulib.anu.edu.au,,,education,,,wikidata,Q4824478,,,,-25.27,133.78,nonprofit,tier_b,3,,,
697515,Australian Network for Plant Conservation,AU,Australia,,,,,organization in Australia,,,,ecology,,,wikidata,Q2152497,,,,-25.27,133.78,nonprofit,tier_b,3,,,
708182,Australian Privacy Foundation,AU,Australia,,,,,NGO formed for the purpose of protecting the privacy rights of Australians,https://privacy.org.au/,,,democracy,,,wikidata,Q4824577,,,,-25.27,133.78,nonprofit,tier_b,3,,,
708118,Australian Queer Archives,AU,Australia,,,,,LGBTQ+ archive in Australia,https://queerarchives.org.au/,,,healthcare,,,wikidata,Q4824386,,,,-25.27,133.78,nonprofit,tier_b,3,,,
708172,Australian Railway Historical Society,AU,Australia,,,,,Society preserving Australian railway operations,,,,democracy,,,wikidata,Q4824598,,,,-25.27,133.78,nonprofit,tier_b,3,,,
697509,Australian Red Cross,AU,Australia,,,,,National Red Cross Society in Australia,https://www.redcross.org.au,,,democracy,,,wikidata,Q4824610,,,,-25.27,133.78,nonprofit,tier_b,3,,,
763575,Australian Workers' Union,AU,Australia,,Sydney,,labor/national_union,trade union in Australia,http://www.awu.net.au/,,,democracy,,,wikidata_unions,Q782765,1894,,,-25.27,133.78,labor_union,,2,http://www.wikidata.org/entity/Q782765,,
708164,Baden-Powell Guild,AU,Australia,,,,,association of former Boy Scouts and Girl Guides in Australia,,,,democracy,,,wikidata,Q4840745,,,,-25.27,133.78,nonprofit,tier_b,3,,,
697654,Baillieu Library,AU,Australia,,,,,library of the University of Melbourne,https://library.unimelb.edu.au/baillieu,,,education,,,wikidata,Q4848465,,,,-25.27,133.78,nonprofit,tier_b,3,,,
697420,Balonne Shire Council library services,AU,Australia,,,,,"library service in Balonne Shire, Queensland, Australia",http://www.balonne.qld.gov.au/libraries,,,education,,,wikidata,Q85376722,,,,-25.27,133.78,nonprofit,tier_b,3,,,
697351,Balranald Library,AU,Australia,,,,,"public library in Balranald, New South Wales",http://www.balranald.nsw.gov.au/council-activities/library/,,,education,,,wikidata,Q64584840,,,,-25.27,133.78,nonprofit,tier_b,3,,,
697451,Banana Shire Library and Information Services,AU,Australia,,,,,"library service in Banana Shire, Queensland, Australia",http://www.banana.qld.gov.au/library,,,education,,,wikidata,Q85379600,,,,-25.27,133.78,nonprofit,tier_b,3,,,
697648,Bankstown City Library and Information Service,AU,Australia,,,,,library system in New South Wales,,,,education,,,wikidata,Q4856782,,,,-25.27,133.78,nonprofit,tier_b,3,,,
697421,Barcaldine Regional Council Library Services,AU,Australia,,,,,"library service in Barcaldine Region, Queensland, Australia",http://www.barcaldinerc.qld.gov.au/libraries1,,,education,,,wikidata,Q85376761,,,,-25.27,133.78,nonprofit,tier_b,3,,,
697422,Barcoo Shire Council library services,AU,Australia,,,,,"library service in Barcoo Shire, Queensland, Australia",https://www.barcoo.qld.gov.au/council-services/libraries,,,education,,,wikidata,Q85376763,,,,-25.27,133.78,nonprofit,tier_b,3,,,
697642,Barr Smith Library,AU,Australia,,,,,"academic library of the University of Adelaide, South Australia",https://www.adelaide.edu.au/library/about/libraries/bsl/,,,education,,,wikidata,Q4863112,,,,-25.27,133.78,nonprofit,tier_b,3,,,
697664,Basser Library,AU,Australia,,,,,library,,,,education,,,wikidata,Q4868068,,,,-25.27,133.78,nonprofit,tier_b,3,,,
697344,Bathurst Library,AU,Australia,,,,,"public library in Bathurst, New South Wales",https://www.bathurst.nsw.gov.au/community/library.html,,,education,,,wikidata,Q64584856,,,,-25.27,133.78,nonprofit,tier_b,3,,,
708204,Bayside Council Libraries,AU,Australia,,,,,library system in New South Wales,https://library.bayside.nsw.gov.au/resources/LocationsandHours.aspx,,,education,,,wikidata,Q86173119,,,,-25.27,133.78,nonprofit,tier_b,3,,,
697647,Beechworth Asylum,AU,Australia,,,,,"former psychiatric hospital in Beechworth, Victoria, Australia",,,,healthcare,,,wikidata,Q4879705,,,,-25.27,133.78,nonprofit,tier_b,3,,,
708187,Bega Valley Shire Libraries,AU,Australia,,,,,library system in New South Wales,https://library.begavalley.nsw.gov.au/cp_themes/default/home.asp,,,education,,,wikidata,Q86177918,,,,-25.27,133.78,nonprofit,tier_b,3,,,
697667,Belconnen Library,AU,Australia,,,,,"public library in Canberra, Australia",,,,education,,,wikidata,Q4882081,,,,-25.27,133.78,nonprofit,tier_b,3,,,
697401,Berrigan Shire Library Service,AU,Australia,,,,,library system in New South Wales,http://www.berriganshire.nsw.gov.au/index.php/library,,,education,,,wikidata,Q72984604,,,,-25.27,133.78,nonprofit,tier_b,3,,,
697512,Beyond Blue,AU,Australia,,,,,Australian mental health and wellbeing support charitable organization,https://www.beyondblue.org.au/,,,healthcare,,,wikidata,Q2900494,,,,-25.27,133.78,nonprofit,tier_b,3,,,
697369,Big Sky Libraries,AU,Australia,,,,,library system in New South Wales,https://bsl.nsw.gov.au/,,,education,,,wikidata,Q64841024,,,,-25.27,133.78,nonprofit,tier_b,3,,,
708023,Bird Observation & Conservation Australia,AU,Australia,,,,,former Bird Observers Club of Australia,,,,ecology,,,wikidata,Q1101621,,,,-25.27,133.78,nonprofit,tier_b,3,,,
697430,Blackall-Tambo Regional Council library services,AU,Australia,,,,,"library service in Blackall-Tambo Region, Queensland, Australia",http://www.btrc.qld.gov.au/libraries,,,education,,,wikidata,Q85376803,,,,-25.27,133.78,nonprofit,tier_b,3,,,
697378,Blacktown City Libraries,AU,Australia,,,,,"library system in Blacktown local government area, NSW",https://www.blacktown.nsw.gov.au/Services/Libraries,,,education,,,wikidata,Q64538928,,,,-25.27,133.78,nonprofit,tier_b,3,,,
697889,Bloomfield Hospital,AU,Australia,,,,,"heritage-listed former hospital, Orange New South Wales, Australia",,,,healthcare,,,wikidata,Q30102945,,,,-25.27,133.78,nonprofit,tier_b,3,,,
697395,Blue Mountains Library,AU,Australia,,,,,library system in New South Wales,http://library.bmcc.nsw.gov.au,,,education,,,wikidata,Q28219999,,,,-25.27,133.78,nonprofit,tier_b,3,,,
697600,Bobby Goldsmith Foundation,AU,Australia,,,,,Australian HIV charitable organisation,https://www.bgf.org.au/,,,healthcare,,,wikidata,Q99763561,,,,-25.27,133.78,nonprofit,tier_b,3,,,
697493,Boroondara Library Service,AU,Australia,,,,,library network,https://www.boroondara.vic.gov.au/libraries,,,education,,,wikidata,Q106222024,,,,-25.27,133.78,nonprofit,tier_b,3,,,
697423,Boulia Shire Council library services,AU,Australia,,,,,"library service in Boulia Shire, Queensland, Australia",http://www.boulia.qld.gov.au/library,,,education,,,wikidata,Q85376766,,,,-25.27,133.78,nonprofit,tier_b,3,,,
697375,Bourke Public Library,AU,Australia,,,,,"public library in Bourke, New South Wales",http://www.bourkelibrary.com.au/,,,education,,,wikidata,Q65022978,,,,-25.27,133.78,nonprofit,tier_b,3,,,
697450,Brisbane City Council Library Services,AU,Australia,,,,,"library service in Brisbane City, Queensland, Australia",http://www.brisbane.qld.gov.au/facilities-recreation/libraries/index.htm,,,education,,,wikidata,Q85379602,,,,-25.27,133.78,nonprofit,tier_b,3,,,
697393,Broken Hill City Library,AU,Australia,,,,,public library in Broken Hill New South Wales,https://www.brokenhill.nsw.gov.au/learn/broken-hill-city-library,,,education,,,wikidata,Q16255569,,,,-25.27,133.78,nonprofit,tier_b,3,,,
697440,Bulloo Shire Council library services,AU,Australia,,,,,"library service in Bulloo Shire, Queensland, Australia",http://www.bulloo.qld.gov.au/library,,,education,,,wikidata,Q85376833,,,,-25.27,133.78,nonprofit,tier_b,3,,,
697489,Bundaberg Regional Libraries,AU,Australia,,,,,"library service in Bundaberg Region, Queensland, Australia",https://www.artsbundaberg.com.au/libraries,,,education,,,wikidata,Q24189853,,,,-25.27,133.78,nonprofit,tier_b,3,,,
697460,Burdekin Shire Council library services,AU,Australia,,,,,"library service in Burdekin Shire, Queensland, Australia",http://library.burdekin.qld.gov.au,,,education,,,wikidata,Q85379647,,,,-25.27,133.78,nonprofit,tier_b,3,,,
697432,Burke Shire Council library services,AU,Australia,,,,,"library service in Burke Shire, Queensland, Australia",http://www.burke.qld.gov.au/web/guest/library,,,education,,,wikidata,Q85376807,,,,-25.27,133.78,nonprofit,tier_b,3,,,
697676,Burnside library,AU,Australia,,,,,library,https://www.burnside.sa.gov.au/Community-Recreation/Community-Venues/Burnside-Library,,,education,,,wikidata,Q5000155,,,,-25.27,133.78,nonprofit,tier_b,3,,,
697342,Burwood Library,AU,Australia,,,,,"public library in Burwood, New South Wales",http://www.burwood.nsw.gov.au/burwood_library/burwoodlibraryhomepage.html,,,education,,,wikidata,Q65484037,,,,-25.27,133.78,nonprofit,tier_b,3,,,
697391,CAVAL,AU,Australia,,,,,Australian library consortium,http://www.caval.edu.au,,,education,,,wikidata,Q67587633,,,,-25.27,133.78,nonprofit,tier_b,3,,,
697452,Cairns Libraries,AU,Australia,,,,,"library service in Cairns Region, Queensland, Australia",http://www.cairns.qld.gov.au/library,,,education,,,wikidata,Q85379604,,,,-25.27,133.78,nonprofit,tier_b,3,,,
708186,Camden Libraries,AU,Australia,,,,,library system in New South Wales,http://www.library.camden.nsw.gov.au/,,,education,,,wikidata,Q86286147,,,,-25.27,133.78,nonprofit,tier_b,3,,,
708188,Campbelltown City Library,AU,Australia,,,,,library system in New South Wales,https://www.campbelltown.nsw.gov.au/ServicesandFacilities/Libraries,,,education,,,wikidata,Q86287941,,,,-25.27,133.78,nonprofit,tier_b,3,,,
764561,Canberra Student Housing Co-operative,AU,Australia,,Canberra,,land_and_housing/housing_cooperative,"student housing co-operative in Canberra, Australia",https://www.csh.coop/,,,housing_land,,,wikidata_land_trusts,Q111569381,2011,,,-25.27,133.78,cooperative,,2,http://www.wikidata.org/entity/Q111569381,,
708190,Canterbury Bankstown Libraries,AU,Australia,,,,,library system in New South Wales,https://www.cbcity.nsw.gov.au/community/library-knowledge-centres/,,,education,,,wikidata,Q86289605,,,,-25.27,133.78,nonprofit,tier_b,3,,,
697637,Capalaba Library,AU,Australia,,,,,"public library in Capalaba, Queensland, Australia",http://redland.qld.gov.au/RecreationFacilities/RedlandLibraries/Pages/default.aspx,,,education,,,wikidata,Q5034504,,,,-25.27,133.78,nonprofit,tier_b,3,,,
697446,Carpentaria Shire Council library services,AU,Australia,,,,,"library service in Carpentaria Shire, Queensland, Australia",http://www.carpentaria.qld.gov.au/libraries-vics,,,education,,,wikidata,Q85376851,,,,-25.27,133.78,nonprofit,tier_b,3,,,
708198,Cassowary Coast Libraries,AU,Australia,,,,,"library service in Cassowary Coast Region, Queensland, Australia",http://www.cassowarycoast.qld.gov.au/libraries,,,education,,,wikidata,Q85379706,,,,-25.27,133.78,nonprofit,tier_b,3,,,
697855,Castle Hill Lunatic Asylum,AU,Australia,,,,,defunct psychiatric facility,,,,democracy,,,wikidata,Q16247221,,,,-25.27,133.78,nonprofit,tier_b,3,,,
708184,Central Coast Council Library Service,AU,Australia,,,,,library system in New South Wales,https://www.centralcoast.nsw.gov.au/libraries,,,education,,,wikidata,Q86299449,,,,-25.27,133.78,nonprofit,tier_b,3,,,
708202,Central Highlands Regional Council Library Services,AU,Australia,,,,,"library service in Central Highlands Region, Queensland, Australia",http://www.centralhighlands.qld.gov.au/web/guest/libraries,,,education,,,wikidata,Q85379711,,,,-25.27,133.78,nonprofit,tier_b,3,,,
697386,Central Northern Regional Library,AU,Australia,,,,,library system in New South Wales,http://www.cnl.nsw.gov.au/cgi-bin/spydus.exe/MSGTRN/WPAC/HOME,,,education,,,wikidata,Q64841033,,,,-25.27,133.78,nonprofit,tier_b,3,,,
697368,Central West Libraries,AU,Australia,,,,,library system in New South Wales,http://www.cwl.nsw.gov.au/,,,education,,,wikidata,Q64841056,,,,-25.27,133.78,nonprofit,tier_b,3,,,
697633,Charters Towers Excelsior Library,AU,Australia,,,,,"public library in Charters Towers, Queensland, Australia",,,,education,,,wikidata,Q5086889,,,,-25.27,133.78,nonprofit,tier_b,3,,,
