id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
902432,Beescoop,BE,Belgium,,Schaerbeek,,,"the first cooperative supermarket in Brussels : to be owner, worker and client at the same time. type: local_farmersmarket. tags: consumer cooperative;fair trade. curated by: SOSFAIM",http://bees-coop.be,contact@bees-coop.be,+32 498 65 20 38,food,,,susy_map,35f6519924e7b7a8,,,,50.85693926093,4.377250146,cooperative,,6,https://github.com/TransforMap/transformap-viewer/raw/gh-pages/susydata-fallback.json,,
910600,Brussels Community Land Trust,BE,Belgium,Brussels-Capital Region,Brussels,,,Community Land Trust listed in the Schumacher Center CLT World Map. Country: Belgium,https://cltb.be,,,housing_land,,,clt_world_map,brussels-community-land-trust,,,,,,community_org,community_land_trust,4,https://centerforneweconomics.org/clt/brussels-community-land-trust/,,
764820,CECOP (European Confederation of Industrial and Service Cooperatives),BE,Belgium,,Brussels,,labor/construction_cooperative,"European federation of worker, social, and construction cooperatives.",https://cecop.coop/,,,cooperatives,,,construction_coops,seed:cecop-european-confederation-of-industrial-and-service-cooperatives,,,,50.5,4.47,cooperative,"construction,worker_cooperative",9,https://cecop.coop/,,
764821,CICOPA,BE,Belgium,,Brussels,,labor/construction_cooperative,International Organisation of Industrial and Service Cooperatives; includes construction sector.,https://www.cicopa.coop/,,,cooperatives,,,construction_coops,seed:cicopa,,,,50.5,4.47,cooperative,"construction,worker_cooperative",9,https://www.cicopa.coop/,,
903674,CLIMAX Permaculture cooperative,BE,Belgium,WLX,Habergy,,,CLIMAX is a permaculture cooperative intending to produce local organic food using as less as possible fossile and rare ressources.,https://maps.transitionnetwork.org/group/climax-permaculture-cooperative/,,,,,,transition_network,1286,,,,49.614073,5.759542,collective,Transition Group,8,https://maps.transitionnetwork.org/group/climax-permaculture-cooperative/,,
763916,Centrale générale des syndicats libéraux de Belgique,BE,Belgium,,,,labor/union_federation,"ITUC affiliate. CGSLB. 274,308 members.",,,,cooperatives,,,ituc_affiliates,wp:General_Confederation_of_Liberal_Trade_Unions_of_Belgium,,,,50.5,4.47,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/General_Confederation_of_Liberal_Trade_Unions_of_Belgium,,
909647,Cohousing Vinderhoute,BE,Belgium,O-VL,Vinderhoute,,,"status: Established (At least 4+ adults, 2+ years. type: Cohousing (individual homes within group owned property.). open to membership: Not currently~ but there is a list or possibly in the future",https://www.ic.org/directory/cohousing-vinderhoute/,,,housing_land,,,ic_directory,41755,,,,,,cooperative,Cohousing (individual homes within group owned property.),4,https://www.ic.org/directory/cohousing-vinderhoute/,,
764196,Community Land Trust Brussels,BE,Belgium,,Anderlecht,,land_and_housing/community_land_trust,community land trust in Brussels,https://www.cltb.be/,,,housing_land,,,wikidata_land_trusts,Q113818328,2011,,,50.5,4.47,nonprofit,,8,http://www.wikidata.org/entity/Q113818328,,
764663,Community Land Trust Brussels,BE,Belgium,,Brussels,,land_and_housing/community_land_trust,Founded 2012; ~150 homes delivered across Brussels as of 2025.,https://cltb.be/,,,housing_land,,,grounded_solutions,seed:community-land-trust-brussels,,,,50.5,4.47,nonprofit,,8,https://cltb.be/,,
763556,Confederation of Christian Trade Unions,BE,Belgium,,Schaerbeek,,labor/national_union,Belgian trade union,http://www.acv-csc.be,,,democracy,,,wikidata_unions,Q2457510,1912,,,50.5,4.47,labor_union,,4,http://www.wikidata.org/entity/Q2457510,,
763917,Confédération des Syndicats Chrétiens,BE,Belgium,,,,labor/union_federation,"ITUC affiliate. CSC-ACV. 1,603,075 members.",,,,cooperatives,,,ituc_affiliates,wp:Confédération_des_Syndicats_Chrétiens,,,,50.5,4.47,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Conf%C3%A9d%C3%A9ration_des_Syndicats_Chr%C3%A9tiens,,
762185,Cooperation International pour Developmental et Solidarite,BE,Belgium,,,,,umbrella organization for Catholic development agencies,http://www.cidse.org,,,democracy,,,wikidata,Q2931491,,,,50.5,4.47,cooperative,,3,,,
762098,Cooperatives Europe,BE,Belgium,,,,,umbrella organization of European cooperative organizations,https://coopseurope.coop/,,,cooperatives,,,wikidata,Q25048042,,,,50.5,4.47,cooperative,,9,,,
762189,Coppieters Foundation,BE,Belgium,,,,,European political foundation affiliated to the European Free Alliance,https://ideasforeurope.eu/,,,democracy,,,wikidata,Q16829132,,,,50.5,4.47,foundation,,2,,,
763534,Eurocadres,BE,Belgium,,Brussels,,labor/national_union,Council of European Professional and Management Staff,http://www.eurocadres.eu/,,,democracy,,,wikidata_unions,Q3060584,1993,,,50.5,4.47,labor_union,,4,http://www.wikidata.org/entity/Q3060584,,
762097,European Association of Co-operative Banks,BE,Belgium,,,,,organization,http://www.eacb.coop,,,cooperatives,,,wikidata,Q1376341,,,,50.5,4.47,cooperative,,6,,,
762100,European Atomic Energy Community,BE,Belgium,,,,,European interstate body on atomic energy,,,,energy_digital,,,wikidata,Q8919,,,,50.5,4.47,nonprofit,,2,,,
762180,European Educational Exchanges – Youth for Understanding,BE,Belgium,,,,,umbrella for national Youth For Understanding organisations in Europe,http://www.eee-yfu.org/,,,education,,,wikidata,Q5412536,,,,50.5,4.47,nonprofit,,2,,,
