id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
765789,15.ІХ.1903 - 1909 (15.ІX.1903 - 1909),BG,Bulgaria,,,,BG_NPO_REGISTER,"chitalishte in Razlog, Bulgaria (reg:1015)",,,,,,,wikidata_bg_npo,Q20498051,1909,,,,,nonprofit,,2,http://www.wikidata.org/entity/Q20498051,,
765834,19 - ти Февруари - 1906 (19 - ti Fevruari - 1906),BG,Bulgaria,,,,BG_NPO_REGISTER,"chitalishte in Skravena, Bulgaria (reg:1787)",,,,,,,wikidata_bg_npo,Q47501463,1906,,,,,nonprofit,,2,http://www.wikidata.org/entity/Q47501463,,
767366,23-ти Април 1876 - 1909 (23-ti April 1876 - 1909),BG,Bulgaria,,,,BG_NPO_REGISTER,"chitalishte in Ravnogor, Bulgaria (reg:1234)",,,,,,,wikidata_bg_npo,Q137376637,1909,,,,,nonprofit,,2,http://www.wikidata.org/entity/Q137376637,,
767265,23-ти Септември - 1928 (23-ti Septemvri - 1928),BG,Bulgaria,,,,BG_NPO_REGISTER,"chitalishte in Diva Slatina, Bulgaria (reg:1825)",,,,,,,wikidata_bg_npo,Q137377637,1928,,,,,nonprofit,,2,http://www.wikidata.org/entity/Q137377637,,
766235,4 - ти май - 1897 (4 - ti may - 1897),BG,Bulgaria,,,,BG_NPO_REGISTER,"chitalishte in Batak, Bulgaria (reg:170)",https://nch-4mai-batak.com/,,,,,,wikidata_bg_npo,Q107723878,1897,,,,,nonprofit,,2,http://www.wikidata.org/entity/Q107723878,,
765107,Abrittum,BG,Bulgaria,,Abritus,,BG_NPO_REGISTER,titular see,,,,,,,wikidata_bg_npo,Q331480,,,,,,nonprofit,,2,http://www.wikidata.org/entity/Q331480,,
765134,Agathopolis titular see,BG,Bulgaria,,,,BG_NPO_REGISTER,titular see,,,,,,,wikidata_bg_npo,Q391538,,,,,,nonprofit,,2,http://www.wikidata.org/entity/Q391538,,
765275,Agency of Sustainable Development and Eurointegration,BG,Bulgaria,,,,BG_NPO_REGISTER,"nonprofit organization in Sofia, Bulgaria",http://www.asde-bg.org/index_en.php,,,,,,wikidata_bg_npo,Q30284523,,,,,,nonprofit,,2,http://www.wikidata.org/entity/Q30284523,,
765264,American Research Center in Sofia Foundation,BG,Bulgaria,,,,BG_NPO_REGISTER,"nonprofit organization in Sofia, Bulgaria",http://arcsofia.org/,,,,,,wikidata_bg_npo,Q30270868,2005,,,,,foundation,,2,http://www.wikidata.org/entity/Q30270868,,
765132,Anchialus,BG,Bulgaria,,,,BG_NPO_REGISTER,titular see,,,,,,,wikidata_bg_npo,Q489101,,,,,,nonprofit,,2,http://www.wikidata.org/entity/Q489101,,
765271,Apostolic Exarchate of Sofia (Bulgarian),BG,Bulgaria,,,,BG_NPO_REGISTER,1926-2019 Bulgarian Greek Catholic Church,,,,,,,wikidata_bg_npo,Q138720396,1926,,,,,nonprofit,,2,http://www.wikidata.org/entity/Q138720396,,
765117,Appiaria,BG,Bulgaria,,,,BG_NPO_REGISTER,titular see,,,,,,,wikidata_bg_npo,Q621033,,,,,,nonprofit,,2,http://www.wikidata.org/entity/Q621033,,
765116,Archdiocese of Raziaria,BG,Bulgaria,,,,BG_NPO_REGISTER,,,,,,,,wikidata_bg_npo,Q2132752,,,,,,nonprofit,,2,http://www.wikidata.org/entity/Q2132752,,
