id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
700981,A Friburguense,BR,Brazil,,,,,Mutual aid society and popular economy of Nova Friburgo (RJ),,,,cooperatives,,,wikidata,Q139077994,,,,-14.24,-51.93,nonprofit,tier_b,3,,,
702302,Adolfo Lutz Institute,BR,Brazil,,,,,"national laboratory of public health in São Paulo, Brazil",http://www.ial.sp.gov.br/,,,healthcare,,,wikidata,Q6041264,,,,-14.24,-51.93,nonprofit,tier_b,3,,,
701054,Arquivo Geral da Cidade do Rio de Janeiro,BR,Brazil,,,,,archive in Rio de Janeiro,http://www.rio.rj.gov.br/web/arquivogeral/principal,,,healthcare,,,wikidata,Q9630330,,,,-14.24,-51.93,nonprofit,tier_b,3,,,
701061,Arquivo Histórico Municipal de Resende,BR,Brazil,,,,,library,,,,education,,,wikidata,Q9630355,,,,-14.24,-51.93,nonprofit,tier_b,3,,,
701040,Arquivo Histórico do Exército/Museu Militar Conde de Linhares,BR,Brazil,,,,,library and archive in Rio de Janeiro,http://www.ahex.eb.mil.br/,,,healthcare,,,wikidata,Q9630366,,,,-14.24,-51.93,nonprofit,tier_b,3,,,
701032,Arquivo Público,BR,Brazil,,,,,library,http://www.apers.rs.gov.br/portal/index.php,,,education,,,wikidata,Q8203651,,,,-14.24,-51.93,nonprofit,tier_b,3,,,
701063,Arquivo Público Municipal de Camaçari,BR,Brazil,,,,,"archive in Camaçari, Bahia",,,,healthcare,,,wikidata,Q9630389,,,,-14.24,-51.93,nonprofit,tier_b,3,,,
701020,Arquivo Público do Ceará,BR,Brazil,,,,,library,http://www.secult.ce.gov.br/index.php/equipamentos-culturais/arquivo-publico,,,education,,,wikidata,Q9630408,,,,-14.24,-51.93,nonprofit,tier_b,3,,,
701051,Arquivo Público do Distrito Federal,BR,Brazil,,,,,library,http://www.arpdf.df.gov.br/,,,education,,,wikidata,Q9630398,,,,-14.24,-51.93,nonprofit,tier_b,3,,,
701060,Arquivo Público do Estado de São Paulo,BR,Brazil,,,,,archives,http://www.arquivoestado.sp.gov.br/,,,healthcare,,,wikidata,Q9630401,,,,-14.24,-51.93,nonprofit,tier_b,3,,,
701095,Audioteca Sal e Luz,BR,Brazil,,,,,library,,,,education,,,wikidata,Q9637291,,,,-14.24,-51.93,nonprofit,tier_b,3,,,
701052,BIREME (Latin American and Caribbean Center on Health Sciences Information),BR,Brazil,,,,,library,http://www.paho.org/bireme,,,healthcare,,,wikidata,Q6496267,,,,-14.24,-51.93,nonprofit,tier_b,3,,,
701097,Biblioteca Adir Gigliotti,BR,Brazil,,,,,library,,,,education,,,wikidata,Q9656423,,,,-14.24,-51.93,nonprofit,tier_b,3,,,
701068,Biblioteca Américo de Oliveira Costa,BR,Brazil,,,,,library,,,,education,,,wikidata,Q9656430,,,,-14.24,-51.93,nonprofit,tier_b,3,,,
701098,Biblioteca Augusto Stresser,BR,Brazil,,,,,library,,,,education,,,wikidata,Q9656438,,,,-14.24,-51.93,nonprofit,tier_b,3,,,
701099,Biblioteca Aureliano Leite,BR,Brazil,,,,,library,,,,education,,,wikidata,Q9656442,,,,-14.24,-51.93,nonprofit,tier_b,3,,,
701079,Biblioteca Carlos Benjamin de Lyra,BR,Brazil,,,,,university math library,https://www.ime.usp.br/bib,,,education,,,wikidata,Q9656458,,,,-14.24,-51.93,nonprofit,tier_b,3,,,
701024,Biblioteca Central Irmão José Otão,BR,Brazil,,,,,library,,,,education,,,wikidata,Q4903477,,,,-14.24,-51.93,nonprofit,tier_b,3,,,
701100,Biblioteca Estadual Pio Vargas,BR,Brazil,,,,,library,,,,education,,,wikidata,Q9656501,,,,-14.24,-51.93,nonprofit,tier_b,3,,,
701101,Biblioteca Estadual de Xadrez Christiano Lyra,BR,Brazil,,,,,library,,,,education,,,wikidata,Q9656509,,,,-14.24,-51.93,nonprofit,tier_b,3,,,
701075,Biblioteca Estadual do Ceará,BR,Brazil,,,,,library,https://bece.cultura.ce.gov.br/,,,education,,,wikidata,Q9656698,,,,-14.24,-51.93,nonprofit,tier_b,3,,,
701102,Biblioteca Irmãos Guimarães,BR,Brazil,,,,,library,,,,education,,,wikidata,Q9656525,,,,-14.24,-51.93,nonprofit,tier_b,3,,,
701115,Biblioteca Jornalista Roberto Eduardo Xavier,BR,Brazil,,,,,public library,,,,education,,,wikidata,Q9656533,,,,-14.24,-51.93,nonprofit,tier_b,3,,,
701104,Biblioteca Leverdógil de Freitas,BR,Brazil,,,,,library,,,,education,,,wikidata,Q9656547,,,,-14.24,-51.93,nonprofit,tier_b,3,,,
701103,Biblioteca Livros Sobre Trilhos,BR,Brazil,,,,,library,,,,education,,,wikidata,Q9656542,,,,-14.24,-51.93,nonprofit,tier_b,3,,,
701105,Biblioteca Lucília Minssen,BR,Brazil,,,,,library,,,,education,,,wikidata,Q9656549,,,,-14.24,-51.93,nonprofit,tier_b,3,,,
701106,Biblioteca Martinho Lutero,BR,Brazil,,,,,library,,,,education,,,wikidata,Q9656558,,,,-14.24,-51.93,nonprofit,tier_b,3,,,
701070,Biblioteca Municipal Avertano Rocha,BR,Brazil,,,,,"library in Belém, Pará",http://www.belem.pa.gov.br/bibliotecapublica/?page_id=15,,,education,,,wikidata,Q9656566,,,,-14.24,-51.93,nonprofit,tier_b,3,,,
701083,Biblioteca Municipal Monteiro Lobato,BR,Brazil,,,,,library in Osasco,,,,education,,,wikidata,Q9656575,,,,-14.24,-51.93,nonprofit,tier_b,3,,,
701096,Biblioteca Municipal de Sorocaba,BR,Brazil,,,,,library,,,,education,,,wikidata,Q9656605,,,,-14.24,-51.93,nonprofit,tier_b,3,,,
701080,Biblioteca Narbal Fontes,BR,Brazil,,,,,library,,,,education,,,wikidata,Q9656654,,,,-14.24,-51.93,nonprofit,tier_b,3,,,
701107,Biblioteca Popular de Casa Amarela,BR,Brazil,,,,,library,,,,education,,,wikidata,Q9656667,,,,-14.24,-51.93,nonprofit,tier_b,3,,,
701088,Biblioteca Pública,BR,Brazil,,,,,Historical good listed by the Institute of Historical and Artistic Heritage of the State of Rio Grande do Sul in the city of Porto Alegre,http://www.bibliotecapublica.rs.gov.br/,,,recreation_arts,,,wikidata,Q9656764,,,,-14.24,-51.93,nonprofit,tier_b,3,,,
701108,Biblioteca Pública Leopoldo Boeck,BR,Brazil,,,,,library,,,,education,,,wikidata,Q9656707,,,,-14.24,-51.93,nonprofit,tier_b,3,,,
701093,Biblioteca Pública Municipal Josué Guimarães,BR,Brazil,,,,,library,,,,education,,,wikidata,Q9656718,,,,-14.24,-51.93,nonprofit,tier_b,3,,,
701109,Biblioteca Pública Municipal de Nova Friburgo,BR,Brazil,,,,,library,,,,education,,,wikidata,Q9656722,,,,-14.24,-51.93,nonprofit,tier_b,3,,,
701111,Biblioteca Pública Romano Reif,BR,Brazil,,,,,library,,,,education,,,wikidata,Q9656737,,,,-14.24,-51.93,nonprofit,tier_b,3,,,
701112,Biblioteca Pública de Cascavel,BR,Brazil,,,,,library,,,,education,,,wikidata,Q9656749,,,,-14.24,-51.93,nonprofit,tier_b,3,,,
701069,Biblioteca Pública do Estado da Paraíba,BR,Brazil,,,,,"library in João Pessoa, Brazil",,,,education,,,wikidata,Q9656767,,,,-14.24,-51.93,nonprofit,tier_b,3,,,
701090,Biblioteca Pública do Estado do Rio de Janeiro,BR,Brazil,,,,,library,http://www.bibliotecasparque.org.br/,,,education,,,wikidata,Q9656775,,,,-14.24,-51.93,nonprofit,tier_b,3,,,
701114,Biblioteca da ESALQ,BR,Brazil,,,,,academic library,,,,education,,,wikidata,Q9656806,,,,-14.24,-51.93,nonprofit,tier_b,3,,,
701078,Biblioteca do Exército (Brazil),BR,Brazil,,,,,"library in Rio de Janeiro, Brazil",,,,education,,,wikidata,Q9656843,,,,-14.24,-51.93,nonprofit,tier_b,3,,,
701087,Biblioteca do IBICT,BR,Brazil,,,,,library,,,,education,,,wikidata,Q9656845,,,,-14.24,-51.93,nonprofit,tier_b,3,,,
700845,"Brazilian Federation of Associations of Librarians, Information Scientists and Institutions",BR,Brazil,,,,,"library organization in São Paulo, Brazil",http://febab.org.br/,,,education,,,wikidata,Q30298885,,,,-14.24,-51.93,nonprofit,tier_b,3,,,
702228,Brazilian Historic and Geographic Institute,BR,Brazil,,,,,"archive in Rio de Janeiro, Rio de Janeiro",https://ihgb.org.br,,,healthcare,,,wikidata,Q965390,,,,-14.24,-51.93,nonprofit,tier_b,3,,,
701008,Brazilian Red Cross,BR,Brazil,,,,,"Brazilian humanitarian organization, part of the International Red Cross and Red Crescent Movement",https://cruzvermelha.org.br/en/,,,democracy,,,wikidata,Q47072433,,,,-14.24,-51.93,nonprofit,tier_b,3,,,
700579,Brazilian Society of Nuclear Medicine and Molecular Imaging,BR,Brazil,,,,,scientific society based in São Paulo Brazil,http://www.sbmn.org.br/,,,healthcare,,,wikidata,Q29471820,,,,-14.24,-51.93,nonprofit,tier_b,3,,,
763469,"Center for Studies and Research in Education, Culture and Community Action",BR,Brazil,Sao Paulo,,,,nonprofit organization in São Paulo Brazil,http://www.cenpec.org.br/,,,education,,,wikidata_subregion,Q29213757,,,,-14.24,-51.93,nonprofit,,2,,,
763929,Central Única dos Trabalhadores,BR,Brazil,,,,labor/union_federation,"ITUC affiliate. CUT. 7,824,215 members.",,,,cooperatives,,,ituc_affiliates,wp:Central_Única_dos_Trabalhadores,,,,-14.24,-51.93,labor_union,"labor_union,ituc_affiliate",2,https://en.wikipedia.org/wiki/Central_%C3%9Anica_dos_Trabalhadores,,
763930,Confederação Nacional das Profissões Liberais,BR,Brazil,,,,labor/union_federation,"ITUC affiliate. CNPL. 280,000 members.",,,,cooperatives,,,ituc_affiliates,wp:Confederação_Nacional_das_Profissões_Liberais,,,,-14.24,-51.93,labor_union,"labor_union,ituc_affiliate",2,https://en.wikipedia.org/wiki/Confedera%C3%A7%C3%A3o_Nacional_das_Profiss%C3%B5es_Liberais,,
701094,Conjunto Ferroviário de Campo Grande,BR,Brazil,,,,,library,,,,education,,,wikidata,Q9850643,,,,-14.24,-51.93,nonprofit,tier_b,3,,,
701074,Euclides da Cunha Library,BR,Brazil,,,,,library,,,,education,,,wikidata,Q9656514,,,,-14.24,-51.93,nonprofit,tier_b,3,,,
702354,"Faculty of Public Health, University of São Paulo",BR,Brazil,,,,,,,,,healthcare,,,wikidata,Q10279569,,,,-14.24,-51.93,nonprofit,tier_c,3,,,
