id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
909466,A.N.D Ecovillge,CA,Canada,new brunswick,knowlesville,,,"status: Forming. type: Ecovillage (organized around ecology and sustainability.), Unspecified, or Other, Transition Town or Eco-Neighborhood (focused on energy/resource resiliency). open to membership: Yes",https://www.ic.org/directory/a-n-d-ecovillge/,,,ecology,,,ic_directory,597878,,,,,,community_org,"Ecovillage (organized around ecology and sustainability.), Unspecified, or Other, Transition Town or Eco-Neighborhood (focused on energy/resource resiliency)",2,https://www.ic.org/directory/a-n-d-ecovillge/,,
764946,ARTICLE 11,CA,Canada,Alberta,,,,Indigenous theatre company in what is known as Canada,http://article11.ca/,,,democracy,,,wikidata_subregion,Q114980915,,,,,,nonprofit,,3,,,
764954,Aboriginal School of Dance,CA,Canada,Manitoba,,,,"indigenous dance school in Winnipeg, Manitoba",https://aboriginalschoolofdance.com/,,,education,,,wikidata_subregion,Q136831159,,,,,,education_inst,,3,,,
763800,Air Canada Pilots Association,CA,Canada,,Mississauga,,labor/national_union,Trade union,https://acpa.ca,,,democracy,,,wikidata_unions,Q17989063,,,,56.13,-106.35,labor_union,,4,http://www.wikidata.org/entity/Q17989063,,
903986,Alberni Valley Transition Town Society - Port Alberni,CA,Canada,BC,Port Alberni,,,"Alberni Valley Transition Town had it's first meeting in April of 2009. We have since grown from a handful, to a bushel of members. We have partnerships with local farmers, businesses, health providers and government agencies. We still have events every month after our regular core meetings and we have put on a number of events in the community. Much more to do!",http://www.avtransitiontown.org,,,food,,,transition_network,734,,,,49.2451167,-124.8031425,collective,"Transition Group, Community Growing, Other food projects, Nature, Festivals, fairs or events, Community visioning / imagination work, Building local networks, Local economy or new economy projects, Wellbeing or Inner Transition, Social Justice / Just Transition activities, Share, Repair or reuse, Energy, Transport",2,https://maps.transitionnetwork.org/group/alberni-valley/,,
764933,Alberta Community Council on HIV,CA,Canada,Alberta,,,,"nonprofit organization in Edmonton, Canada",http://www.acch.ca/,,,healthcare,,,wikidata_subregion,Q30283615,,,,53.515607,-113.49977,nonprofit,,4,,,
909500,Anuttara Community,CA,Canada,British Columbia,Nass Camp,,,"status: Forming. type: Ecovillage (organized around ecology and sustainability.), Cohousing (individual homes within group owned property.), Transition Town or Eco-Neighborhood (focused on energy/resource resiliency). open to membership: Yes",https://www.ic.org/directory/anuttara-community/,,,housing_land,,,ic_directory,630383,,,,,,cooperative,"Ecovillage (organized around ecology and sustainability.), Cohousing (individual homes within group owned property.), Transition Town or Eco-Neighborhood (focused on energy/resource resiliency)",7,https://www.ic.org/directory/anuttara-community/,,
765039,Assembly of First Nations Quebec-Labrador,CA,Canada,Quebec,,,,indigenous peoples of Quebec and Labrador's political organization,https://apnql.com/en/,,,democracy,,,wikidata_subregion,Q2867046,,,,46.856666666667,-71.353333333333,nonprofit,,3,,,
763561,Association des enseignantes et des enseignants franco-ontariens,CA,Canada,,Ottawa,,labor/national_union,French-language labour organization whose members work in Ontario's French-language schools,https://aefo.on.ca,,,education,,,wikidata_unions,Q2867525,1939,,,56.13,-106.35,labor_union,,4,http://www.wikidata.org/entity/Q2867525,,
764996,Association for Women's Rights in Development,CA,Canada,Ontario,,,,international feminist organization,https://www.awid.org/,,,democracy,,,wikidata_subregion,Q4809532,,,,,,nonprofit,,2,,,
765022,Association of Cooperative Educators,CA,Canada,Ontario,,,,learned society,https://www.ace.coop/en/,,,education,,,wikidata_subregion,Q105663197,,,,45.4069721,-75.6782684,cooperative,,6,,,
764965,Autism Nova Scotia,CA,Canada,Nova Scotia,,,,"community-based organization that builds understanding, acceptance, and inclusion for Autistics/individuals on the autism spectrum and their families through leadership, advocacy, education, training, and programming across the lifespan",https://www.autismnovascotia.ca/,,,education,,,wikidata_subregion,Q123158005,,,,,,nonprofit,,2,,,
707726,B.C. Women's Hospital & Health Centre,CA,Canada,,,,,hospital in Canada,http://www.bcwomens.ca/,,,healthcare,,,wikidata,Q4833789,,,,56.13,-106.35,nonprofit,tier_b,2,,,
706530,BC Libraries Cooperative,CA,Canada,,,,,organization,http://bc.libraries.coop/,,,cooperatives,,,wikidata,Q76612323,,,,56.13,-106.35,cooperative,tier_b,6,,,
909539,BeeLiving Ecovillage/Ace Society,CA,Canada,British Columbia,Maple Ridge,,,"status: Forming. type: Ecovillage (organized around ecology and sustainability.), Cohousing (individual homes within group owned property.), Unspecified, or Other. open to membership: Yes",https://www.ic.org/directory/ace-society/,,,housing_land,,,ic_directory,409581,,,,,,cooperative,"Ecovillage (organized around ecology and sustainability.), Cohousing (individual homes within group owned property.), Unspecified, or Other",5,https://www.ic.org/directory/ace-society/,,
764964,Black Artists Network of Nova Scotia,CA,Canada,Nova Scotia,,,,professional artist association that develops the African-Nova Scotian arts community,https://banns.ca/,,,recreation_arts,,,wikidata_subregion,Q123343632,,,,,,federation,,2,,,
909566,Blueberry Commons Farm Cooperative,CA,Canada,British Columbia,Powell River,,,"status: Established (At least 4+ adults, 2+ years. type: Ecovillage (organized around ecology and sustainability.), Cohousing (individual homes within group owned property.). open to membership: Not currently~ but there is a list or possibly in the future",https://www.ic.org/directory/blueberry-commons-farm/,,,housing_land,,,ic_directory,551491,,,,,,cooperative,"Ecovillage (organized around ecology and sustainability.), Cohousing (individual homes within group owned property.)",10,https://www.ic.org/directory/blueberry-commons-farm/,,
908607,Bonjour Parc-Ex,CA,Canada,QB,Montreal,,,category: Network,https://www.facebook.com/groups/215992479479864/,,,democracy,,,mutual_aid_hub,GPyXl8nSPZb9jfDInOVz,,,,45.5016889,-73.567256,mutual_aid,,3,https://www.mutualaidhub.org/,,
764978,Brightshores Health System,CA,Canada,Ontario,,,,"Ontario, Canada",,,,healthcare,,,wikidata_subregion,Q5608118,,,,44.569444444444,-80.911388888889,nonprofit,,2,,,
903662,Building Resilience In Mission (BRIM),CA,Canada,BC,Mission,,,"The City of Mission consists of the small town of Mission and its surrounding rural area about 70 km (45 miles) east of Vancouver, British Columbia, Canada. It is located on the slopes of the north shore of the Fraser River overlooking the Fraser Valley. The rapidly growing community has a current population of about 41,000. In October 2011, the Vancouver-based Be The Change Earth Alliance, in cooperation with the District of Mission Restorative Justice program, presented an Environmental Symposium in Mission. Following the symposium, about 10 people formed an Action Circle to meet for 2 hours every second Saturday afternoon. There are currently 8 members. Initially, the focus was on supporting each other as we worked on individual actions leading to personally and ecologically healthier life-styles. We then expanded our actions into the community with several Transition-like events. In the summer of 2014, the Be The Change Circle decided that its next project would be the creation of a Transition Initiative in Mission. We began in July with 2 awareness-raising events - first a booth at the local Farmers’ Market then 2 weeks later a booth at a street festival. The intention was not to be the Transition Initiative but to be the catalyst in its formation. On March 28, 2015, about 40 citizens attended a public meeting to introduce the Transition concept to Mission. A couple of short videos explained the principals of Transition. Then, a panel of 3 representatives of local Tra...",http://www.wearebrim.ca/,,,energy_digital,,,transition_network,1316,,,,49.1533935,-122.3425448,collective,"Transition Group, Share, Repair or reuse, Energy, Other",7,https://maps.transitionnetwork.org/group/building-resilience-in-mission-brim/,,
909640,COEXIST Community,CA,Canada,Quebec,Val-Morin,,,"status: Forming. type: Commune (organized around sharing almost everything.), Ecovillage (organized around ecology and sustainability.), Cohousing (individual homes within group owned property.), Shared Housing, Cohouseholding, or Coliving (multiple individuals sharing a dwelling.), Transition Town or Eco-Neighborhood (focused on energy/resource resiliency). open to membership: Yes",https://www.ic.org/directory/coexist-community/,,,housing_land,,,ic_directory,501515,,,,,,cooperative,"Commune (organized around sharing almost everything.), Ecovillage (organized around ecology and sustainability.), Cohousing (individual homes within group owned property.), Shared Housing, Cohouseholding, or Coliving (multiple individuals sharing a dwelling.), Transition Town or Eco-Neighborhood (focused on energy/resource resiliency)",7,https://www.ic.org/directory/coexist-community/,,
908547,Calgary Community Fridge,CA,Canada,Alberta,Calgary,,,category: Network. tags: Community fridge/pantry - 902 Centre Street North,,,,democracy,,,mutual_aid_hub,CX0aKR2RvsHF25n9EVRG,,,,51.10796029999999,-114.0612726,mutual_aid,Community fridge/pantry - 902 Centre Street North,4,https://www.mutualaidhub.org/,,
908433,Canada / Montreal: Montreal COVID-19: Mutual Aid Mobilisation d’entraide,CA,Canada,QB,Montreal,,,category: Network,https://www.facebook.com/groups/1005041203222884/?ref=share,,,democracy,,,mutual_aid_hub,45fFjc0wFeSrCa7uZWFV,,,,45.5088,-73.554,mutual_aid,,9,https://www.mutualaidhub.org/,,
908944,Canada / Vancouver: Mutual Aid for Metro Vancouver — COVID-19 — Social Distancing Solidarity (Coast Salish Land),CA,Canada,BC,Vancouver,,,category: Network,,,,democracy,,,mutual_aid_hub,dq3pKeNRcoIeFUuHAobI,,,,49.2609,-123.1139,mutual_aid,,6,https://www.mutualaidhub.org/,,
909295,Canadian Community Economic Development Network,CA,Canada,,,,,CCED-NET is a member-led organization committed to strengthening communities by creating economic opportunities that improve environmental and social conditions.  We bring people and organizations together to share knowledge and build a collective voice for Community Economic Development action.,https://neweconomy.net/organization/canadian-community-economic-development-network/,,,ecology,,,nec_members,canadian-community-economic-development-network,,,,,,federation,,5,https://neweconomy.net/organization/canadian-community-economic-development-network/,,
911358,Canadian Community Economic Development Network - Réseau canadien de développement économique communautaire (CCED- RCDEC),CA,,,,,,scope: national. member of: RIPESS NA,https://ccednet-rcdec.ca/en,Erika  Licon,,cooperatives,,,ripess_family,socioeco:473:525,,,,43.652921,-79.384901,cooperative,"ripess_member, RIPESS NA",4,https://www.socioeco.org/bdf_organisme-525_en.html,,
763583,Canadian Labour Congress,CA,Canada,,Ottawa,,labor/national_union,national trade union centre,https://canadianlabour.ca,,,democracy,,,wikidata_unions,Q1032191,1956,,,56.13,-106.35,labor_union,,4,http://www.wikidata.org/entity/Q1032191,,
763948,Canadian Labour Congress/Congrès du travail du Canada,CA,Canada,,,,labor/union_federation,"ITUC affiliate. CLC-CTC. 1,500,000 members.",,,,cooperatives,,,ituc_affiliates,wp:Canadian_Labour_Congress,,,,56.13,-106.35,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Canadian_Labour_Congress,,
764957,Canadian Museum for Human Rights,CA,Canada,Manitoba,,,,national museum,https://humanrights.ca/,,,democracy,,,wikidata_subregion,Q630212,,,,49.890643,-97.131093,nonprofit,,2,,,
