id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
911295,"APRÈS (GE), le réseau genevois de l’économie sociale et solidaire.",CH,,,,,,"APRÈS, the social and solidarity economy (SSE) network, is committed to the promotion and recognition of the SSE in the Geneva region. Our mission: to contribute to making the economy a major lever for the transition to a society that respects people and the biosphere.. founded: 2004. scope: regional. member of: RIPESS Europe",https://www.apres-ge.ch//,Antonin  Calderon,,cooperatives,,,ripess_family,socioeco:471:120,,,,46.201756,6.146601,cooperative,"ripess_member, RIPESS Europe",9,https://www.socioeco.org/bdf_organisme-120_en.html,,
764297,Allgemeine Baugenossenschaft Zürich,CH,Switzerland,,Zurich,,land_and_housing/housing_cooperative,Housing cooperative in Zurich,http://www.abz.ch/,,,cooperatives,,,wikidata_land_trusts,Q1432088,1916,,,46.82,8.23,cooperative,,7,http://www.wikidata.org/entity/Q1432088,,
764759,Allgemeine Baugenossenschaft Zürich,CH,Switzerland,,Zurich,,labor/construction_cooperative,Housing cooperative in Zurich,http://www.abz.ch/,,,cooperatives,,,construction_coops,Q1432088,1916,,,46.82,8.23,cooperative,"construction,worker_cooperative",10,http://www.wikidata.org/entity/Q1432088,,
911166,Allgemeine Baugenossenschaft Zürich (ABZ),CH,,,Zürich,,,"ABZ is the biggest social housing co-operative in Switzerland. It was founded in 1916 by working class people to overcome an acute housing shortage in Zurich. ABZ&rsquo;s aim is to provide reasonably priced, environmentally sound and resource saving living and building with a lively neighbourhood using co-operative concepts. They provide fair and just rental fees and protection from eviction. They are a non-profit building and housing co-operative in the Zurich region of Switzerland.",http://www.abz.ch,,,cooperatives,,,ica_directory,3619,,,,,,cooperative,ica_member,10,https://lod.coop/ica/3619,,
903242,"Association ""Graine de""",CH,Switzerland,Fribourg,Villorsonnens,,,"Citizen network, founded by inhabitants of Villorsonnens. In the village or surroundings, the association aims to develop sustainable society projets, to promote ecology and local biodiversity, to encourage solidarity within people of all ages et of all social circles, to facilitate knowlegde transmission and sharing of knowhow, in respect for the environment. Collectif citoyen fondé par des habitants de Villorsonnens, sensibles aux questions environnementales et sociales. L'association a pour buts de développer, soutenir et promouvoir des projets de société durable sur le long terme, de promouvoir l’écologie, la biodiversité locale, l’utilisation mesurée des ressources naturelles et un mode de vie respectueux de l’environnement, d'encourager la solidarité, le partage de compétences, le partage dans sa globalité et le vivre ensemble, de favoriser la transmission de savoirs, pratiques et outils entre les générations et les horizons sociaux.",https://ggcircus.wixsite.com/grainedeok,,,food,,,transition_network,9020,,,,46.7097654,7.0001364,collective,"Transition Group, Other food projects, Nature, Community hub or activities, Festivals, fairs or events, Community visioning / imagination work, Building local networks, Youth or education projects, Share, Repair or reuse, Energy, Other",2,https://maps.transitionnetwork.org/group/association-graine-de/,,
763615,Avenir Social,CH,Switzerland,,Bern,,labor/national_union,Swiss trade union,http://www.avenirsocial.ch,,,democracy,,,wikidata_unions,Q790509,2005,,,46.82,8.23,labor_union,,4,http://www.wikidata.org/entity/Q790509,,
764492,Basler Wohnungsgenossenschaft,CH,Switzerland,,Basel,,land_and_housing/housing_cooperative,business,,,,housing_land,,,wikidata_land_trusts,Q139551138,,,,46.82,8.23,cooperative,,3,http://www.wikidata.org/entity/Q139551138,,
764617,Baugenossenschaft Letten,CH,Switzerland,,,,land_and_housing/housing_cooperative,,https://www.bgl-zuerich.ch/,,,housing_land,,,wikidata_land_trusts,Q104776234,,,,46.82,8.23,cooperative,,3,http://www.wikidata.org/entity/Q104776234,,
764456,Baugenossenschaft Pro Familia Kirchacker,CH,Switzerland,,Bern,,land_and_housing/housing_cooperative,,https://pro-familia-kirchacker.ch/,,,housing_land,,,wikidata_land_trusts,Q138567764,1946,,,46.82,8.23,cooperative,,3,http://www.wikidata.org/entity/Q138567764,,
903532,Chailly 2030 - une initiative citoyenne,CH,Switzerland,VD,Lausanne,,,"Nous sommes des habitants de Chailly, un quartier de la ville de Lausanne, près des rives du Léman. Vivant dans un monde de plus en plus fragilisé par une globalisation désordonnée, nous nous sentons responsables de nos actions, ainsi que de l’état dans lequel nous laisserons cette planète à nos enfants et petits-enfants. Nous avons créé l’association Chailly 2030, une association sans but lucratif, dans le souci de promouvoir des réalisations axées surtout sur notre lien à la terre, parce que nous considérons que c’est dans le domaine écologique que le besoin de changements est le plus urgent. Conscients du fait qu’agir seuls a peu de résonance et sensibles à l’importance de consolider les liens qui nous unissent à notre quartier, à nos voisins, aux réseaux qui structurent notre quotidien, nous voulons également agir dans le but de créer des liens sociaux, en particulier entre les générations. C’est ensemble que nous pourrons relever les défis de l’heure et que chacun pourra apporter une pierre à notre édifice commun. Nous entendons affirmer notre responsabilité citoyenne dans le cadre d’une collaboration avec les autorités et collectivités locales, les commerces, d’autres organisations, ainsi que les quartiers voisins en développant ensemble des projets. Nous voulons : – rechercher des alternatives au gaspillage des ressources et à la dépendance énergétique, – apporter des solutions locales, écologiques et solidaires pour garantir les besoins fondamentaux de la populatio...",https://www.chailly2030.ch,,,food,,,transition_network,1707,,,,46.5280744,6.6491713,collective,"Transition Group, Community Growing, Other food projects, Nature, Festivals, fairs or events, Building local networks, Share, Repair or reuse",3,https://maps.transitionnetwork.org/group/chailly-2030-une-initiative-citoyenne/,,
