id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
762710,Bund Chilenischer Burschenschaften,CL,Chile,,,,,confederation of German-Chilean student associations,,,,democracy,,,wikidata,Q933781,,,,-35.68,-71.54,nonprofit,,2,,,
712106,CEHUM,CL,Chile,,,,,Center for the study of wetlands Cruces River,https://cehum.org/,,,democracy,,,wikidata,Q112044553,,,,-35.68,-71.54,nonprofit,tier_b,3,,,
712137,Center of Applied Ecology & Sustainability,CL,Chile,,,,,academic department at Pontificia Universidad Católica de Chile,http://www.capes.cl/,,,education,,,wikidata,Q108737234,,,,-35.68,-71.54,nonprofit,tier_b,3,,,
763957,Central Autónoma de Trabajadores de Chile,CL,Chile,,,,labor/union_federation,"ITUC affiliate. CAT. 107,000 members.",,,,cooperatives,,,ituc_affiliates,wp:Central_Autónoma_de_Trabajadores_de_Chile,,,,-35.68,-71.54,labor_union,"labor_union,ituc_affiliate",2,https://en.wikipedia.org/wiki/Central_Aut%C3%B3noma_de_Trabajadores_de_Chile,,
763958,Central Unitaria de Trabajadores de Chile,CL,Chile,,,,labor/union_federation,"ITUC affiliate. CUT. 400,000 members.",,,,cooperatives,,,ituc_affiliates,wp:Central_Unitaria_de_Trabajadores_de_Chile,,,,-35.68,-71.54,labor_union,"labor_union,ituc_affiliate",2,https://en.wikipedia.org/wiki/Central_Unitaria_de_Trabajadores_de_Chile,,
712100,Chile Open Data Portal,CL,Chile,,,,,Open data portal of Chile,https://datos.gob.cl/,,,energy_digital,,,wikidata,Q108381608,,,,-35.68,-71.54,nonprofit,tier_b,3,,,
711711,Chilean Human Rights Commission,CL,Chile,,,,,"human rights organization based in Santiago, Chile",,,,democracy,,,wikidata,Q5779090,,,,-35.68,-71.54,nonprofit,tier_b,3,,,
711892,Chilean Library Association,CL,Chile,,,,,National library association of Chile,http://www.bibliotecarios.cl,,,education,,,wikidata,Q95421291,,,,-35.68,-71.54,nonprofit,tier_b,3,,,
711685,Chilean Red Cross,CL,Chile,,,,,National Red Cross Society in Chile,https://www.cruzroja.cl,,,democracy,,,wikidata,Q3698007,,,,-35.68,-71.54,nonprofit,tier_b,3,,,
762745,Data Observatory Foundation,CL,Chile,,,,,"nonprofit organization in Santiago, Chile",https://www.dataobservatory.net,,,energy_digital,,,wikidata,Q112752001,,,,-35.68,-71.54,nonprofit,,2,,,
762268,Educational Justice Center,CL,Chile,,,,,Chilean research center,https://centrojusticiaeducacional.uc.cl/,,,education,,,wikidata,Q124130372,,,,-35.68,-71.54,nonprofit,,2,,,
764686,Habitat for Humanity Chile,CL,Chile,,Santiago,,land_and_housing/sweat_equity_program,Habitat for Humanity country or regional office. Sweat-equity homeownership program. See https://www.vivienda.cl/.,https://www.vivienda.cl/,,,housing_land,,,habitat_affiliates,CL:habitat-for-humanity-chile,,,,-35.68,-71.54,sweat_equity_program,"habitat_affiliate,sweat_equity",3,https://www.vivienda.cl/,,
711823,Hod Chile,CL,Chile,,,,,Chilean LGBT rights advocacy group,,,,democracy,,,wikidata,Q17633852,,,,-35.68,-71.54,nonprofit,tier_b,3,,,
762269,Indigenous movement in Chile,CL,Chile,,,,,,,,,democracy,,,wikidata,Q1286774,,,,-35.68,-71.54,nonprofit,,3,,,
711881,Institute of Ecology and Biodiversity,CL,Chile,,,,,"nonprofit organization in Santiago, Chile",https://ieb-chile.cl/,,,ecology,,,wikidata,Q108737542,,,,-35.68,-71.54,nonprofit,tier_b,3,,,
711889,Library of the Economic Commission for Latin America and the Caribbean,CL,Chile,,,,,Library at the Economic Commission for Latin America and the Caribbean,https://www.cepal.org/es/biblioteca,,,education,,,wikidata,Q98901778,,,,-35.68,-71.54,nonprofit,tier_b,3,,,
711768,"Movimiento Contra la Tortura ""Sebastián Acevedo""",CL,Chile,,,,,"human rights group in Santiago, Chile",,,,democracy,,,wikidata,Q6025290,,,,-35.68,-71.54,nonprofit,tier_b,3,,,
711781,Movimiento de Integración y Liberación Homosexual,CL,Chile,,,,,Chilean LGBT advocacy organization,http://www.movilh.cl/,,,democracy,,,wikidata,Q9035498,,,,-35.68,-71.54,nonprofit,tier_b,3,,,
