id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
910992,All China Federation of Supply and Marketing Co-operatives (ACFSMC),CN,,,Beijing,,,"All China Federation of Supply and Marketing Cooperatives (ACFSMC) is the national apex organization with membership of provincial federations, prefecture federations, county federations and primary co-operatives.",http://www.chinacoop.gov.cn,,,cooperatives,,,ica_directory,100,,,,,,cooperative,ica_member,9,https://lod.coop/ica/100,,
764344,Cheerful Court,CN,People's Republic of China,,,,land_and_housing/housing_cooperative,,,,,housing_land,,,wikidata_land_trusts,Q19854840,2004,,,35.86,104.19,cooperative,,3,http://www.wikidata.org/entity/Q19854840,,
911234,Fujian Federation of Supply and Marketing Cooperatives (FUJIAN COOP),CN,,,"Fuzhou, Fujian",,,FUJIAN COOP is a union of all supply and marketing cooperatives across Fujian province.,http://www.fjcoop.org.cn/,,,cooperatives,,,ica_directory,41140,,,,,,cooperative,ica_member,9,https://lod.coop/ica/41140,,
911271,Guangdong Federation of Supply and Marketing Cooperatives,CN,,,Guangzhou,,,"The Guangdong Federation of Supply and Marketing Cooperatives is a comprehensive cooperative economic organization dedicated to serving agriculture, rural areas, and farmers, acting as the provincial-level joint organization for all supply and marketing cooperatives in Guangdong. It has established a board of directors and abroad of supervisory, operating under a board chairperson responsibility system. The union comprises 8 departments, oversees two directly affiliated schools, and administers the Guangdong Supply and Marketing Group, which manages six wholly owned and holding enterprises. The Guangdong Federation of Supply and Marketing Cooperatives currently include 20 prefecture-level city cooperatives, 96 county-level cooperatives, and 2,139 grassroots cooperatives. It has developed 4,574 specialized cooperatives, 175 associations, and 2,154 legal entity enterprises, with a total of 31,904 business outlets.",http://coop.gd.gov.cn/,,,cooperatives,,,ica_directory,56313,,,,,,cooperative,ica_member,10,https://lod.coop/ica/56313,,
763745,Hong Kong Professional Teachers' Union,CN,People's Republic of China,,Hong Kong,,labor/national_union,defunct union of the teaching profession in Hong Kong (1973-2026),https://www.hkptu.org/,,,democracy,,,wikidata_unions,Q13636526,1973,,,35.86,104.19,labor_union,,4,http://www.wikidata.org/entity/Q13636526,,
911279,Hubei Federation of Supply and Marketing Cooperatives,CN,,,"Wuhan, Hubei Province",,,,,,,cooperatives,,,ica_directory,57660,,,,,,cooperative,ica_member,6,https://lod.coop/ica/57660,,
909919,IC Changsha China,CN,China,Hunan,Changsha,,,"status: Forming. type: Commune (organized around sharing almost everything.), Ecovillage (organized around ecology and sustainability.), Cohousing (individual homes within group owned property.), Shared Housing, Cohouseholding, or Coliving (multiple individuals sharing a dwelling.), Student Housing or Student Co-Op, Spiritual or Religious Community, Transition Town or Eco-Neighborhood (focused on energy/resource resiliency), Traditional or Indigenous Community. open to membership: Yes",https://www.ic.org/directory/ic-changsha-china/,,,recreation_arts,,,ic_directory,618067,,,,,,cooperative,"Commune (organized around sharing almost everything.), Ecovillage (organized around ecology and sustainability.), Cohousing (individual homes within group owned property.), Shared Housing, Cohouseholding, or Coliving (multiple individuals sharing a dwelling.), Student Housing or Student Co-Op, Spiritual or Religious Community, Transition Town or Eco-Neighborhood (focused on energy/resource resiliency), Traditional or Indigenous Community",10,https://www.ic.org/directory/ic-changsha-china/,,
911072,International Committee for the Promotion of Chinese Industrial Co-operatives (ICCIC),CN,,,Beijing,,,"ICCIC is an international non-governmental organisation founded in 1939 in Hong Kong. It suspended its work in 1952 and was revived in 1987. ICCIC was created by co-operative workers, specialists, scholars, etc. who are concerned with China's socialist construction and enthusiastic about the Gung Ho movement. The Gung Ho movement is the Chinese term for ""Chinese Industrial Co-operatives"" which was initiated to organise unemployed workers and refugees to support the Chinese people's war of resistance against Japanese aggression in 1937. Today, ICCIC represents co-operative leaders, workers, experts, supporters, non-governmental organisations, schools and other enterprises in over 10 countries worldwide. Its aims are to establish and develop co-operatives in China to become the mainstay of China's economy as well as coordinate social and development efforts.",http://iccic.org.cn,,,cooperatives,,,ica_directory,559,,,,,,cooperative,ica_member,10,https://lod.coop/ica/559,,
911104,Jiangsu Supply & Marketing General Cooperative,CN,,,"Nanjing City, Jiangsu Province",,,"Jiangsu Supply and Marketing General Cooperative is a provincial-level federation representing supply and marketing cooperatives of Jiangsu Province. It focuses on providing comprehensive agricultural services for rural areas, farmers, and for farmers&rsquo; daily life.",http://gxhzzs.jiangsu.gov.cn/index.html,,,cooperatives,,,ica_directory,1775,,,,,,cooperative,ica_member,9,https://lod.coop/ica/1775,,
764478,Tung Tau Estate,CN,People's Republic of China,,,,land_and_housing/housing_cooperative,"public housing estate in Kowloon, Hong Kong",,,,housing_land,,,wikidata_land_trusts,Q7853001,,,,35.86,104.19,cooperative,,4,http://www.wikidata.org/entity/Q7853001,,
