id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
703502,Alexander von Humboldt Biological Resources Research Institute,CO,Colombia,,,,,independent non-regulatory research institute of the Executive Branch of the Government of Colombia charged with conducting scientific research on the biodiversity of the country,http://www.humboldt.org.co/,,,ecology,,,wikidata,Q4720532,,,,4.57,-74.3,nonprofit,tier_b,3,,,
703998,Archivo Histórico de la Universidad del Rosario,CO,Colombia,,,,,archive in Colombia,https://urosario.edu.co/archivo-historico,,,healthcare,,,wikidata,Q17058061,,,,4.57,-74.3,nonprofit,tier_b,3,,,
704005,Bartolomé Calvo Library,CO,Colombia,,,,,library,,,,education,,,wikidata,Q5727731,,,,4.57,-74.3,nonprofit,tier_b,3,,,
703967,Biblioburro,CO,Colombia,,,,,traveling library in Colombia,,,,education,,,wikidata,Q856346,,,,4.57,-74.3,nonprofit,tier_b,3,,,
703999,Biblioteca Comfama Aranjuez,CO,Colombia,,,,,library,,,,education,,,wikidata,Q5727743,,,,4.57,-74.3,nonprofit,tier_b,3,,,
703992,Biblioteca Departamental Jorge Garcés Borrero,CO,Colombia,,,,,library,http://bibliovalle.gov.co,,,education,,,wikidata,Q5727746,,,,4.57,-74.3,nonprofit,tier_b,3,,,
703974,Biblioteca Jorge Roa Martínez,CO,Colombia,,,,,library,https://biblioteca.utp.edu.co,,,education,,,wikidata,Q5727776,,,,4.57,-74.3,nonprofit,tier_b,3,,,
703989,Biblioteca José Félix de Restrepo,CO,Colombia,,,,,library,,,,education,,,wikidata,Q5727779,,,,4.57,-74.3,nonprofit,tier_b,3,,,
704009,Biblioteca Piloto del Caribe,CO,Colombia,,,,,library,,,,education,,,wikidata,Q5727832,,,,4.57,-74.3,nonprofit,tier_b,3,,,
704010,Biblioteca Pública Departamental Meira Delmar,CO,Colombia,,,,,library,http://www.atlantico.gov.co,,,education,,,wikidata,Q5727862,,,,4.57,-74.3,nonprofit,tier_b,3,,,
703978,Biblioteca Pública Julio Mario Santo Domingo,CO,Colombia,,,,,"library and concert hall in Bogotá, Colombia",,,,education,,,wikidata,Q5485045,,,,4.57,-74.3,nonprofit,tier_b,3,,,
703962,"Biblioteca Pública Municipal ""Agustin Rodriguez Garavito""",CO,Colombia,,,,,library,,,,education,,,wikidata,Q5727872,,,,4.57,-74.3,nonprofit,tier_b,3,,,
704000,Biblioteca Pública Piloto,CO,Colombia,,,,,library,http://www.bibliotecapiloto.gov.co,,,education,,,wikidata,Q2901525,,,,4.57,-74.3,nonprofit,tier_b,3,,,
703970,Biblioteca Pública Virgilio Barco,CO,Colombia,,,,,"Public library in Bogotá, Colombia",http://www.biblored.gov.co/,,,education,,,wikidata,Q2901319,,,,4.57,-74.3,nonprofit,tier_b,3,,,
703982,Biblioteca de Itagüí Diego Echavarría Misas,CO,Colombia,,,,,library,,,,education,,,wikidata,Q5727749,,,,4.57,-74.3,nonprofit,tier_b,3,,,
704030,Biblioteca de la Consejería Cultural de la Embajada de España en Bogotá,CO,Colombia,,,,,library,,,,education,,,wikidata,Q85682402,,,,4.57,-74.3,nonprofit,tier_b,3,,,
703965,Biblioteca de la Universidad de Antioquia,CO,Colombia,,,,,library,,,,education,,,wikidata,Q5727997,,,,4.57,-74.3,nonprofit,tier_b,3,,,
704017,Biblioteca del Centenario,CO,Colombia,,,,,"public library in Cali, Colombia",http://siabuc.cali.gov.co,,,education,,,wikidata,Q40826092,,,,4.57,-74.3,nonprofit,tier_b,3,,,
704006,Biblioteca del Centro Cultural Comfamiliar Atlántico,CO,Colombia,,,,,library,,,,education,,,wikidata,Q5728027,,,,4.57,-74.3,nonprofit,tier_b,3,,,
704036,Bogota Council Library,CO,Colombia,,,,,,https://concejodebogota.gov.co,,,education,,,wikidata,Q104715535,,,,4.57,-74.3,nonprofit,tier_c,3,,,
704021,Bogotá District Health Secretariat Library,CO,Colombia,,,,,,http://www.saludcapital.gov.co/Paginas2/ServiciosBiblioteca.aspx,,,healthcare,,,wikidata,Q104720448,,,,4.57,-74.3,nonprofit,tier_c,3,,,
763960,Central Unitaria de Trabajadores,CO,Colombia,,,,labor/union_federation,"ITUC affiliate. CUT. 510,455 members.",,,,cooperatives,,,ituc_affiliates,wp:Central_Union_of_Workers,,,,4.57,-74.3,labor_union,"labor_union,ituc_affiliate",2,https://en.wikipedia.org/wiki/Central_Union_of_Workers,,
