id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
689466,Accessibility without Exclusion,CR,Costa Rica,,,,,disability rights political party in Costa Rica [FILTERED: out of scope],http://partidopase.org,,,democracy,,,wikidata,Q4672493,,,,9.75,-83.75,nonprofit,tier_b,3,,,
696441,Biblioteca Carlos Monge Alfaro,CR,Costa Rica,,,,,library,,,,education,,,wikidata,Q20013473,,,,9.75,-83.75,nonprofit,tier_b,3,,,
696445,Biblioteca Nacional Miguel Obregon Lizano,CR,Costa Rica,,,,,national library of Costa Rica in San Jose,http://www.sinabi.go.cr/,,,education,,,wikidata,Q15548033,,,,9.75,-83.75,nonprofit,tier_b,3,,,
696444,"Biblioteca Pública Joaquín García Monge, Costa Rica",CR,Costa Rica,,,,,library,,,,education,,,wikidata,Q20013486,,,,9.75,-83.75,nonprofit,tier_b,3,,,
696430,Biblioteca Pública Montes de Oca,CR,Costa Rica,,,,,library,,,,education,,,wikidata,Q21565024,,,,9.75,-83.75,nonprofit,tier_b,3,,,
696431,Biblioteca Pública Municipal de Paraíso,CR,Costa Rica,,,,,library,,,,education,,,wikidata,Q21565025,,,,9.75,-83.75,nonprofit,tier_b,3,,,
696427,Biblioteca Pública de Alajuela,CR,Costa Rica,,,,,library,,,,education,,,wikidata,Q21565017,,,,9.75,-83.75,nonprofit,tier_b,3,,,
696443,Biblioteca Pública de Cartago,CR,Costa Rica,,,,,library,,,,education,,,wikidata,Q20013480,,,,9.75,-83.75,nonprofit,tier_b,3,,,
696442,Biblioteca Pública de Goicoechea,CR,Costa Rica,,,,,library,,,,education,,,wikidata,Q20013482,,,,9.75,-83.75,nonprofit,tier_b,3,,,
696423,Biblioteca Pública de Heredia,CR,Costa Rica,,,,,library,,,,education,,,wikidata,Q21541564,,,,9.75,-83.75,nonprofit,tier_b,3,,,
696424,Biblioteca Pública de Moravia,CR,Costa Rica,,,,,library,,,,education,,,wikidata,Q21541571,,,,9.75,-83.75,nonprofit,tier_b,3,,,
696428,Biblioteca Pública de Santo Domingo,CR,Costa Rica,,,,,library,,,,education,,,wikidata,Q21565022,,,,9.75,-83.75,nonprofit,tier_b,3,,,
