id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
764320,"""Märkische Scholle"" Wohnungsunternehmen eG",DE,Germany,,,,land_and_housing/housing_cooperative,,http://www.maerkische-scholle.de/,,,housing_land,,,wikidata_land_trusts,Q67198655,,,,51.17,10.45,cooperative,,2,http://www.wikidata.org/entity/Q67198655,,
763886,AMA Association for Sensors and Measurement,DE,Germany,,Berlin,,labor/national_union,,http://www.ama-sensorik.de/,,,democracy,,,wikidata_unions,Q294606,1981,,,51.17,10.45,labor_union,,2,http://www.wikidata.org/entity/Q294606,,
764555,Altonaer Spar- und Bauverein,DE,Germany,,Hamburg,,land_and_housing/housing_cooperative,building cooperative in Hamburg,https://altoba.de/,,,cooperatives,,,wikidata_land_trusts,Q123531168,1892,,,51.17,10.45,cooperative,,6,http://www.wikidata.org/entity/Q123531168,,
764748,Altonaer Spar- und Bauverein,DE,Germany,,Hamburg,,labor/construction_cooperative,building cooperative in Hamburg,https://altoba.de/,,,cooperatives,,,construction_coops,Q123531168,1892,,,51.17,10.45,cooperative,"construction,worker_cooperative",2,http://www.wikidata.org/entity/Q123531168,,
763829,Arbeitsgemeinschaft Missionarische Dienste,DE,Germany,,Berlin,,labor/national_union,German federation; missionary services working group,https://www.a-m-d.de/,,,democracy,,,wikidata_unions,Q627551,,,,51.17,10.45,labor_union,,2,http://www.wikidata.org/entity/Q627551,,
763648,Arbeitsrat für Kunst,DE,Germany,,Berlin,,labor/national_union,group of German architects and artists,,,,democracy,,,wikidata_unions,Q531372,1918,,,51.17,10.45,labor_union,,2,http://www.wikidata.org/entity/Q531372,,
763857,"Association for Electrical, Electronic and Information Technologies",DE,Germany,,Offenbach am Main,,labor/national_union,technical-scientific association based in Germany,https://www.vde.com/en,,,education,,,wikidata_unions,Q370439,1893,,,51.17,10.45,labor_union,,2,http://www.wikidata.org/entity/Q370439,,
761942,Association of Cooperatives Bavaria,DE,Germany,Bavaria,,,,Association of Bavarian Cooperative Organizations,http://www.gv-bayern.de/,,,cooperatives,,,wikidata_subregion,Q1502495,,,,51.17,10.45,nonprofit,,3,,,
764350,Aufbau,DE,Germany,,Q490521,,land_and_housing/housing_cooperative,,https://www.wbg-aufbau.de/,,,housing_land,,,wikidata_land_trusts,Q17521395,1954,,,51.17,10.45,cooperative,,2,http://www.wikidata.org/entity/Q17521395,,
764766,Aufbau,DE,Germany,,Q490521,,labor/construction_cooperative,,https://www.wbg-aufbau.de/,,,cooperatives,,,construction_coops,Q17521395,1954,,,51.17,10.45,cooperative,"construction,worker_cooperative",2,http://www.wikidata.org/entity/Q17521395,,
763827,BHE Bundesverband Sicherheitstechnik,DE,Germany,,Bavaria,,labor/national_union,,https://www.bhe.de/,,,democracy,,,wikidata_unions,Q1009036,,,,51.17,10.45,labor_union,,2,http://www.wikidata.org/entity/Q1009036,,
764591,Baugenossenschaft Dennerstraße-Selbsthilfe,DE,Germany,,,,land_and_housing/housing_cooperative,Housing cooperative in Hamburg,https://www.bds-hamburg.de/,,,cooperatives,,,wikidata_land_trusts,Q125457021,1924,,,51.17,10.45,cooperative,,10,http://www.wikidata.org/entity/Q125457021,,
