id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
764345,AKB,DK,Denmark,,Copenhagen,,land_and_housing/housing_cooperative,housing company in the Danish cooperative movement,,,,cooperatives,,,wikidata_land_trusts,Q12300097,1913,,,56.26,9.5,cooperative,,7,http://www.wikidata.org/entity/Q12300097,,
903525,Ananda Gaorii,DK,Denmark,Odsherred,Vig,,,"We are a spiritual community of aproximately 25-30 ppl in Denmark trying to live as sustainable as posible, creating local initiatives and out reach. It includes an organic, vegan, glutenfree bakery, a HUGE garden we are developing into a permaculture garden for self sufficiency, vegetarian/vegan diet, meditation, kiirtan, tools from the transition traditions, workshops, skill sharing and much more. Ervery year we have 15 international volunteers from the European Erasmus project, plus hosts events for conventions, workshops, facilitations, detoxes, education etc.",https://www.anandagaorii.dk,,,,,,transition_network,4563,,,,55.8608058,11.5824051,collective,Transition Group,7,https://maps.transitionnetwork.org/group/ananda-gaorii/,,
764316,Andelsboligforeningen Sortedam Dossering 59 A-K,DK,Denmark,,,,land_and_housing/housing_cooperative,,,,,housing_land,,,wikidata_land_trusts,Q12323020,,,,56.26,9.5,cooperative,,3,http://www.wikidata.org/entity/Q12323020,,
909524,Avnø Oasis ecovillage,DK,Denmark,Sjælland,Lundby,,,"status: Forming. type: Commune (organized around sharing almost everything.), Ecovillage (organized around ecology and sustainability.), Cohousing (individual homes within group owned property.), Shared Housing, Cohouseholding, or Coliving (multiple individuals sharing a dwelling.). open to membership: Yes",https://www.ic.org/directory/avno-oasis/,,,housing_land,,,ic_directory,536615,,,,,,cooperative,"Commune (organized around sharing almost everything.), Ecovillage (organized around ecology and sustainability.), Cohousing (individual homes within group owned property.), Shared Housing, Cohouseholding, or Coliving (multiple individuals sharing a dwelling.)",5,https://www.ic.org/directory/avno-oasis/,,
763756,BUPL,DK,Denmark,,Copenhagen,,labor/national_union,Danish labour union,https://bupl.dk/,,,democracy,,,wikidata_unions,Q12302694,1991,,,56.26,9.5,labor_union,,4,http://www.wikidata.org/entity/Q12302694,,
763786,Copenhagen Housemaid Association,DK,Denmark,,Copenhagen,,labor/national_union,"housemaid labour union in Copenhagen, Denmark, established 1899",,,,democracy,,,wikidata_unions,Q10552258,1899,,,56.26,9.5,labor_union,,4,http://www.wikidata.org/entity/Q10552258,,
763723,DM,DK,Denmark,,Akademikerhuset,,labor/national_union,,https://english.dm.dk,,,democracy,,,wikidata_unions,Q12307487,1918,,,56.26,9.5,labor_union,,4,http://www.wikidata.org/entity/Q12307487,,
763731,Danish Association of Chartered Surveyors,DK,Denmark,,Q113205670,,labor/national_union,trade union in Denmark,https://landinspektørforeningen.dk,,,democracy,,,wikidata_unions,Q12308127,1875,,,56.26,9.5,labor_union,,4,http://www.wikidata.org/entity/Q12308127,,
763712,Danish Association of Publicly and Privately Employed Dentists,DK,Denmark,,Akademikerhuset,,labor/national_union,Danish trade union,https://www.ato.dk,,,democracy,,,wikidata_unions,Q12342927,,,,56.26,9.5,labor_union,,4,http://www.wikidata.org/entity/Q12342927,,
763714,Dansk Frisør og Kosmetiker Forbund,DK,Denmark,,Copenhagen,,labor/national_union,hairdressers Union in Denmark,https://dfkf.dk/,,,democracy,,,wikidata_unions,Q12307442,,,,56.26,9.5,labor_union,,4,http://www.wikidata.org/entity/Q12307442,,
