id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
909586,Buckminster Fuller Collective - Sierra,EC,Ecuador,Azuay,30 Minutes to Cuenca,,,"status: Forming. type: Commune (organized around sharing almost everything.), Ecovillage (organized around ecology and sustainability.). open to membership: Yes",https://www.ic.org/directory/buckminster-fuller-collective-sierra/,,,ecology,,,ic_directory,565995,,,,,,collective,"Commune (organized around sharing almost everything.), Ecovillage (organized around ecology and sustainability.)",4,https://www.ic.org/directory/buckminster-fuller-collective-sierra/,,
691177,Conaie,EC,Ecuador,,,,,indigenous people's organization in Ecuador,https://conaie.org/,,,democracy,,,wikidata,Q1024020,,,,-1.83,-78.18,nonprofit,tier_b,3,,,
691182,Confederation of Indigenous Nationalities of the Ecuadorian Amazon,EC,Ecuador,,,,,ecuadorian indigenous political organization,https://confeniae.net/,,,democracy,,,wikidata,Q1024097,,,,-1.83,-78.18,federation,tier_b,3,,,
764168,Confédération Ecuatoriana de Organizaciones Clasistas Unitarias de Trabajadores,EC,Ecuador,,,,labor/union_federation,ITUC affiliate. CEDOCUT.,,,,cooperatives,,,ituc_affiliates,wp:Confédération_Ecuatoriana_de_Organizaciones_Clasistas_Unitarias_de_Trabajadores,,,,-1.83,-78.18,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Conf%C3%A9d%C3%A9ration_Ecuatoriana_de_Organizaciones_Clasistas_Unitarias_de_Trabajadores,,
764169,Confédération Ecuatoriana de Organizaciones Sindicales Libres,EC,Ecuador,,,,labor/union_federation,ITUC affiliate. CEOSL.,,,,cooperatives,,,ituc_affiliates,wp:Confédération_Ecuatoriana_de_Organizaciones_Sindicales_Libres,,,,-1.83,-78.18,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Conf%C3%A9d%C3%A9ration_Ecuatoriana_de_Organizaciones_Sindicales_Libres,,
911197,Cooperativa de Ahorro y Crédito Riobamba Ltda. (COAC RIOBAMBA),EC,,,Riobamba,,,"La Cooperativa de Ahorro y Cr&eacute;dito Riobamba Ltda. fue fundada el 12 de Octubre del 1978, por un grupo de artesanos con la finalidad de apoyarse mutuamente. En 1985 es intervenida y asumi&oacute; el reto el Msc. Pedro Morales el cual logr&oacute; con su trabajo transparente conjuntamente con su equipo de trabajo recuperar la confianza de los socios, lo cual hoy ocupa el puesto N&deg; 11 de Rankin de Cooperativa de Ahorro y Cr&eacute;dito del pa&iacute;s, es ejemplo por promover la Econom&iacute;a Popular y Solidaria, con el cual realiza inclusi&oacute;n financiera. Actualmente se encuentra impulsando la transformaci&oacute;n digital centrada en la satisfaci&oacute;n de sus socios, con lo cual a enfrentado los efectos de la pandemia y su colocaci&oacute;n de cr&eacute;dito est&aacute; enfocada a la reactivaci&oacute;n econ&oacute;mica de los sectores m&aacute;s desfavorecidos de la sociedad, con el cual trabaja. Compromete su trabajo al desarrollo del cooperativismo como herramienta de desarrollo en Ecuador y Latinuam&eacute;rica.",http://www.cooprio.fin.ec,,,cooperatives,,,ica_directory,21903,,,,,,cooperative,ica_member,6,https://lod.coop/ica/21903,,
909717,Durgas Tiger Land,EC,Ecuador,Esmeraldas,Chontaduro,,,"status: Established (At least 4+ adults, 2+ years. type: Ecovillage (organized around ecology and sustainability.), Cohousing (individual homes within group owned property.), Shared Housing, Cohouseholding, or Coliving (multiple individuals sharing a dwelling.), Transition Town or Eco-Neighborhood (focused on energy/resource resiliency). open to membership: Yes",https://www.ic.org/directory/durgas-tiger-land/,,,housing_land,,,ic_directory,446487,,,,,,cooperative,"Ecovillage (organized around ecology and sustainability.), Cohousing (individual homes within group owned property.), Shared Housing, Cohouseholding, or Coliving (multiple individuals sharing a dwelling.), Transition Town or Eco-Neighborhood (focused on energy/resource resiliency)",6,https://www.ic.org/directory/durgas-tiger-land/,,
691183,Ecuarunari,EC,Ecuador,,,,,ecuadorian indigenous organization,,,,democracy,,,wikidata,Q1274231,,,,-1.83,-78.18,nonprofit,tier_b,3,,,
909780,Evolution Ecovillage,EC,Ecuador,Morona Santiago,Gualaquiza,,,"status: Established (At least 4+ adults, 2+ years. type: Commune (organized around sharing almost everything.), Ecovillage (organized around ecology and sustainability.), Shared Housing, Cohouseholding, or Coliving (multiple individuals sharing a dwelling.), Transition Town or Eco-Neighborhood (focused on energy/resource resiliency). open to membership: Yes",https://www.ic.org/directory/evolution-ecovillage/,,,housing_land,,,ic_directory,516940,,,,,,cooperative,"Commune (organized around sharing almost everything.), Ecovillage (organized around ecology and sustainability.), Shared Housing, Cohouseholding, or Coliving (multiple individuals sharing a dwelling.), Transition Town or Eco-Neighborhood (focused on energy/resource resiliency)",6,https://www.ic.org/directory/evolution-ecovillage/,,
909787,Finca Cultura (Vegan Homestead),EC,Ecuador,Loja Province,Vilcabamba,,,"status: Forming. type: Shared Housing, Cohouseholding, or Coliving (multiple individuals sharing a dwelling.), Transition Town or Eco-Neighborhood (focused on energy/resource resiliency). open to membership: Yes",https://www.ic.org/directory/vegan-fruit-family/,,,housing_land,,,ic_directory,593601,,,,,,cooperative,"Shared Housing, Cohouseholding, or Coliving (multiple individuals sharing a dwelling.), Transition Town or Eco-Neighborhood (focused on energy/resource resiliency)",5,https://www.ic.org/directory/vegan-fruit-family/,,
