id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
763526,Confederation of Estonian Trade Unions,EE,Estonia,,Tallinn,,labor/national_union,umbrella organization of Estonian trade unions,http://www.eakl.ee/,,,democracy,,,wikidata_unions,Q2992666,1990,,,,,labor_union,,4,http://www.wikidata.org/entity/Q2992666,,
763554,Estonian Employees' Unions' Confederation,EE,Estonia,,Tallinn,,labor/national_union,organization based in Estonia,http://www.talo.ee/,,,democracy,,,wikidata_unions,Q2867621,1992,,,,,labor_union,,4,http://www.wikidata.org/entity/Q2867621,,
902584,Estonian Food Bank,EE,Estonia,,Tallinn,,,"The Estonian Food Bank serves to share food with deprived people, food that otherwise would have been destroyed. In short, the food bank brings food from places where it is in surplus to places where there is need. The Estonian Food Bank has a clear mission: to create solidarity between human beings and responsibility for the weakest.. type: foodbank. curated by: Mondo",www.toidupank.ee,info@toidupank.ee,,food,,,susy_map,f3bf23a40eaa3b4e,,,,59.43514415,24.7704699710442,nonprofit,,4,https://github.com/TransforMap/transformap-viewer/raw/gh-pages/susydata-fallback.json,,
902579,Estonian Green Movement,EE,Estonia,,Tartu,,,"The Estonian Green Movement is a non-profit organisation for environmental protection the aim of which is to improve the environmental situation in Estonia and to guide the society to sustainable, green thinking.. type: sse_education;ngo. curated by: Mondo",www.roheline.ee,info@roheline.ee,+372 5645 4459,education,,,susy_map,edd7d38648620d70,,,,58.3757,26.7166784439482,nonprofit,,2,https://github.com/TransforMap/transformap-viewer/raw/gh-pages/susydata-fallback.json,,
902568,Estonian Institute of Human Rights,EE,Estonia,,Tallinn,,,"Estonian Institute of Human Rights aims to collect, systematize, analyze, and forward information regarding human rights, to inform the society on the given topics, and to make suggestions for better protection of human rights in Estonia as well as in the World.. type: ngo. curated by: Mondo",http://www.humanrightsestonia.ee/,eihr@eihr.ee,+372 642 1000,,,,susy_map,570b3939b23c14f3,,,,59.42922895,24.7266116320046,research,,2,https://github.com/TransforMap/transformap-viewer/raw/gh-pages/susydata-fallback.json,,
902572,Estonian Roundtable for Development Cooperation,EE,Estonia,,Tallinn,,,"Estonian Roundtable for Development Cooperation is an independent non-profit coalition of non-governmental organizations that aim to raise awareness on global sustainable development, and work in the field of development cooperation of Estonia.. type: development_cooperation",www.terveilm.ee,info@terveilm.ee,+372 5234104,cooperatives,,,susy_map,6f3277fa5d15e3a0,,,,59.4390173,24.7288778,cooperative,,3,https://github.com/TransforMap/transformap-viewer/raw/gh-pages/susydata-fallback.json,,
902576,Estonian Roundtable for Development Cooperation,EE,Estonia,,Tallinn,,,Estonian Roundtable for Development Cooperation is an independent non-profit coalition of non-governmental organizations that promote global sustainable development and work in the field of development cooperation of Estonia.. type: coworking;development_cooperation. curated by: Mondo,www.terveilm.ee,info@terveilm.ee,+372 5234104,cooperatives,,,susy_map,5315ae38fe5e4fb5,,,,59.43991,24.729694,cooperative,,3,https://github.com/TransforMap/transformap-viewer/raw/gh-pages/susydata-fallback.json,,
902582,Ethical Links,EE,Estonia,,Tartu,,,"The activities of Ethical Links include promoting social inclusiveness, world education, development cooperation, fighting against discrimination and for social justice, cultural diversity and tolerance, and human rights.. type: ngo;development_cooperation;socialinclusion_empowerment;sse_education. curated by: Mondo",ethicallinks.org,info@ethicallinks.org,+372 51 32 891,cooperatives,,,susy_map,81a219b8b492c9ea,,,,58.38135,26.7297650103613,nonprofit,,5,https://github.com/TransforMap/transformap-viewer/raw/gh-pages/susydata-fallback.json,,
902570,Good Cooperation Savings and Loans Association,EE,Estonia,,Tallinn,,,Good Cooperation Savings and Loans Association takes deposits and lends money to ecologically and socially responsible projects.. type: ethicalfinance_education. curated by: Mondo,http://heapank.ee/,info@heapank.ee,+372 55570010,cooperatives,,,susy_map,f8999ab5766f53c9,,,,59.43827845,24.7837137313675,cooperative,,4,https://github.com/TransforMap/transformap-viewer/raw/gh-pages/susydata-fallback.json,,
902577,Peipsi Center for Transboundary Cooperation,EE,Estonia,,Tartu,,,"Peipsi Center for Transboundary Cooperation works since 1994 in the field of global and environmental education; sustainable local resources management and border research topics.
Their focus is Lake Peipsi/Chudskoe region in the Estonian-Russian border area, but they have implemented several development cooperation projects in Eastern Partnership and Central Asian countries.. type: development_cooperation;sse_education;other_education. curated by: Mondo",www.ctc.ee,margitsare@gmail.com,+3725088409,cooperatives,,,susy_map,f51da958c632bc6d,,,,58.3872625,26.7338551307054,cooperative,,5,https://github.com/TransforMap/transformap-viewer/raw/gh-pages/susydata-fallback.json,,
