id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
716195,Abbasyia Mental Health Hospital,EG,Egypt,,,,,hospital,,,,healthcare,,,wikidata,Q64576144,,,,26.82,30.8,nonprofit,tier_b,2,,,
715876,Adalah Center for Rights and Freedoms,EG,Egypt,,,,,Egyptian human rights organisation,,,,democracy,,,wikidata,Q69417618,,,,26.82,30.8,research,tier_b,2,,,
716252,"Al Farafrah Child & Youth Public Library, General Organization of Culture Palaces.",EG,Egypt,,,,,library in Egypt,,,,education,,,wikidata,Q68652981,,,,26.82,30.8,nonprofit,tier_b,2,,,
715867,Cairo Institute for Human Rights Studies,EG,Egypt,,,,,Egyptian human rights organisation,http://www.cihrs.org/?lang=en,,,democracy,,,wikidata,Q29914419,,,,26.82,30.8,research,tier_b,2,,,
910964,Central Housing Cooperative Union (CHCU),EG,,,Giza,,,"CHCU is a non-governmental oganisation whose members are the cooperative housing societies in Egypt. Their aims are to provide adequate modern housing for middle to low-income citizens at real cost while providing necessary services that would benefit members. All housing cooperatives are under the supervision, assistance and direction of CACU by Egyptian law. The General Assembly is made up of the cooperative housing societies and they elect the Board of Directors.",http://www.chc-egypt.com,,,cooperatives,,,ica_directory,21,,,,,,cooperative,ica_member,10,https://lod.coop/ica/21,,
716271,"Child and Youth Library in New Assiut, General Organization of Culture Palaces.",EG,Egypt,,,,,library in Egypt,,,,education,,,wikidata,Q68652990,,,,26.82,30.8,nonprofit,tier_b,2,,,
715882,Egyptian Commission for Rights and Freedoms,EG,Egypt,,,,,Egyptian human rights organisation,https://www.ec-rf.net/,,,democracy,,,wikidata,Q48740070,,,,26.82,30.8,government,tier_b,2,,,
764170,Egyptian Democratic Labour Congress,EG,Egypt,,,,labor/union_federation,ITUC affiliate. EDLC.,,,,cooperatives,,,ituc_affiliates,wp:Egyptian_Democratic_Labour_Congress,,,,26.82,30.8,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Egyptian_Democratic_Labour_Congress,,
764171,Egyptian Federation of Independent Trade Unions,EG,Egypt,,,,labor/union_federation,ITUC affiliate. EFITU.,,,,cooperatives,,,ituc_affiliates,wp:Egyptian_Federation_of_Independent_Trade_Unions,,,,26.82,30.8,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Egyptian_Federation_of_Independent_Trade_Unions,,
715821,Egyptian Food Bank,EG,Egypt,,,,,non-governmental organization,https://www.efb.eg/,,,food,,,wikidata,Q16125206,,,,26.82,30.8,nonprofit,tier_b,4,,,
715817,Egyptian Initiative for Personal Rights,EG,Egypt,,,,,Egyptian human rights organization,http://www.eipr.org/en,,,democracy,,,wikidata,Q5348416,,,,26.82,30.8,nonprofit,tier_b,2,,,
716329,Egyptian Open Data initiative,EG,Egypt,,,,,,http://www.egypt.gov.eg/english/general/Open_Gov_Data_Initiative.aspx,,,energy_digital,,,wikidata,Q97011670,,,,26.82,30.8,nonprofit,tier_c,3,,,
764690,Habitat for Humanity Egypt,EG,Egypt,,Cairo,,land_and_housing/sweat_equity_program,Habitat for Humanity country or regional office. Sweat-equity homeownership program. See https://www.habitategypt.org/.,https://www.habitategypt.org/,,,housing_land,,,habitat_affiliates,EG:habitat-for-humanity-egypt,,,,26.82,30.8,sweat_equity_program,"habitat_affiliate,sweat_equity",9,https://www.habitategypt.org/,,
911203,The General Authority for Construction and Housing Cooperatives (CHC),EG,,,Cairo,,,"The General Authority for Construction & Housing Cooperatives (CHC) is one of the government bodies affiliated to the Ministry of Housing, Utilities and Urban Communities in Egypt. CHC is working to advance the process of cooperative housing in Egypt through dissemination of cooperative goals and objectives within the recent context. It aims to provide decent housing for every Egyptian citizen at an affordable price with easy instalments. It also helps develop various cooperative (productive) communities. They have recently allocated land in 15 cities in Egypt for the construction of cooperative housing communities. They also provide consultation and support in planning, urban design, architectural design and by providing infrastructure / public utilities. They can also provide site management and supervision during the construction phase. These activities are completed with affiliated cooperative societies.",http://www.icch-eg.com/,,,cooperatives,,,ica_directory,24671,,,,,,cooperative,ica_member,7,https://lod.coop/ica/24671,,
