id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
764778,Alkargo,ES,Spain,,Erandio,,labor/construction_cooperative,Mondragon electrical and wind-power transformer co-op with a construction and installation arm.,https://www.alkargo.com/,,,cooperatives,,,construction_coops,seed:alkargo,,,,40.46,-3.75,cooperative,"construction,worker_cooperative",3,https://www.alkargo.com/,,
763820,Asociación de Industriales de Mallorca,ES,Spain,,Mallorca,,labor/national_union,,,,,democracy,,,wikidata_unions,Q733915,,,,40.46,-3.75,labor_union,,2,http://www.wikidata.org/entity/Q733915,,
763713,CGT Catalunya,ES,Spain,,Barcelona,,labor/national_union,,http://www.cgtcatalunya.cat,,,democracy,,,wikidata_unions,Q11910303,,,,40.46,-3.75,labor_union,,2,http://www.wikidata.org/entity/Q11910303,,
763758,Central Unitaria de Traballadores,ES,Spain,,Cangas,,labor/national_union,Spanish labor union,http://www.cutgaliza.org/,,,democracy,,,wikidata_unions,Q12385926,1998,,,40.46,-3.75,labor_union,,2,http://www.wikidata.org/entity/Q12385926,,
763598,Confederación General del Trabajo,ES,Spain,,Madrid,,labor/national_union,spanish anarcho-syndicalist trade union,http://www.cgt.es/,,,democracy,,,wikidata_unions,Q1124863,1979,,,40.46,-3.75,labor_union,,2,http://www.wikidata.org/entity/Q1124863,,
763549,Confederación Intersindical Galega,ES,Spain,,Santiago de Compostela,,labor/national_union,,https://www.cig.gal/,,,democracy,,,wikidata_unions,Q3307034,1994,,,40.46,-3.75,labor_union,,2,http://www.wikidata.org/entity/Q3307034,,
763594,Confederación Nacional del Trabajo,ES,Spain,,Bilbao,,labor/national_union,Spanish trade union,https://www.cnt-ait.org,,,democracy,,,wikidata_unions,Q550420,1910,,,40.46,-3.75,labor_union,,2,http://www.wikidata.org/entity/Q550420,,
764116,Confederación Sindical de Comisiones Obreras,ES,Spain,,,,labor/union_federation,"ITUC affiliate. CC.OO.. 900,000 members.",,,,cooperatives,,,ituc_affiliates,wp:Confederación_Sindical_de_Comisiones_Obreras,,,,40.46,-3.75,labor_union,"labor_union,ituc_affiliate",2,https://en.wikipedia.org/wiki/Confederaci%C3%B3n_Sindical_de_Comisiones_Obreras,,
763788,Coordinadora Obrera Sindical,ES,Spain,,Barcelona,,labor/national_union,,http://www.sindicatcos.cat,,,democracy,,,wikidata_unions,Q8350531,1987,,,40.46,-3.75,labor_union,,2,http://www.wikidata.org/entity/Q8350531,,
763864,EUROSAI,ES,Spain,,Madrid,,labor/national_union,organization,http://www.eurosai.org,,,democracy,,,wikidata_unions,Q673358,1990,,,40.46,-3.75,labor_union,,2,http://www.wikidata.org/entity/Q673358,,
