id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
717344,Addis Ababa University School of Public Health,ET,Ethiopia,,,,,academic department,,,,education,,,wikidata,Q100946193,,,,9.14,40.49,nonprofit,tier_b,3,,,
717301,Addis Continental Institute of Public Health,ET,Ethiopia,,,,,"public health center in Addis Ababa, Ethiopia",http://www.addiscontinental.edu.et/,,,healthcare,,,wikidata,Q4681202,,,,9.14,40.49,nonprofit,tier_b,3,,,
717224,Association of Ethiopian Microfinance Institutions,ET,Ethiopia,,,,,"nonprofit organization in Addis Ababa, Ethiopia",http://www.aemfi-ethiopia.org/,,,democracy,,,wikidata,Q50040083,,,,9.14,40.49,nonprofit,tier_b,3,,,
717252,Center for Advancement of Rights and Democracy (CARD),ET,Ethiopia,,,,,A human rights Association,https://www.cardeth.org/,,,democracy,,,wikidata,Q135106487,,,,9.14,40.49,nonprofit,tier_b,3,,,
717241,Consortium of Ethiopian Human Rights Organizations,ET,Ethiopia,,,,,Ethiopian government agency,https://cehro.org/,,,democracy,,,wikidata,Q135274966,,,,9.14,40.49,nonprofit,tier_b,3,,,
717270,Ethio Wetlands and Natural Resources Association,ET,Ethiopia,,,,,A non governmental organization in Ethiopia,https://ewnra.et/,,,democracy,,,wikidata,Q136142034,,,,9.14,40.49,nonprofit,tier_b,3,,,
717246,Ethiopian Forestry Development,ET,Ethiopia,,,,,"nonprofit organization in Addis Ababa, Ethiopia",https://www.efd.gov.et,,,ecology,,,wikidata,Q130882635,,,,9.14,40.49,nonprofit,tier_b,3,,,
717210,Ethiopian Human Rights Council,ET,Ethiopia,,,,,Ethiopian human rights non-governmental organisation created in 1991,https://ehrco.org,,,democracy,,,wikidata,Q104920376,,,,9.14,40.49,nonprofit,tier_b,3,,,
717242,Ethiopian Human Rights Defenders Center,ET,Ethiopia,,,,,Human rights defenders organization in Ethiopia,https://ethdefenders.org,,,democracy,,,wikidata,Q135748089,,,,9.14,40.49,nonprofit,tier_b,3,,,
717196,Ethiopian Red Cross Society,ET,Ethiopia,,,,,National Red Cross Society in Ethiopia,http://www.redcrosseth.org/,,,democracy,,,wikidata,Q3698039,,,,9.14,40.49,nonprofit,tier_b,3,,,
717235,Ethiopian Red Cross Society (ERCS),ET,Ethiopia,,,,,An Association in Ethiopia,https://redcrosseth.org/,,,democracy,,,wikidata,Q135114827,,,,9.14,40.49,nonprofit,tier_b,3,,,
717264,Ethiopian Women Development Organization,ET,Ethiopia,,,,,"Ethiopian non-governmental organization focused on women's rights, digital literacy, and gender equality",https://www.ewdoet.org/,,,education,,,wikidata,Q136714197,,,,9.14,40.49,nonprofit,tier_b,3,,,
717267,Ethiopia’s Green Legacy,ET,Ethiopia,,,,,A non governmental organization in Ethiopia,https://ethio-greenlegacy.et/,,,democracy,,,wikidata,Q136141453,,,,9.14,40.49,nonprofit,tier_b,3,,,
764692,Habitat for Humanity Ethiopia,ET,Ethiopia,,Addis Ababa,,land_and_housing/sweat_equity_program,Habitat for Humanity country or regional office. Sweat-equity homeownership program. See https://www.habitat.org/where-we-work/ethiopia.,https://www.habitat.org/where-we-work/ethiopia,,,housing_land,,,habitat_affiliates,ET:habitat-for-humanity-ethiopia,,,,9.14,40.49,sweat_equity_program,"habitat_affiliate,sweat_equity",3,https://www.habitat.org/where-we-work/ethiopia,,
717349,Haramaya University Department of Environmental Health,ET,Ethiopia,,,,,academic department,,,,healthcare,,,wikidata,Q100946233,,,,9.14,40.49,nonprofit,tier_b,3,,,
717348,Haramaya University Department of Public Health,ET,Ethiopia,,,,,academic department,,,,healthcare,,,wikidata,Q100946234,,,,9.14,40.49,nonprofit,tier_b,3,,,
717225,Institute for Sustainable Development,ET,Ethiopia,,,,,"nonprofit organization in Addis Ababa, Ethiopia",http://www.isd.org.et/,,,democracy,,,wikidata,Q30266877,,,,9.14,40.49,nonprofit,tier_b,3,,,
717255,OXFAM International Ethiopia,ET,Ethiopia,,,,,An International Association in Ethiopia,https://www.oxfam.org/en/tags/addis-ababa,,,democracy,,,wikidata,Q135493811,,,,9.14,40.49,nonprofit,tier_b,3,,,
717200,Organization for Social Services for AIDS,ET,Ethiopia,,,,,"nonprofit organization in Addis Ababa, Ethiopia",http://ossa-ethiopia.org/,,,healthcare,,,wikidata,Q30262045,,,,9.14,40.49,nonprofit,tier_b,3,,,
717239,Policy Studies Institute’s Environment and Climate Research Center,ET,Ethiopia,,,,,research institute,https://www.efdinitiative.org/ethiopia,,,ecology,,,wikidata,Q117844775,,,,9.14,40.49,nonprofit,tier_b,3,,,
717236,Sustainable Agriculture and Environmental Rehabilitation in Tigray (SAERT),ET,Ethiopia,,,,,A non governmental organization in Ethiopia,,,,food,,,wikidata,Q135482970,,,,9.14,40.49,nonprofit,tier_b,3,,,
717272,ZOA International (Ethiopia),ET,Ethiopia,,,,,A Refugee Association in Ethiopia,https://www.zoa-international.com/ethiopia,,,democracy,,,wikidata,Q135482619,,,,9.14,40.49,nonprofit,tier_b,3,,,
