id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
906784,Andromeda,FI,Finland,,,,,,https://www.facebook.com/A.Nabizade,,,democracy,,,mutual_aid_wiki,52f3b8a8-35ee-4c96-a53f-57f7014895ab,,,,60.4518126,22.2666302,mutual_aid,mutual_aid,3,https://raw.githubusercontent.com/Covid-Mutual-Aid/mutual-aid-wiki/master/groups.json,,
911316,Commons.FI,FI,,,,,,scope: national. member of: RIPESS Europe,https://commons.fi/,rubyvdwekke@gmail.com,,cooperatives,,,ripess_family,socioeco:471:862,,,,60.167409,24.942568,cooperative,"ripess_member, RIPESS Europe",6,https://www.socioeco.org/bdf_organisme-862_en.html,,
902266,Ehta Raha,FI,Finland,,Helsinki,,,Ehta Raha is a common good cooperative providing ethical financing e.g. community bonds.. type: other_finance. tags: Community bonds;Microfinance;Participatory Budgeting. curated by: Eetti,http://www.ehtaraha.fi,,,cooperatives,,,susy_map,5f1226783715ef8b,,,,60.16400993877,25.08376925337,nonprofit,,7,https://github.com/TransforMap/transformap-viewer/raw/gh-pages/susydata-fallback.json,,
763732,Finnish Actors Union,FI,Finland,,Punavuori,,labor/national_union,Finnish trade union,https://www.nayttelijaliitto.fi/nayttelijaliitto/pa-svenska/,,,democracy,,,wikidata_unions,Q15101747,1913,,,61.92,25.75,labor_union,,4,http://www.wikidata.org/entity/Q15101747,,
763720,Finnish Musicians’ Union,FI,Finland,,Kaartinkaupunki,,labor/national_union,trade organization for professional musicians in Finland,https://www.muusikkojenliitto.fi,,,democracy,,,wikidata_unions,Q11894883,1917,,,61.92,25.75,labor_union,,4,http://www.wikidata.org/entity/Q11894883,,
763739,Finnish Union of University Professors,FI,Finland,,Itä-Pasila,,labor/national_union,Finnish trade union,http://www.professoriliitto.fi/,,,democracy,,,wikidata_unions,Q11888878,1969,,,61.92,25.75,labor_union,,4,http://www.wikidata.org/entity/Q11888878,,
909834,Good Life Community,FI,Finland,Northern Savonia,Rautalampi,,,"status: Forming. type: Commune (organized around sharing almost everything.), Ecovillage (organized around ecology and sustainability.), Cohousing (individual homes within group owned property.), Shared Housing, Cohouseholding, or Coliving (multiple individuals sharing a dwelling.). open to membership: Yes",https://www.ic.org/directory/good-life-community/,,,housing_land,,,ic_directory,519423,,,,,,cooperative,"Commune (organized around sharing almost everything.), Ecovillage (organized around ecology and sustainability.), Cohousing (individual homes within group owned property.), Shared Housing, Cohouseholding, or Coliving (multiple individuals sharing a dwelling.)",6,https://www.ic.org/directory/good-life-community/,,
763764,HKY,FI,Finland,,Helsinki,,labor/national_union,Finnish labor union,https://www.hky001.fi/,,,democracy,,,wikidata_unions,Q18658933,1869,,,61.92,25.75,labor_union,,4,http://www.wikidata.org/entity/Q18658933,,
763506,Iriadamant,FI,Finland,,,,labor/union_federation,community of people who traveled through Europe from the 1970s to the 1990s and acted like an Indian tribe (Lifestyle Indians),,,,democracy,,,wikidata_unions,Q11865013,1978,,,61.92,25.75,labor_union,,5,http://www.wikidata.org/entity/Q11865013,,
902646,Kohtuus Vaarassa - Kohtuusliike,FI,Finland,,Koli,,,"Kohtuus Vaarassa on Joensuusta käsin toimiva kansalaisliike, joka järjestää keskustelutilaisuuksia ja tapahtumia Kohtuullisen elämäntavan edistämiseksi. Kohtuusliike tavoittelee elämäntavan syvällistä muutosta, kulutuksen hillintää, paikallisen tiedon ja luontosuhteen elvyttämistä ja talouskasvusta luopumista. Kohtuus Vaarassa on myös joka toinen vuosi järjestettävä monitieteinen ja -taiteellinen seminaari Kolin kansallispuistossa.. type: community_group;consumerism_awareness;networking_initiative;socialinclusion_empowerment;sse_education;other_foodedunpolicy;other_communities;other_education;other_political",http://www.kohtuusvaarassa.com/about/,,,food,,,susy_map,236eabcbe5bfc5b2,,,,63.08326,29.831314,nonprofit,,3,https://github.com/TransforMap/transformap-viewer/raw/gh-pages/susydata-fallback.json,,
