id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
764808,Acome,FR,France,,Mortain,,labor/construction_cooperative,SCOP manufacturer of cables for construction and networks; worker-owned since 1932.,https://www.acome.com/,,,cooperatives,,,construction_coops,seed:acome,,,,46.23,2.21,cooperative,"construction,worker_cooperative",3,https://www.acome.com/,,
764803,Alma Consulting Group,FR,France,,Lyon,,labor/construction_cooperative,"SCOP trade consultancy, advises construction-sector co-ops.",https://www.almacg.com/,,,cooperatives,,,construction_coops,seed:alma-consulting-group,,,,46.23,2.21,cooperative,"construction,worker_cooperative",3,https://www.almacg.com/,,
762453,Association for the recognition of the gays and transexuals right to migration,FR,France,,,,,,https://ardhis.org/,,,democracy,,,wikidata,Q63852425,,,,46.23,2.21,nonprofit,,2,,,
762454,Association médicale française pour l'aide aux transsexuel,FR,France,,,,,trans organization in France,,,,democracy,,,wikidata,Q113482284,,,,46.23,2.21,nonprofit,,2,,,
763810,Ateliers Beaux-Arts de la Ville de Paris,FR,France,,Paris,,labor/national_union,,,,,democracy,,,wikidata_unions,Q18213999,,,,46.23,2.21,labor_union,,2,http://www.wikidata.org/entity/Q18213999,,
763544,CFDT Cadres,FR,France,,avenue Simon-Bolivar,,labor/national_union,,https://www.cadrescfdt.fr/,,,democracy,,,wikidata_unions,Q2931309,1967,,,46.23,2.21,labor_union,,2,http://www.wikidata.org/entity/Q2931309,,
763558,Confédération interprofessionnelle de défense et d'union nationale d'action des travailleurs indépendants (France),FR,France,,Aix-en-Provence,,labor/national_union,French union,http://www.cidunati.net,,,democracy,,,wikidata_unions,Q2992764,1969,,,46.23,2.21,labor_union,,2,http://www.wikidata.org/entity/Q2992764,,
763596,Corsican Workers' Trade Union,FR,France,,Ajaccio,,labor/national_union,trade union of France,,,,democracy,,,wikidata_unions,Q592298,1984,,,46.23,2.21,labor_union,,2,http://www.wikidata.org/entity/Q592298,,
764805,Ethelec,FR,France,,Labège,,labor/construction_cooperative,French SCOP electrical-trades construction cooperative.,https://www.ethelec.fr/,,,cooperatives,,,construction_coops,seed:ethelec,,,,46.23,2.21,cooperative,"construction,worker_cooperative",3,https://www.ethelec.fr/,,
762459,FITASC,FR,France,,,,,international sport federation for sport shooting,https://www.fitasc.com,,,recreation_arts,,,wikidata,Q5425970,,,,46.23,2.21,nonprofit,,2,,,
762449,Federation for National Education,FR,France,,,,,trade union of France,,,,education,,,wikidata,Q3091563,,,,46.23,2.21,nonprofit,,2,,,
762450,"Federation of Education, Research and Culture",FR,France,,,,,trade union of France,https://www.ferc-cgt.org,,,education,,,wikidata,Q3091556,,,,46.23,2.21,nonprofit,,2,,,
762458,Federation of Public Service and Health Service Staff,FR,France,,,,,trade union of France,https://www.fosps.com,,,healthcare,,,wikidata,Q18745180,,,,46.23,2.21,nonprofit,,2,,,
762457,French Handball Federation,FR,France,,,,,National sporting association,https://www.ffhandball.fr,,,recreation_arts,,,wikidata,Q684210,,,,46.23,2.21,nonprofit,,2,,,
763568,Fédération nationale de l'immobilier,FR,France,,Paris,,labor/national_union,,http://www.fnaim.fr/,,,democracy,,,wikidata_unions,Q3091998,1946,,,46.23,2.21,labor_union,,2,http://www.wikidata.org/entity/Q3091998,,
763536,Fédération nationale des syndicats confédérés des professionnels de la vente (France),FR,France,,Paris,,labor/national_union,French union,,,,democracy,,,wikidata_unions,Q3092047,1891,,,46.23,2.21,labor_union,,2,http://www.wikidata.org/entity/Q3092047,,
763541,Gimélec,FR,France,,Paris,,labor/national_union,,http://www.gimelec.fr,,,democracy,,,wikidata_unions,Q3106677,1971,,,46.23,2.21,labor_union,,2,http://www.wikidata.org/entity/Q3106677,,
764807,Groupe Up,FR,France,,Gennevilliers,,labor/construction_cooperative,"French Scop federation active in construction, logistics, and digital trades.",https://www.up.coop/,,,cooperatives,,,construction_coops,seed:groupe-up,,,,46.23,2.21,cooperative,"construction,worker_cooperative",3,https://www.up.coop/,,
