id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
716990,ASHANTI LIBRARY,GH,Ghana,,,,,library in Ghana,,,,education,,,wikidata,Q68652444,,,,7.95,-1.02,nonprofit,tier_b,3,,,
717014,Abiriw Branch Library,GH,Ghana,,,,,library in Ghana,,,,education,,,wikidata,Q68652025,,,,7.95,-1.02,nonprofit,tier_b,3,,,
716890,"Abiriw District Library, GhLA",GH,Ghana,,,,,library in Ghana,,,,education,,,wikidata,Q68651639,,,,7.95,-1.02,nonprofit,tier_b,3,,,
716954,Abura Dunkwa Branch Library,GH,Ghana,,,,,library in Ghana,,,,education,,,wikidata,Q68652079,,,,7.95,-1.02,nonprofit,tier_b,3,,,
717001,Accra College of Education Community Library,GH,Ghana,,,,,library in Ghana,,,,education,,,wikidata,Q68652419,,,,7.95,-1.02,nonprofit,tier_b,3,,,
717005,African Book Challenge,GH,Ghana,,,,,library in Ghana,,,,education,,,wikidata,Q68652625,,,,7.95,-1.02,nonprofit,tier_b,3,,,
716387,African Library and Information Associations and Institutions,GH,Ghana,,,,,non-profit organization based in Ghana,https://web.aflia.net/,,,education,,,wikidata,Q17310153,,,,7.95,-1.02,nonprofit,tier_b,3,,,
716949,Agbozume Branch Library,GH,Ghana,,,,,library in Ghana,,,,education,,,wikidata,Q68651603,,,,7.95,-1.02,nonprofit,tier_b,3,,,
717074,Agona Asafo Community Library,GH,Ghana,,,,,library in Ghana,,,,education,,,wikidata,Q68653378,,,,7.95,-1.02,nonprofit,tier_b,3,,,
717002,Agona Swedru Library,GH,Ghana,,,,,library in Ghana,,,,education,,,wikidata,Q68651916,,,,7.95,-1.02,nonprofit,tier_b,3,,,
716909,"Ajumàko District Library, GhLA",GH,Ghana,,,,,library in Ghana,,,,education,,,wikidata,Q68651622,,,,7.95,-1.02,nonprofit,tier_b,3,,,
716919,"Akim Oda Library, GhLA",GH,Ghana,,,,,library in Ghana,,,,education,,,wikidata,Q68651606,,,,7.95,-1.02,nonprofit,tier_b,3,,,
716422,Amnesty International Ghana,GH,Ghana,,,,,human rights organization in Ghana,https://amnestyghana.org/,,,democracy,,,wikidata,Q62084651,,,,7.95,-1.02,nonprofit,tier_b,3,,,
716896,"Anloga Branch Library, GhLA",GH,Ghana,,,,,library in Ghana,,,,education,,,wikidata,Q68651712,,,,7.95,-1.02,nonprofit,tier_b,3,,,
716967,Ashanti Regional Library,GH,Ghana,,,,,library in Ghana,,,,education,,,wikidata,Q68651943,,,,7.95,-1.02,nonprofit,tier_b,3,,,
716979,Asokore Community Library,GH,Ghana,,,,,library in Ghana,,,,education,,,wikidata,Q68652484,,,,7.95,-1.02,nonprofit,tier_b,3,,,
716980,Axim Branch Library,GH,Ghana,,,,,library in Ghana,,,,education,,,wikidata,Q68652430,,,,7.95,-1.02,nonprofit,tier_b,3,,,
716977,"Axim Branch Library, GhLA",GH,Ghana,,,,,library in Ghana,,,,education,,,wikidata,Q68652442,,,,7.95,-1.02,nonprofit,tier_b,3,,,
716981,"Bantama Branch Library, GhLA",GH,Ghana,,,,,library in Ghana,,,,education,,,wikidata,Q68651823,,,,7.95,-1.02,nonprofit,tier_b,3,,,
716964,Bawku East Municipal Library,GH,Ghana,,,,,library in Ghana,,,,education,,,wikidata,Q68652519,,,,7.95,-1.02,nonprofit,tier_b,3,,,
716974,"Bibiani Public Library, GhLA",GH,Ghana,,,,,library in Ghana,,,,education,,,wikidata,Q68651927,,,,7.95,-1.02,nonprofit,tier_b,3,,,
716958,Bibiani public library,GH,Ghana,,,,,library in Ghana,,,,education,,,wikidata,Q68651930,,,,7.95,-1.02,nonprofit,tier_b,3,,,
717013,"Bongo District Library, GhLA",GH,Ghana,,,,,library in Ghana,,,,education,,,wikidata,Q68652515,,,,7.95,-1.02,nonprofit,tier_b,3,,,
717003,"Brong Ahafo Regional Library, GhLA",GH,Ghana,,,,,library in Ghana,,,,education,,,wikidata,Q68652090,,,,7.95,-1.02,nonprofit,tier_b,3,,,
716993,Central Regional Library,GH,Ghana,,,,,library in Ghana,,,,education,,,wikidata,Q68651913,,,,7.95,-1.02,nonprofit,tier_b,3,,,
