id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
693652,Biblioteca y Centro de Documentación del Centro de Formación de la Cooperación Española en la Antigua Guatemala,GT,Guatemala,,,,,library,http://www.aecid-cf.org.gt/index.php?option=com_content&view=frontpage&Itemid=169,,,education,,,wikidata,Q85726699,,,,15.78,-90.23,cooperative,tier_b,3,,,
763974,Central General de Trabajadores de Guatemala,GT,Guatemala,,,,labor/union_federation,"ITUC affiliate. CGTG. 60,000 members.",,,,cooperatives,,,ituc_affiliates,wp:Central_General_de_Trabajadores_de_Guatemala,,,,15.78,-90.23,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Central_General_de_Trabajadores_de_Guatemala,,
911130,"Confederación Guatemalteca de Federaciones Cooperativas, Responsabilidad Limitada (CONFECOOP)",GT,,,Guatemala,,,"Somos una instituci&oacute;n cooperativa que trabaja por la integraci&oacute;n, coordinaci&oacute;n y representaci&oacute;n del movimiento cooperativo guatemalteco a nivel nacional e internacional, orientado a promover y contribuir al desarrollo econ&oacute;mico y social del pa&iacute;s mediante la generaci&oacute;n y democratizaci&oacute;n de oportunidades.",,,,cooperatives,,,ica_directory,3075,,,,,,cooperative,ica_member,6,https://lod.coop/ica/3075,,
763975,Confederación de Unidad Sindical de Guatemala,GT,Guatemala,,,,labor/union_federation,"ITUC affiliate. CUSG. 30,000 members.",,,,cooperatives,,,ituc_affiliates,wp:Confederación_de_Unidad_Sindical_de_Guatemala,,,,15.78,-90.23,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Confederaci%C3%B3n_de_Unidad_Sindical_de_Guatemala,,
693311,Guatemala Human Rights Commission,GT,Guatemala,,,,,Guatemalan humanitarian organization,https://www.ghrc-usa.org/,,,democracy,,,wikidata,Q5614216,,,,15.78,-90.23,government,tier_b,2,,,
693639,Guatemala Open Data Portal,GT,Guatemala,,,,,created by Instituto Nacional de Estadística -INE,https://www.ine.gob.gt/ine/,,,energy_digital,,,wikidata,Q97095849,,,,15.78,-90.23,nonprofit,tier_b,3,,,
762975,Guatemalan National Commission for Cooperation with UNESCO,GT,Guatemala,,,,,national commission for UNESCO of Guatemala,https://www.mineduc.gob.gt/,,,democracy,,,wikidata,Q113111441,,,,15.78,-90.23,cooperative,,3,,,
764696,Habitat for Humanity Guatemala,GT,Guatemala,,Guatemala City,,land_and_housing/sweat_equity_program,Habitat for Humanity country or regional office. Sweat-equity homeownership program. See https://www.habitatguate.org/.,https://www.habitatguate.org/,,,housing_land,,,habitat_affiliates,GT:habitat-for-humanity-guatemala,,,,15.78,-90.23,sweat_equity_program,"habitat_affiliate,sweat_equity",9,https://www.habitatguate.org/,,
762974,Juan Bautista Gutierrez Foundation,GT,Guatemala,,,,,Guatemalan philanthropic entity,http://www.fundacionjbg.org,,,democracy,,,wikidata,Q85772213,,,,15.78,-90.23,foundation,,2,,,
762964,Survivors Foundation,GT,Guatemala,,,,,Guatemalan NGO to assist women victims of violence,http://www.sobrevivientes.org/,,,democracy,,,wikidata,Q7647337,,,,15.78,-90.23,foundation,,3,,,
763976,Unión Sindical de Trabajadores de Guatemala,GT,Guatemala,,,,labor/union_federation,"ITUC affiliate. UNSITRAGUA. 10,479 members.",,,,cooperatives,,,ituc_affiliates,wp:Unión_Sindical_de_Trabajadores_de_Guatemala,,,,15.78,-90.23,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Uni%C3%B3n_Sindical_de_Trabajadores_de_Guatemala,,
