id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
691886,Asociación Kukulcán,HN,Honduras,,,,,LGBT+ and HIV/AIDS help organization,,,,healthcare,,,wikidata,Q127606121,,,,15.2,-86.24,nonprofit,tier_b,3,,,
692179,Biblioteca Comercial de la Cámara Oficial Española de Comercio en Honduras,HN,Honduras,,,,,library,http://www.camacoes.hn,,,education,,,wikidata,Q85726716,,,,15.2,-86.24,nonprofit,tier_b,3,,,
692181,Biblioteca de la Oficina Cultural de la Embajada de España en Honduras,HN,Honduras,,,,,library,,,,education,,,wikidata,Q85726720,,,,15.2,-86.24,nonprofit,tier_b,3,,,
692187,Biblioteca del Centro Cultural de España en Tegucigalpa,HN,Honduras,,,,,library,http://www.ccet-aecid.hn,,,education,,,wikidata,Q85726752,,,,15.2,-86.24,nonprofit,tier_b,3,,,
763019,Central American Bank for Economic Integration,HN,Honduras,,,,,international multilateral development financial institution,https://www.bcie.org,,,democracy,,,wikidata,Q190008,,,,15.2,-86.24,nonprofit,,2,,,
763984,Central General de Trabajadores,HN,Honduras,,,,labor/union_federation,"ITUC affiliate. CGT. 250,000 members.",,,,cooperatives,,,ituc_affiliates,wp:Central_General_de_Trabajadores_(Honduras),,,,15.2,-86.24,labor_union,"labor_union,ituc_affiliate",2,https://en.wikipedia.org/wiki/Central_General_de_Trabajadores_%28Honduras%29,,
691872,Committee for the Defense of Human Rights in Honduras,HN,Honduras,,,,,,,,,democracy,,,wikidata,Q5152971,,,,15.2,-86.24,nonprofit,tier_c,3,,,
763986,Confederación Unitaria de Trabajadores de Honduras,HN,Honduras,,,,labor/union_federation,"ITUC affiliate. CUTH. 295,000 members.",,,,cooperatives,,,ituc_affiliates,wp:Confederación_Unitaria_de_Trabajadores_de_Honduras,,,,15.2,-86.24,labor_union,"labor_union,ituc_affiliate",2,https://en.wikipedia.org/wiki/Confederaci%C3%B3n_Unitaria_de_Trabajadores_de_Honduras,,
763985,Confederación de Trabajadores de Honduras,HN,Honduras,,,,labor/union_federation,"ITUC affiliate. CTH. 55,000 members.",,,,cooperatives,,,ituc_affiliates,wp:Confederación_de_Trabajadores_de_Honduras,,,,15.2,-86.24,labor_union,"labor_union,ituc_affiliate",2,https://en.wikipedia.org/wiki/Confederaci%C3%B3n_de_Trabajadores_de_Honduras,,
691891,Council of Popular and Indigenous Organizations of Honduras,HN,Honduras,,,,,Honduran indigenous organization,http://www.copinh.org,,,democracy,,,wikidata,Q23001053,,,,15.2,-86.24,nonprofit,tier_b,3,,,
764698,Habitat for Humanity Honduras,HN,Honduras,,Tegucigalpa,,land_and_housing/sweat_equity_program,Habitat for Humanity country or regional office. Sweat-equity homeownership program. See https://habitathonduras.org/.,https://habitathonduras.org/,,,housing_land,,,habitat_affiliates,HN:habitat-for-humanity-honduras,,,,15.2,-86.24,sweat_equity_program,"habitat_affiliate,sweat_equity",3,https://habitathonduras.org/,,
691866,Honduran Red Cross,HN,Honduras,,,,,National Red Cross Society in Honduras,http://www.cruzroja.org.hn,,,democracy,,,wikidata,Q16553811,,,,15.2,-86.24,nonprofit,tier_b,3,,,
692178,Juan Ramón Molina National Library,HN,Honduras,,,,,National Library of Honduras,,,,education,,,wikidata,Q6974150,,,,15.2,-86.24,nonprofit,tier_b,3,,,
692184,Libraries in Honduras,HN,Honduras,,,,,library,,,,education,,,wikidata,Q17622853,,,,15.2,-86.24,nonprofit,tier_b,3,,,
692190,National Medical Library of Honduras,HN,Honduras,,,,,library in Honduras,https://fcm.unah.edu.hn/unidades/biblioteca-medica-nacional/,,,healthcare,,,wikidata,Q125505145,,,,15.2,-86.24,nonprofit,tier_b,3,,,
