id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
763989,Autonomous Trade Union Confederation,HU,Hungary,,,,labor/union_federation,"ITUC affiliate. ATUC. 109,213 members.",,,,cooperatives,,,ituc_affiliates,wp:Autonomous_Trade_Union_Confederation,,,,47.16,19.5,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Autonomous_Trade_Union_Confederation,,
763990,Democratic League of Independent Trade Unions,HU,Hungary,,,,labor/union_federation,"ITUC affiliate. LIGA. 112,000 members.",,,,cooperatives,,,ituc_affiliates,wp:Democratic_League_of_Independent_Trade_Unions,,,,47.16,19.5,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Democratic_League_of_Independent_Trade_Unions,,
763609,Democratic Trade Union of Teachers,HU,Hungary,,Budapest,,labor/national_union,labor union of Hungarian teachers,http://www.pdsz.hu/,,,democracy,,,wikidata_unions,Q1231873,1988,,,47.16,19.5,labor_union,,4,http://www.wikidata.org/entity/Q1231873,,
764700,Habitat for Humanity Hungary,HU,Hungary,,Budapest,,land_and_housing/sweat_equity_program,Habitat for Humanity country or regional office. Sweat-equity homeownership program. See https://www.habitat.hu/.,https://www.habitat.hu/,,,housing_land,,,habitat_affiliates,HU:habitat-for-humanity-hungary,,,,47.16,19.5,sweat_equity_program,"habitat_affiliate,sweat_equity",9,https://www.habitat.hu/,,
762101,Haynal Imre University of Health Sciences,HU,Hungary,,,,,"Hungarian medical further education institute, university (1956–2000)",,,,healthcare,,,wikidata,Q59773310,,,,47.16,19.5,education_inst,,2,,,
762263,Hungarian Environmental Partnership Foundation,HU,Hungary,,,,,Hungarian NGO,https://okotars.hu,,,ecology,,,wikidata,Q1472095,,,,47.16,19.5,foundation,,3,,,
911317,KIFESZ,HU,,,,,,KIFESZ is a national non profit organization for rural development and social solidarity economy.. founded: 1998. scope: regional. member of: RIPESS Europe,https://fekete-sereg.hu/en/,kifesz2015@gmail.com,,cooperatives,,,ripess_family,socioeco:471:981,,,,48.293613,20.734013,cooperative,"ripess_member, RIPESS Europe",6,https://www.socioeco.org/bdf_organisme-981_en.html,,
902691,Kockacsoki,HU,Hungary,,Budapest,,,"Kockacsoki offers high quality handmade chocolate products and chocolate-making workshops. They also offer an internship program for people with autism, encouraging participants’ employability and providing skills training for successful job integration. Kockacsoki will also provide workshops to people with disabilities that aims to enhance their independent lifestyle focusing on kitchen skills.. type: food_cooperative. curated by: Demnet",http://www.kockacsoki.com/,info@kockacsoki.hu,+36 70 608 9026,food,,,susy_map,d0ed65852ee157af,,,,47.4784946,19.05385507859,cooperative,,4,https://github.com/TransforMap/transformap-viewer/raw/gh-pages/susydata-fallback.json,,
902699,Kockacsoki,HU,Hungary,,Budapest,,,"Kockacsoki offers high quality handmade chocolate products and chocolate-making workshops. They also offer an internship program for people with autism, encouraging participants’ employability and providing skills training for successful job integration. Kockacsoki will also provide workshops to people with disabilities that aims to enhance their independent lifestyle focusing on kitchen skills.. type: food_cooperative. curated by: Demnet",http://www.kockacsoki.com/,info@kockacsoki.hu,.+36 70 608 9026,food,,,susy_map,4c36ee50410c1eab,,,,47.5022948,19.0488585,cooperative,,4,https://github.com/TransforMap/transformap-viewer/raw/gh-pages/susydata-fallback.json,,
902707,Kockacsoki,HU,Hungary,,Budapest,,,"Kockacsoki offers high quality handmade chocolate products and chocolate-making workshops. They also offer an internship program for people with autism, encouraging participants’ employability and providing skills training for successful job integration. Kockacsoki will also provide workshops to people with disabilities that aims to enhance their independent lifestyle focusing on kitchen skills.. type: food_cooperative. curated by: Demnet",http://www.kockacsoki.com/,info@kockacsoki.hu,+36 70 608 9026,food,,,susy_map,a685039f288cb147,,,,47.4563732,19.1246788,cooperative,,4,https://github.com/TransforMap/transformap-viewer/raw/gh-pages/susydata-fallback.json,,
