id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
714590,Association of Indonesian Library and Information Professionals,ID,Indonesia,,,,,professional association in Indonesia,https://www.isipii.org/,,,education,,,wikidata,Q117400430,,,,-0.79,113.92,nonprofit,tier_b,3,,,
714809,Bandung Open Data Portal,ID,Indonesia,,,,,"official Open Data portal of Bandung city, Indonesia",http://data.bandung.go.id/,,,energy_digital,,,wikidata,Q62476553,,,,-0.79,113.92,nonprofit,tier_b,3,,,
714631,Bung Hatta Library,ID,Indonesia,,,,,,https://upt-perpusbunghatta.perpusnas.go.id,,,education,,,wikidata,Q12505124,,,,-0.79,113.92,nonprofit,tier_c,3,,,
763998,Confederation of Indonesian Trade Unions,ID,Indonesia,,,,labor/union_federation,"ITUC affiliate. CITU/KSPI. 507,000 members.",,,,cooperatives,,,ituc_affiliates,wp:Confederation_of_Indonesian_Trade_Unions,,,,-0.79,113.92,labor_union,"labor_union,ituc_affiliate",2,https://en.wikipedia.org/wiki/Confederation_of_Indonesian_Trade_Unions,,
714663,Dewantara Kirti Griya Museum,ID,Indonesia,,,,,museum in Yogyakarta,https://tamansiswapusat.com/museum.html,,,recreation_arts,,,wikidata,Q12499637,,,,-0.79,113.92,nonprofit,tier_b,3,,,
714628,Fadli Zon Library,ID,Indonesia,,,,,library,http://www.fadlizonlibrary.com,,,education,,,wikidata,Q12482699,,,,-0.79,113.92,nonprofit,tier_b,3,,,
714646,Gedong Kirtya,ID,Indonesia,,,,,palm-leaf manuscript museum in Bali,https://pedalsepeda.bulelengkab.go.id/informasi,,,recreation_arts,,,wikidata,Q3100067,,,,-0.79,113.92,nonprofit,tier_b,3,,,
764702,Habitat for Humanity Indonesia,ID,Indonesia,,Jakarta,,land_and_housing/sweat_equity_program,Habitat for Humanity country or regional office. Sweat-equity homeownership program. See https://habitatindonesia.org/.,https://habitatindonesia.org/,,,housing_land,,,habitat_affiliates,ID:habitat-for-humanity-indonesia,,,,-0.79,113.92,sweat_equity_program,"habitat_affiliate,sweat_equity",3,https://habitatindonesia.org/,,
714606,Indonesian Red Cross Society,ID,Indonesia,,,,,National Red Cross Society in Indonesia,http://www.pmi.or.id,,,democracy,,,wikidata,Q3003251,,,,-0.79,113.92,nonprofit,tier_b,3,,,
714602,Indonesian Society for the Care of Disabled Children,ID,Indonesia,,,,,,,,,democracy,,,wikidata,Q114157058,,,,-0.79,113.92,nonprofit,tier_c,3,,,
714608,Indonesian Youth Red Cross,ID,Indonesia,,,,,youth wing of the Indonesian Red Cross,,,,democracy,,,wikidata,Q19752351,,,,-0.79,113.92,nonprofit,tier_b,3,,,
714817,Jakarta Open Data Portal,ID,Indonesia,,,,,official Open Data portal of Jakarta province,http://data.jakarta.go.id/,,,energy_digital,,,wikidata,Q62476440,,,,-0.79,113.92,nonprofit,tier_b,3,,,
763999,Konfederasi Serikat Buruh Sejahtera Indonesia,ID,Indonesia,,,,labor/union_federation,"ITUC affiliate. KSBSI. 520,000 members.",,,,cooperatives,,,ituc_affiliates,wp:Konfederasi_Serikat_Buruh_Sejahtera_Indonesia,,,,-0.79,113.92,labor_union,"labor_union,ituc_affiliate",2,https://en.wikipedia.org/wiki/Konfederasi_Serikat_Buruh_Sejahtera_Indonesia,,
714706,Library Foundation Hatta,ID,Indonesia,,,,,library in Indonesia,,,,education,,,wikidata,Q17281674,,,,-0.79,113.92,nonprofit,tier_b,3,,,
714815,Library Universitas Gadjah Mada,ID,Indonesia,,,,,organisation involved in scholarly research,https://lib.ugm.ac.id/,,,education,,,wikidata,Q74556681,,,,-0.79,113.92,nonprofit,tier_b,3,,,
714776,Martha Christina Tiahahu Literacy Park,ID,Indonesia,,,,,"library and park located within Blok M, Jakarta, Indonesia",,,,education,,,wikidata,Q25470773,,,,-0.79,113.92,nonprofit,tier_b,3,,,
714641,Minangkabau Culture Documentation and Information Center,ID,Indonesia,,,,,museum and cultural center in Padang Panjang City,,,,recreation_arts,,,wikidata,Q643129,,,,-0.79,113.92,nonprofit,tier_b,3,,,
714624,National Library of Indonesia,ID,Indonesia,,,,,national library,https://www.perpusnas.go.id,,,education,,,wikidata,Q627102,,,,-0.79,113.92,nonprofit,tier_b,3,,,
714810,Open data Portal Terbuka Banda Aceh,ID,Indonesia,,,,,,http://data.bandaacehkota.go.id,,,energy_digital,,,wikidata,Q64827510,,,,-0.79,113.92,nonprofit,tier_c,3,,,
714687,Pataba Library,ID,Indonesia,,,,,,https://patabablora.blogspot.com/,,,education,,,wikidata,Q19730774,,,,-0.79,113.92,nonprofit,tier_c,3,,,
714639,Sinematek Indonesia,ID,Indonesia,,,,,"Film archive in Jakarta, Indonesia",http://www.sinematekindonesia.com,,,healthcare,,,wikidata,Q7522410,,,,-0.79,113.92,nonprofit,tier_b,3,,,
714695,Soeman HS Library,ID,Indonesia,,,,,"library in Pekanbaru, Indonesia",http://mediacenter.riau.go.id/,,,education,,,wikidata,Q17056121,,,,-0.79,113.92,nonprofit,tier_b,3,,,
714614,Sonobudoyo library,ID,Indonesia,,,,,"library in Yogyakarta, Indonesia",,,,education,,,wikidata,Q626867,,,,-0.79,113.92,nonprofit,tier_b,3,,,
714661,University of Indonesia Central Library,ID,Indonesia,,,,,"library in Indonesia, Indonesia",http://lib.ui.ac.id/opac/ui/,,,education,,,wikidata,Q12479607,,,,-0.79,113.92,nonprofit,tier_b,3,,,
