id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
911319,An Ait Eile Cooperative of Ireland (AAE),IE,,,,,,"An Áit Eile (AAE) started in 2015 as a cultural association of artists, musicians, and performers collaborating with communities on events and projects that address social and ecological issues as well as mental health. Today as a cooperative its membership is made up of both individuals and community organisations.. founded: 2015. scope: national. member of: RIPESS Europe",https://aae.ie/,,,cooperatives,,,ripess_family,socioeco:471:1168,,,,53.274412,-9.049063,cooperative,"ripess_member, RIPESS Europe",9,https://www.socioeco.org/bdf_organisme-1168_en.html,,
902510,Ballybeg Greens,IE,Ireland,,Waterford,,,Ballybeg Greens is committed to the development of a sustainable business model by providing training and employment opportunities and to provide high-quality produce to local restaurants.. type: community_garden. curated by: Waterford,http://ballybegcdp.ie,admin@ballybegcdp.ie,+353 51 350 100,food,,,susy_map,f7af42442f473e94,,,,52.241124756,-7.13840961456,collective,,2,https://github.com/TransforMap/transformap-viewer/raw/gh-pages/susydata-fallback.json,,
902347,Cill Barra Community Sports Centre,IE,Ireland,,Waterford,,,Promotes collective economic activity that is community owned and is a resource for the health and fitness needs of our community.. type: community_group. curated by: Waterford,http://cillbarra.weebly.com/,,+353 51 350800,,,,susy_map,c4501ca36d9ac487,,,,52.23919979426,-7.14354872704,nonprofit,,5,https://github.com/TransforMap/transformap-viewer/raw/gh-pages/susydata-fallback.json,,
903448,ClimateSmart Cloughmills,IE,Ireland,COUNTY ANTRIM,Cloughmills,,,"ClimateSmart Cloughmills builds on over 20 years of environmental action by Cloughmills Community Action Team. This new campaign group, inspired by those who have driven environmental action in Cloughmills, draws together all the climate related action we have undertaken. We want to demonstrate that a transition to a climate just community presents opportunities for rather than denying or restricting a better quality of life. We manage a series of activities and programmes under the headings of: Natural environment Energy/resource use Food Active travel Waste",https://maps.transitionnetwork.org/group/climatesmart-cloughmills/,,,food,,,transition_network,6170,,,,54.997312,-6.3301849,collective,"Transition Group, Community Growing, Other food projects, Nature, Community hub or activities, Community visioning / imagination work, Building local networks, Local economy or new economy projects, Wellbeing or Inner Transition, Share, Repair or reuse, Energy",5,https://maps.transitionnetwork.org/group/climatesmart-cloughmills/,,
911076,Co-operative Housing Ireland (CHI),IE,,,Dublin 2,,,"Cooperative Housing Ireland (CHI) is the representative, promotion and development federation serving the Co-operative Housing Movement in Ireland. Formed in 1973 by representatives of local housing co-operatives, the Association is jointly owned by its affiliated members as a co-operative of co-operatives and is the oldest federation of housing organisations in Ireland. The membership of the Association comprises affiliated local housing co-operatives and district/area co-operative housing societies involved in the provision and management of rental and ownership housing. This includes the management and upkeep of housing estates and apartment buildings. In addition to its national representative role, CHI provides a range of information, advice, training, development and other support services for housing co-operatives.",http://www.cooperativehousing.ie,,,cooperatives,,,ica_directory,868,,,,,,cooperative,ica_member,10,https://lod.coop/ica/868,,
910652,Cork Community Land Trust,IE,Ireland,County Cork,Cork,,,Community Land Trust listed in the Schumacher Center CLT World Map. Country: Ireland,https://www.cclt.ie/,,,housing_land,,,clt_world_map,cork-community-land-trust,,,,,,community_org,community_land_trust,4,https://centerforneweconomics.org/clt/cork-community-land-trust/,,
903808,Galway,IE,Ireland,GW,,,,"Transition Galway/Trasdul na Gaillimhe is a local voluntary grassroots environmental organisation and is one of thousands of Transition projects around the world. Our aim is to build strong resilient communities and a vibrant local economy to deal with sustainability challenges such as reduced oil supplies and climate change. Founded in January 2011, Transition Galway has been very active and organise local events such as Green Drinks Galway (a regular free talk with guest environmental speakers), community film screenings and workshops. We also run a community garden at a local city-centre primary school (Scoil Chroí Íosa on the Newcastle Road) and we collaborate in projects with other local environmental groups.",http://transitiongalway.wordpress.com/,,,,,,transition_network,1027,,,,53.273797,-9.05178,collective,Transition Group,7,https://maps.transitionnetwork.org/group/galway/,,
902378,Grow It Yourself Ireland,IE,Ireland,,Waterford,,,An emerging global network of people who grow some of their own food.. type: community_garden. curated by: Waterford,http://www.giyireland.com,info@giyireland.com,+353 051 574628,food,,,susy_map,3a24bf3ef6b383c0,,,,52.24651157713,-7.07929909229,collective,,3,https://github.com/TransforMap/transformap-viewer/raw/gh-pages/susydata-fallback.json,,
764703,Habitat for Humanity Ireland,IE,Ireland,,Dublin,,land_and_housing/sweat_equity_program,Habitat for Humanity country or regional office. Sweat-equity homeownership program. See https://www.habitatireland.org/.,https://www.habitatireland.org/,,,housing_land,,,habitat_affiliates,IE:habitat-for-humanity-ireland,,,,53.41,-8.24,sweat_equity_program,"habitat_affiliate,sweat_equity",9,https://www.habitatireland.org/,,
904080,Holywood,IE,Ireland,BFS,Holywood,,,"2022, we carried out a community public consultation exercise to address achieving our climate change goals by changing our food systems; balancing the need for sustainability with food affordability and fair pay for farmers. We aim to grow a local food network that is good for people and planet built around local, healthy, seasonal and affordable food starting with Holywood CoFarm at Kerr Park.",https://maps.transitionnetwork.org/group/holywood/,,,food,,,transition_network,536,,,,54.642435,-5.829995,collective,"Transition Group, Community Growing, Other food projects",4,https://maps.transitionnetwork.org/group/holywood/,,
