id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
705882,Academy of Tribal Languages and Culture,IN,India,,,,,Indian literary institution,https://www.atlcodisha.org/,,,recreation_arts,,,wikidata,Q124659105,,,,20.59,78.96,nonprofit,tier_b,3,,,
764852,Acharya Jogesh Chandra Purakriti Bhaban,IN,India,West Bengal,,,,"preserves the traditions of terracotta and other indigenous art forms at Bishnupur in Bankura district, West Bengal",,,,democracy,,,wikidata_subregion,Q85419229,,,,23.0662247,87.3250207,nonprofit,,3,,,
705744,Assam Library Association,IN,India,,,,,organization in India,http://www.ala.net.in,,,education,,,wikidata,Q96807853,,,,20.59,78.96,nonprofit,tier_b,3,,,
705736,Bengal Library Association,IN,India,,,,,professional organization in India,http://www.blacal.org,,,education,,,wikidata,Q18988141,,,,20.59,78.96,nonprofit,tier_b,3,,,
705884,CAUCE,IN,India,,,,,non-profit advocacy group,http://www.cauce.org/,,,democracy,,,wikidata,Q5008907,,,,20.59,78.96,nonprofit,tier_b,3,,,
705813,Calcutta Historical Society,IN,India,,,,,organization,,,,democracy,,,wikidata,Q24951780,,,,20.59,78.96,nonprofit,tier_b,3,,,
764891,Center For Education Environment And Community (ceeco),IN,India,Karnataka,,,,nonprofit organization from India,http://www.ceeco.co.in/,,,education,,,wikidata_subregion,Q111469440,,,,,,nonprofit,,2,,,
705743,Central Government Library Association,IN,India,,,,,organization in India,http://cgla.org.in,,,education,,,wikidata,Q96807263,,,,20.59,78.96,nonprofit,tier_b,3,,,
705547,Chhayabithi,IN,India,,,,,India’s first permanent philately museum dedicated to Rabindranath Tagore at Santiniketan,,,,recreation_arts,,,wikidata,Q111523415,,,,20.59,78.96,nonprofit,tier_b,3,,,
764868,"Community Health, Housing And Social Education (chhase)",IN,India,Tamil Nadu,,,,nonprofit organization from India,http://www.chhaseindia.org,,,healthcare,,,wikidata_subregion,Q111469505,,,,,,nonprofit,,4,,,
764187,Confederation of Free Trade Unions of India,IN,India,,,,labor/union_federation,ITUC affiliate. CFTUI.,,,,cooperatives,,,ituc_affiliates,wp:Confederation_of_Free_Trade_Unions_of_India,,,,20.59,78.96,labor_union,"labor_union,ituc_affiliate",2,https://en.wikipedia.org/wiki/Confederation_of_Free_Trade_Unions_of_India,,
764873,Deepam Educational Society for Health,IN,India,Tamil Nadu,,,,"nonprofit organization in Chennai, India",http://deshhealth.org/,,,healthcare,,,wikidata_subregion,Q30267917,,,,12.969261,80.261115,nonprofit,,2,,,
705746,Delhi Library Association,IN,India,,,,,organization in India,https://www.dlaindia.in,,,education,,,wikidata,Q96807855,,,,20.59,78.96,nonprofit,tier_b,3,,,
764843,Foundation for Research in Community Health,IN,India,Maharashtra,,,,"nonprofit organization in Pune, India",http://www.frchindia.org/,,,healthcare,,,wikidata_subregion,Q30263042,,,,18.556812,73.806971,nonprofit,,2,,,
705749,Gujarat Library Association,IN,India,,,,,organization in India,https://glavvn.wordpress.com,,,education,,,wikidata,Q96807857,,,,20.59,78.96,nonprofit,tier_b,3,,,
764701,Habitat for Humanity India,IN,India,,Mumbai,,land_and_housing/sweat_equity_program,Habitat for Humanity country or regional office. Sweat-equity homeownership program. See https://habitatindia.org/.,https://habitatindia.org/,,,housing_land,,,habitat_affiliates,IN:habitat-for-humanity-india,,,,20.59,78.96,sweat_equity_program,"habitat_affiliate,sweat_equity",3,https://habitatindia.org/,,
764913,Health and Education for All,IN,India,Andhra Pradesh,,,,UK-registered charity not-for-profit organization operating in India,https://healcharity.org/,,,healthcare,,,wikidata_subregion,Q96380458,,,,,,nonprofit,,2,,,
764893,Heards Foundation (health Environment Education And Rural Development Service Foundation),IN,India,Karnataka,,,,nonprofit organization from India,https://heardsfoundation.weebly.com/,,,healthcare,,,wikidata_subregion,Q111469661,,,,,,nonprofit,,2,,,
763995,Hind Mazdoor Sabha,IN,India,,,,labor/union_federation,"ITUC affiliate. HMS. 5,788,822 members.",,,,cooperatives,,,ituc_affiliates,wp:Hind_Mazdoor_Sabha,,,,20.59,78.96,labor_union,"labor_union,ituc_affiliate",2,https://en.wikipedia.org/wiki/Hind_Mazdoor_Sabha,,
705847,India Open Data Association,IN,India,,,,,group that promotes and supports open-data initiatives in India,https://beta.indiaopendata.com,,,energy_digital,,,wikidata,Q47538892,,,,20.59,78.96,nonprofit,tier_b,3,,,
705747,Indian Association of Teachers of Library and Information Science,IN,India,,,,,organization in India,https://sites.google.com/site/iatlishome/home,,,education,,,wikidata,Q96807849,,,,20.59,78.96,nonprofit,tier_b,3,,,
705780,Indian Library Association,IN,India,,,,,professional association in India,https://ilaindia.co.in,,,education,,,wikidata,Q6020898,,,,20.59,78.96,nonprofit,tier_b,3,,,
763996,Indian National Trade Union Congress,IN,India,,,,labor/union_federation,"ITUC affiliate. INTUC. 8,200,000 members.",,,,cooperatives,,,ituc_affiliates,wp:Indian_National_Trade_Union_Congress,,,,20.59,78.96,labor_union,"labor_union,ituc_affiliate",2,https://en.wikipedia.org/wiki/Indian_National_Trade_Union_Congress,,
761710,Indian Ngos List Directory | Non-governmental organization - Non-profit ,IN,India,,,,,"India Ngos list Ngo's directory with all types Ngos, Societies, Trust, Co-operative society, Section 25 company That are with 80g Tax certificate and FRCA certificate in India.",,,,cooperatives,,,web_research,,,,,20.59,78.96,nonprofit,tier_b,3,,,
705804,Indian Radiology and Imaging Assoc,IN,India,,,,,learned society,,,,education,,,wikidata,Q73378772,,,,20.59,78.96,nonprofit,tier_b,3,,,
705748,Karnataka State Library Association,IN,India,,,,,organization in India,http://kalaonline.com,,,education,,,wikidata,Q96807859,,,,20.59,78.96,nonprofit,tier_b,3,,,
705740,Kerala Library Association,IN,India,,,,,professional association for librarians in Kerala,https://keralalibraryassociation.org/,,,education,,,wikidata,Q6393368,,,,20.59,78.96,nonprofit,tier_b,3,,,
705760,MCIT Library Consortium,IN,India,,,,,,,,,education,,,wikidata,Q6714909,,,,20.59,78.96,nonprofit,tier_c,3,,,
705750,Madras Library Association,IN,India,,,,,organization in India,http://www.madraslibraryassociation.com,,,education,,,wikidata,Q96807861,,,,20.59,78.96,nonprofit,tier_b,3,,,
763796,"Naga Students' Union, Delhi",IN,India,,New Delhi,,labor/national_union,,,,,democracy,,,wikidata_unions,Q123702381,1963,,,20.59,78.96,labor_union,,2,http://www.wikidata.org/entity/Q123702381,,
764441,National Media Centre,IN,India,,,,land_and_housing/housing_cooperative,"Co-operative housing society in Gurugram, Haryana, India",,,,housing_land,,,wikidata_land_trusts,Q137428997,,,,20.59,78.96,cooperative,,2,http://www.wikidata.org/entity/Q137428997,,
705534,"National Philatelic Museum, New Delhi",IN,India,,,,,"museum at Dak Bhawan, New Delhi, India",http://delhitourism.nic.in/delhitourism/entertainment/national_philately_museum.jsp,,,recreation_arts,,,wikidata,Q6974901,,,,20.59,78.96,nonprofit,tier_b,3,,,
763659,National Union of Seafarers of India,IN,India,,Mumbai,,labor/national_union,trade union,https://nusi.org.in/,,,democracy,,,wikidata_unions,Q106595292,1955,,,20.59,78.96,labor_union,,2,http://www.wikidata.org/entity/Q106595292,,
