id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
710423,"Accademia toscana di scienze e lettere la Colombaria, Firenze (FI)",IT,Italy,,,,,archival institution in Italy,http://www.colombaria.it/,,,healthcare,,,wikidata,Q81170209,,,,41.87,12.57,nonprofit,tier_b,3,,,
710425,Archivio Luciano Caruso Onlus,IT,Italy,,,,,Italian cultural association,http://archiviolucianocarus.wixsite.com/archivio-caruso-4,,,healthcare,,,wikidata,Q111485991,,,,41.87,12.57,nonprofit,tier_b,3,,,
710494,Associazione Nazionale Alpini,IT,Italy,,,,,advocacy fraternal organizations society of italian veteran elite soldier,https://www.ana.it/,,,democracy,,,wikidata,Q3626640,,,,41.87,12.57,nonprofit,tier_b,3,,,
763638,Autonomer Südtiroler Gewerkschaftsbund,IT,Italy,,Bolzano,,labor/national_union,,http://www.asgb.org,,,democracy,,,wikidata_unions,Q788140,1964,,,41.87,12.57,labor_union,,2,http://www.wikidata.org/entity/Q788140,,
764810,CMB Carpi,IT,Italy,,Carpi,,labor/construction_cooperative,Cooperativa Muratori e Braccianti di Carpi; large Italian construction cooperative since 1908.,https://www.cmbcarpi.com/,,,cooperatives,,,construction_coops,seed:cmb-carpi,,,,41.87,12.57,cooperative,"construction,worker_cooperative",3,https://www.cmbcarpi.com/,,
764809,CMC Ravenna,IT,Italy,,Ravenna,,labor/construction_cooperative,"Cooperativa Muratori e Cementisti, worker-owned construction firm founded 1901.",https://www.cmcgruppo.com/,,,cooperatives,,,construction_coops,seed:cmc-ravenna,,,,41.87,12.57,cooperative,"construction,worker_cooperative",3,https://www.cmcgruppo.com/,,
710468,Circle of Homosexual Culture Mario Mieli,IT,Italy,,,,,association to defend civil rights of LGBT dedicated to Mario Mieli,http://www.mariomieli.org/,,,recreation_arts,,,wikidata,Q1118794,,,,41.87,12.57,nonprofit,tier_b,5,,,
710458,"Comunità ebraica di Trieste, Trieste (TS)",IT,Italy,,,,,archival institution in Italy,http://www.triestebraica.it/,,,healthcare,,,wikidata,Q81179847,,,,41.87,12.57,nonprofit,tier_b,3,,,
710676,"Comunità ebraica di Vercelli, Vercelli (VC)",IT,Italy,,,,,archival institution in Italy,,,,healthcare,,,wikidata,Q81180499,,,,41.87,12.57,nonprofit,tier_b,3,,,
764002,Confederazione Generale Italiana del Lavoro,IT,Italy,,,,labor/union_federation,"ITUC affiliate. CGIL. 5,542,677 members.",,,,cooperatives,,,ituc_affiliates,wp:Confederazione_Generale_Italiana_del_Lavoro,,,,41.87,12.57,labor_union,"labor_union,ituc_affiliate",2,https://en.wikipedia.org/wiki/Confederazione_Generale_Italiana_del_Lavoro,,
764003,Confederazione Italiana Sindacati Lavoratori,IT,Italy,,,,labor/union_federation,"ITUC affiliate. CISL. 4,507,349 members.",,,,cooperatives,,,ituc_affiliates,wp:Confederazione_Italiana_Sindacati_Lavoratori,,,,41.87,12.57,labor_union,"labor_union,ituc_affiliate",2,https://en.wikipedia.org/wiki/Confederazione_Italiana_Sindacati_Lavoratori,,
764813,Consorzio Cooperative Costruzioni,IT,Italy,,Bologna,,labor/construction_cooperative,Consortium of Italian construction cooperatives; shared procurement and bidding.,https://www.ccc-acam.it/,,,cooperatives,,,construction_coops,seed:consorzio-cooperative-costruzioni,,,,41.87,12.57,cooperative,"construction,worker_cooperative",3,https://www.ccc-acam.it/,,
764811,Coopsette,IT,Italy,,Reggio Emilia,,labor/construction_cooperative,Italian construction cooperative in Emilia-Romagna with public-works specialization.,https://www.coopsette.it/,,,cooperatives,,,construction_coops,seed:coopsette,,,,41.87,12.57,cooperative,"construction,worker_cooperative",3,https://www.coopsette.it/,,
764704,Habitat for Humanity Italy,IT,Italy,,Padova,,land_and_housing/sweat_equity_program,Habitat for Humanity country or regional office. Sweat-equity homeownership program. See https://www.habitatitalia.org/.,https://www.habitatitalia.org/,,,housing_land,,,habitat_affiliates,IT:habitat-for-humanity-italy,,,,41.87,12.57,sweat_equity_program,"habitat_affiliate,sweat_equity",3,https://www.habitatitalia.org/,,
763576,Italian General Confederation of Labour,IT,Italy,,Rome,,labor/national_union,Italian trade union,http://www.cgil.it,,,democracy,,,wikidata_unions,Q1125068,1944,,,41.87,12.57,labor_union,,2,http://www.wikidata.org/entity/Q1125068,,
763632,Italian Labour Union,IT,Italy,,Rome,,labor/national_union,national trade union centre in Italy,http://www.uil.it,,,democracy,,,wikidata_unions,Q411914,1950,,,41.87,12.57,labor_union,,2,http://www.wikidata.org/entity/Q411914,,
763553,Italian National Syndicate of Film Journalists,IT,Italy,,Rome,,labor/national_union,Italian trade union,http://cinemagazineweb.it/,,,democracy,,,wikidata_unions,Q2288813,1946,,,41.87,12.57,labor_union,,2,http://www.wikidata.org/entity/Q2288813,,
710642,Italian Union of Farm Owners and Tenants,IT,Italy,,,,,trade union of Italy,,,,food,,,wikidata,Q104861225,,,,41.87,12.57,nonprofit,tier_b,3,,,
710621,Jewish community of Bologna,IT,Italy,,,,,archival institution in Italy,https://www.comunitaebraicabologna.it/it/,,,healthcare,,,wikidata,Q81167746,,,,41.87,12.57,nonprofit,tier_b,3,,,
