id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
763497,Aleph,JP,Japan,,,,labor/union_federation,spin-off of Japanese sect Aum Shinrikyo,https://www.aleph.to/,,,democracy,,,wikidata_unions,Q12605913,2000,,,36.2,138.25,labor_union,,4,http://www.wikidata.org/entity/Q12605913,,
763766,All Japan Seamen’s Union,JP,Japan,,Minato,,labor/national_union,trade union in Japan,http://www.jsu.or.jp,,,democracy,,,wikidata_unions,Q11390206,1945,,,36.2,138.25,labor_union,,4,http://www.wikidata.org/entity/Q11390206,,
707461,Association for the Research of Transportation Problems and Human Rights,JP,Japan,,,,,,http://www.kotsuken.jp/,,,democracy,,,wikidata,Q11374011,,,,36.2,138.25,research,tier_c,2,,,
763501,Aum Shinrikyo,JP,Japan,,Tokyo,,labor/union_federation,Japanese cult and terrorist organization,http://aum-internet.org/,,,democracy,,,wikidata_unions,Q217408,1984,,,36.2,138.25,labor_union,,4,http://www.wikidata.org/entity/Q217408,,
910993,Central Union of Agricultural Co-operatives (JA-ZENCHU),JP,,,Tokyo,,,"JA-ZENCHU (Central Union of Agricultural Co-operatives) is an apex body of Japan's agricultural co-operative movement, representing the interests of Japanese farmers and their agricultural co-operative organizations (JA Group). The basic objective of JA-ZENCHU is to contribute to the sound development of activities of the JA Group through formulating the common guideline and programs of their activities as well as through promoting implementations of these programs by the member organizations of the JA Group in this country. In order to attain such objective, JA-ZENCHU plays various functions, in collaboration with its members of 47 Prefectural Unions of Agricultural Co-operatives throughout the country, including management guidance, farm policy representation and public relations activities for JAs (agricultural co-operatives) and their business federations. It also provides education and training services to staff members and officials of those organizations. JA-ZENCHU, an independent nonprofit organization with the membership of all JAs and most of their JA organizations in the country, is operated with membership fees paid by these member organizations.",https://www.zenchu-ja.or.jp/eng/,,,cooperatives,,,ica_directory,101,,,,,,cooperative,ica_member,10,https://lod.coop/ica/101,,
903403,Ecomuseum Japan Village,JP,Japan,Yamanashi Prefecture,Kosugemura,,,"Our grope had established in 1975. This year 2025 is the 50th anniversary of establishment. Our activities are shown in the following sites. The Institute of Natural and Cultural History http://www.npo-inch.ppmusee.org/ Plants and People Museum http://www.ppmusee.org/english.html An Implication toward the Civilization for Living Things https://www.milletimplic.net/englishinfo/englishinfo.html We have practiced a project “Plants and People Museum” at the Ecomuseum Japan Village for learning conservation of biocultural diversity, in Kosuge-mura, Yamanashi prefecture, where is located very important forests for the drinking water reservation of Tokyo Metropolis. This project may propose a model for rural development with the conservation of biocultural diversity. We promote the conservation and revival of indigenous varieties of millet and vegetables with villagers. This concept is supported theoretically by our research on the traditional knowledge system of distinguished farmers in Japan and Eurasia. They have vividly told us their excellent experiences and indigenous knowledge. Culture and Biodiversity Biodiversity: The biodiversity has become more abundantly through the biological evolution on the earth since about 3.5 millions, but this long history was a process full of ups and downs. The whole biodiversity on the earth has been attacked by the catastrophes five times. Today the sixth severe catastrophe is the most important environmental issue for us, because it is cle...",http://www.ppmusee.org/,,,,,,transition_network,6351,,,,35.745897,138.945148,collective,Transition Group,7,https://maps.transitionnetwork.org/group/ecomuseum-japan-village/,,
764705,Habitat for Humanity Japan,JP,Japan,,Tokyo,,land_and_housing/sweat_equity_program,Habitat for Humanity country or regional office. Sweat-equity homeownership program. See https://www.habitatjp.org/.,https://www.habitatjp.org/,,,housing_land,,,habitat_affiliates,JP:habitat-for-humanity-japan,,,,36.2,138.25,sweat_equity_program,"habitat_affiliate,sweat_equity",9,https://www.habitatjp.org/,,
764614,Haginoso,JP,Japan,,,,land_and_housing/housing_cooperative,,,,,housing_land,,,wikidata_land_trusts,Q97158844,,,,36.2,138.25,cooperative,,3,http://www.wikidata.org/entity/Q97158844,,
910994,IE-NO-HIKARI Association (Association for Education and Publications on Agricultural Co-operatives),JP,,,Tokyo,,,Association for Education and Publications on Agricultural Co-operatives.,https://www.ienohikari.net,,,cooperatives,,,ica_directory,102,,,,35.69105,139.735571,cooperative,ica_member,7,https://lod.coop/ica/102,,
707507,Japan Association of English Romanticism,JP,Japan,,,,,Cooperative Science and Research Body,https://sites.google.com/site/jaeromanticism/,,,cooperatives,,,wikidata,Q11286387,,,,36.2,138.25,federation,tier_b,3,,,
911191,Japan CO-OP Insurance (Kyosai) Consumers' Co-operative Federation,JP,,,Tokyo,,,"CO-OP Kyosai, we changed our English name from JCIF to CO-OP Kyosai in 2021, started in the insurance business in 1984 at JCCU. CO-OP Kyosai&rsquo;s role is development of products, contract management, payment of claims, support for member co-ops. We promote insurance products especially for women and children who occupy the large part of our members. We aim to contribute to people&rsquo;s better livelihoods by developing products that reflect the voices and opinions of the members. Our products have ranked first in the life insurance sector of the Japanese Consumer Satisfaction Index for four consecutive years since 2013 in 2021.",http://coopkyosai.coop,,,cooperatives,,,ica_directory,20265,,,,,,cooperative,ica_member,10,https://lod.coop/ica/20265,,
911196,Japan Co-operative Alliance (JCA),JP,,,Tokyo,,,JCA is the apex organisation representing cooperative federations in Japan.,https://www.japan.coop/en/,,,cooperatives,,,ica_directory,21471,,,,35.69804,139.73969,cooperative,ica_member,9,https://lod.coop/ica/21471,,
911126,Japan Co-operative Insurance Association Inc. (JCIA),JP,,,Tokyo,,,"JCIA was established through collective efforts of seven cooperative organizations as a body to promote cooperation and coordination among cooperative insurance societies. Their activities are research and study, training, publication, lectures, holding symposiums, conducting Research Committee on Cooperative Insurance Theory in order to deal with common issues among the member societies. JCIA established the Consumer Consultation Department in 2003 as a third party body with the aim of consultation and support for the resolution of complaints from cooperative insurance policyholders. JCIA made a transition to a general incorporated association in April 2013. They are not owned/controlled by co-operatives. As of September 2018, JCIA had 17 members.",https://www.jcia.or.jp/,,,cooperatives,,,ica_directory,2804,,,,,,cooperative,ica_member,10,https://lod.coop/ica/2804,,
763715,Japan Federation of Commercial Broadcast Workers’ Unions,JP,Japan,,Shinjuku,,labor/national_union,,http://www.minpororen.jp/,,,democracy,,,wikidata_unions,Q11508432,,,,36.2,138.25,labor_union,,4,http://www.wikidata.org/entity/Q11508432,,
763727,Japan Federation of Newspaper Workers' Unions,JP,Japan,,Hongō,,labor/national_union,trade union in Japan,https://shimbunroren.or.jp/,,,democracy,,,wikidata_unions,Q11508219,1950,,,36.2,138.25,labor_union,,4,http://www.wikidata.org/entity/Q11508219,,
911002,Japan Workers' Cooperative Union (JWCU),JP,,,Tokyo,,,"Japan Workers' Co-operative Union (JWCU), founded in 1979, represents and unites worker cooperatives throughout Japan. Each worker cooperative is owned and democratically controlled by the worker-members and dedicated to creating jobs to promote the well-being of communities through associated work of the members and community residents.",https://jwcu.coop/en/,,,cooperatives,,,ica_directory,110,,,,35.72916,139.71949,cooperative,ica_member,10,https://lod.coop/ica/110,,
