id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
690042,Africa Early Childhood Network,KE,Kenya,,,,,"nonprofit organization in Nairobi, Kenya",https://africaecnetwork.org/,,,democracy,,,wikidata,Q97040407,,,,-1.29,36.82,nonprofit,tier_b,3,,,
689978,Africa Mental Health Foundation,KE,Kenya,,,,,"nonprofit organization in Nairobi, Kenya",http://www.africamentalhealthfoundation.org/,,,healthcare,,,wikidata,Q50037332,,,,-1.29,36.82,nonprofit,tier_b,3,,,
690066,Africa Sustainability Centre,KE,Kenya,,,,,research institute,https://africasustainability.org/,,,democracy,,,wikidata,Q117860188,,,,-1.29,36.82,nonprofit,tier_b,3,,,
689922,African Conservation Centre,KE,Kenya,,,,,"The African Conservation Centre (ACC) is a non-governmental organization based in Kenya. The group was founded in 1995.Their work has focused on capacity building ""to conserve wildlife through sound science, local initiatives and good governance",,,,ecology,,,wikidata,Q4689737,,,,-1.29,36.82,nonprofit,tier_b,3,,,
689942,African Conservation Tillage Network,KE,Kenya,,,,,"nonprofit organization in Nairobi, Kenya",http://www.act-africa.org/,,,ecology,,,wikidata,Q30261634,,,,-1.29,36.82,nonprofit,tier_b,3,,,
690061,African Forest Forum,KE,Kenya,,,,,research institute,https://afforum.org/,,,ecology,,,wikidata,Q117861110,,,,-1.29,36.82,nonprofit,tier_b,3,,,
689928,African Wildlife Foundation,KE,Kenya,,,,,international conservation organization,http://www.awf.org/,,,ecology,,,wikidata,Q4689959,,,,-1.29,36.82,nonprofit,tier_b,3,,,
689902,Alliance for a Green Revolution in Africa,KE,Kenya,,,,,agricultural development organization,https://agra.org/,,,food,,,wikidata,Q2649103,,,,-1.29,36.82,nonprofit,tier_b,3,,,
689246,Amnesty Kenya,KE,Kenya,,,,,"- **** campaigns against abuses as part of Amnesty International's global network, mobilizing members to pressure governments.[1] - **Kenya Human Rights Commission (KHRC)** promotes human rights and d",,,,democracy,,,web_research,,,,,-1.29,36.82,nonprofit,tier_b,2,,,
689257,Amref Health Africa,KE,Kenya,,,,,"- ****: Delivers healthcare services across 36 African countries, including Kenya, with a focus on eye treatment, community health, and partnerships to combat child abuse through parenting classes and",,,,healthcare,,,web_research,,,,,-1.29,36.82,nonprofit,tier_b,5,,,
690295,Arabuko Sokoke National Park,KE,Kenya,,,,,"forest Reserve is located on the coast of Kenya, 110 km north of Mombasa and is protected as a national Forest Reserve.",,,,ecology,,,wikidata,Q624443,,,,-1.29,36.82,nonprofit,tier_b,3,,,
