id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
911221,Korea Cooperative Solidarity (KCS),KR,,,"Seongbuk-gu, Seoul",,,"ISKC is a coalition of cooperative associations in Korea. It was formed by three ICA members KFWC, DCCU and KFUC as well as one additional association. They formed this association in order to collectively join together and cooperate with the ICA. The purpose is international solidarity for the Korean social and economiy organisations, and to formulate and act for solidarity organisation. 4 member societies representing 999,339 individual members",https://www.kcoops.com/,,,cooperatives,,,ica_directory,36221,,,,,,cooperative,ica_member,6,https://lod.coop/ica/36221,,
764010,Korean Confederation of Trade Unions,KR,South Korea,,,,labor/union_federation,"ITUC affiliate. KCTU. 812,500 members.",,,,cooperatives,,,ituc_affiliates,wp:Korean_Confederation_of_Trade_Unions,,,,35.91,127.77,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Korean_Confederation_of_Trade_Unions,,
911004,Korean Federation of Community Credit Cooperatives (KFCC),KR,,,Seoul,,,"KFCC was established in 1973 to supervise the work of Saemaul Geumgo (community credit cooperatives), increase joint interests, and promote sound development. As a partner of Saemaul Geumgo, it establishes favorable management conditions for Saemaul Geumgo and helps them achieve continued growth. Its main businesses include guidance and supervision of Saemaul Geumgo for its sound growth. As for its credit business, it is performing the role of a central bank by controlling Saemaul Geomgo's liquidity. It also promotes public relations and the insurance business for Saemaul Geumgo and its members, manages Depositors Protection Fund to guarantee the return of savings of Saemaul Geumgo members in emergencies, and is in charge of training the directors and staff of Saemaul Geumgo and KFCC. The goal of its international cooperation business is to foster friendships and strengthen cooperation with international cooperative societies. Furthermore, it implments international development projects in developing nations to share sucess story of Saemaul Geumgo, putting high emphasis on ""mutual help"" and ""savings"" for development.",http://www.kfcc.co.kr,,,cooperatives,,,ica_directory,112,,,,,,cooperative,ica_member,10,https://lod.coop/ica/112,,
764009,Korean Trade Union Federation,KR,South Korea,,,,labor/union_federation,"ITUC affiliate. FKTU. 878,628 members.",,,,cooperatives,,,ituc_affiliates,wp:Federation_of_Korean_Trade_Unions,,,,35.91,127.77,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Federation_of_Korean_Trade_Unions,,
764554,Minsnail Housing Co-op,KR,South Korea,,Seoul,,land_and_housing/housing_cooperative,student housing co-operative in South Korea,https://minsnailcoop.com/,,,housing_land,,,wikidata_land_trusts,Q127328725,2014,,,35.91,127.77,cooperative,,10,http://www.wikidata.org/entity/Q127328725,,
911005,National Agricultural Co-operative Federation (NACF),KR,,,Seoul,,,"NACF is the apex organization for agricultural co-operatives in Korea and consists of 1,131 member co-ops representing over 80% of farmers in Korea. NACF has physically separated its operations into one federation and two holding groups which are the Agribusiness Group and Financial Group. As the control tower of all businesses, NACF is especially responsible for the governance of businesses such as Extension Services and Cooperative Banking. The entire organization works to reach its ultimate goal of bettering lives of farmers and reaching farming income of 5 million KRW per household by 2020. NACF also has great international presence as it serves as the secretariat for ICAO, operates 33 overseas offices in 12 countries, and works with international cooperatives to reach the cooperative principle 'cooperation among coopertives.",https://www.nonghyup.com/eng/main/engmain.do,,,cooperatives,,,ica_directory,113,,,,37.566381,126.967895,cooperative,ica_member,10,https://lod.coop/ica/113,,
911006,National Credit Union Federation of Korea (NACUFOK),KR,,,Daejeon Metropolitan City,,,"Based on the spirit of faith and sharing, we are a non-profit cooperative financial institution for the common people and the middle class. Since the 1960s, the Korea Credit Union has contributed to the improvement of the status of socioeconomic weaknesses such as small and middle-class merchants who have been neglected by banks, and have played a social role in solving the imbalance among classes. Our credit union is not just a financial institution. It is an organization with a strong social movement character, which aims to create a society that lives in harmony with the philosophy and philosophy of people-centered and union-centered. Now, we have secured the framework of safe and secure cooperative by providing convenient electronic financial services, various products and the best service on the ground that is Shinchon's only ethical ideological competitiveness.",http://www.cu.co.kr,,,cooperatives,,,ica_directory,114,,,,,,cooperative,ica_member,9,https://lod.coop/ica/114,,
911007,National Federation of Fisheries Cooperatvies (NFFC),KR,,,Seoul,,,"KNFC is the foundation of Korea's fishing industry and the driver of its competitveness. Established in 1962, its mission is to develop the domestic fishing industry and fishing villages; raise fishermen's social, economic and cultural status; and improve the quality of life in the nation's fishing communities. NNFC is performing 3 types of business: extension service marketing and supply banking including mutual credit and cooperative insurance",http://www.suhyup.co.kr,,,cooperatives,,,ica_directory,115,,,,,,cooperative,ica_member,6,https://lod.coop/ica/115,,
911008,National Forestry Co-operatives Federation (NFCF),KR,,,Seoul,,,"NFCF was first formed in order to protect the rights of forest owners and cooperative members and to promote sustainable forestry practices to help Korean economy. Since its inception NFCF has accomplished the feat of reforesting severely denuded mountains in the country within the shortest possible time period in the history of world's reforestation. Without 2 million dedicated cooperative members and citizens such feat would not have been possible. NFCF also has grown with forest owners and managers through various programs and projects such as forest management extension programs, forest resource base building projects, marketing both major and minor forest products, building logging roads and infrastructure for sustainable forest management, banking and financing services, and overseas forestry development projects.",http://www.nfcf.or.kr,,,cooperatives,,,ica_directory,116,,,,,,cooperative,ica_member,10,https://lod.coop/ica/116,,
911137,iCOOP,KR,,,Seoul,,,"iCOOP was established in 1997 as one of the federations of consumer cooperatives in South Korea to conduct eco-friendly and organic food business. By pursuing &ldquo;Healing People, Cooling the Planet&rdquo; for ourselves, our neighbors and our planet, it cares not only the health and lifecare of members with healing food and programs, but also environmental issues by reducing the intake of microplastics and developing eco-friendly packages. Currently, it consists of 100 consumer coops, 310,000 individual members, and 4,100 employees.",http://www.icoop.coop,,,cooperatives,,,ica_directory,3255,,,,,,cooperative,ica_member,9,https://lod.coop/ica/3255,,
