id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
764120,Ceylon Workers' Congress,LK,Sri Lanka,,,,labor/union_federation,"ITUC affiliate. CWC. 190,000 members.",,,,cooperatives,,,ituc_affiliates,wp:Ceylon_Workers'_Congress,,,,7.87,80.77,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Ceylon_Workers%27_Congress,,
911232,Department of Co-operative Development (DCD),LK,,,Colombo 02,,,,,,,cooperatives,,,ica_directory,40911,,,,,,cooperative,ica_member,6,https://lod.coop/ica/40911,,
764732,Habitat for Humanity Sri Lanka,LK,Sri Lanka,,Colombo,,land_and_housing/sweat_equity_program,Habitat for Humanity country or regional office. Sweat-equity homeownership program. See https://habitatsrilanka.org/.,https://habitatsrilanka.org/,,,housing_land,,,habitat_affiliates,LK:habitat-for-humanity-sri-lanka,,,,7.87,80.77,sweat_equity_program,"habitat_affiliate,sweat_equity",9,https://habitatsrilanka.org/,,
911238,Matara District Cooperative Hospital Society Ltd.,LK,,,Matara,,,"Matara District Cooperative Hospital Society Ltd. is a cooperative hospital services cooperative society that strengthens the Hospital Cooperative Network to benefit rural poor marginalized vulnerable disadvantaged communities, especially in the remote areas. Their aims are to provide health and livelihood guidance to members, women and children to maintain and build medical facilities along with sanitary services. The bed-ridden facilities for severely affected elders, pregnant mothers on a package of free services etc., Our cooperative hospital has an income generating activity for the benefit of rural member women in agri-product development and facilitating to garbage recycling process along with microcredit programs.",http://www.marcoophealth.com,,,cooperatives,,,ica_directory,41963,,,,,,cooperative,ica_member,8,https://lod.coop/ica/41963,,
911020,National Cooperative Council of Sri Lanka (NCCSL),LK,,,Colombo,,,NCCSL is an apex level organization for the cooperative movement of Sri Lanka. They develop and represent the cooperative movement in Sri Lanka.,http://www.slncc.lk,,,cooperatives,,,ica_directory,142,,,,,,cooperative,ica_member,6,https://lod.coop/ica/142,,
911102,National Institute Of Co-operative Development (NICD),LK,,,Polgolla,,,"NICD's main objective is to develop the knowledge and skills of people who serve in the cooperative sector so that a more productive and efficient contribution to the field is obtained. In order to supply a productive service, NICD possesses physical as well as human resources.",http://www.nicd.edu.lk,,,cooperatives,,,ica_directory,1681,,,,,,cooperative,ica_member,9,https://lod.coop/ica/1681,,
764121,National Trade Union Federation,LK,Sri Lanka,,,,labor/union_federation,"ITUC affiliate. NTUF. 400,000 members.",,,,cooperatives,,,ituc_affiliates,wp:National_Trade_Union_Federation,,,,7.87,80.77,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/National_Trade_Union_Federation,,
764122,National Workers' Congress,LK,Sri Lanka,,,,labor/union_federation,"ITUC affiliate. NWC. 82,972 members.",,,,cooperatives,,,ituc_affiliates,wp:National_Workers'_Congress,,,,7.87,80.77,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/National_Workers%27_Congress,,
911019,SANASA Federation Ltd in Sri Lanka,LK,,,Colombo 5,,,"SANASA is the umbrella organization or the apex body of over 8000 primary societies dealing in microfinance in territories designated from the rural conclaves to the townships, ramified throughout the country inclusive of predominantly populated areas with Tamil speaking people in north and east of the country.",http://www.sanasa.coop,,,cooperatives,,,ica_directory,141,,,,,,cooperative,ica_member,3,https://lod.coop/ica/141,,
764123,Sri Lanka Nidahas Sevaka Sangamaya,LK,Sri Lanka,,,,labor/union_federation,"ITUC affiliate. SLNSS. 68,000 members.",,,,cooperatives,,,ituc_affiliates,wp:Sri_Lanka_Nidahas_Sevaka_Sangamaya,,,,7.87,80.77,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Sri_Lanka_Nidahas_Sevaka_Sangamaya,,
