id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
763204,ActionAid Mozambique,MZ,Mozambique,,,,,"nonprofit organization in Maputo, Mozambique",http://www.actionaid.org/mozambique,,,democracy,,,wikidata,Q50379038,,,,-18.67,35.53,nonprofit,,2,,,
720691,Centro de Documentação e Formação Fotográfica,MZ,Mozambique,,,,,Mozambican photo school and photo archive,https://www.cdff.gov.mz,,,healthcare,,,wikidata,Q118180487,,,,-18.67,35.53,nonprofit,tier_b,3,,,
763212,Fórum Mulher,MZ,Mozambique,,,,,non-governmental organization in Mozambique that promotes women's rights and gender equality,https://forumulher.org.mz/,,,democracy,,,wikidata,Q136695459,,,,-18.67,35.53,nonprofit,,2,,,
763231,"Girl Move Academy, Mozambique",MZ,Mozambique,,,,,Mozambican organization that empowers young women to become leaders and agents of social change,https://girlmove.org/,,,democracy,,,wikidata,Q136695761,,,,-18.67,35.53,nonprofit,,2,,,
764714,Habitat for Humanity Mozambique,MZ,Mozambique,,Maputo,,land_and_housing/sweat_equity_program,Habitat for Humanity country or regional office. Sweat-equity homeownership program. See https://www.habitatmozambique.org/.,https://www.habitatmozambique.org/,,,housing_land,,,habitat_affiliates,MZ:habitat-for-humanity-mozambique,,,,-18.67,35.53,sweat_equity_program,"habitat_affiliate,sweat_equity",3,https://www.habitatmozambique.org/,,
720681,Lambda (Mozambican organization),MZ,Mozambique,,,,,"Mozambican organization for LGBTQ+ health, advocacy, and public awareness.",https://lambda.org.mz/,,,healthcare,,,wikidata,Q137755646,,,,-18.67,35.53,nonprofit,tier_b,3,,,
720862,Limpopo National Park,MZ,Mozambique,,,,,wildlife conservation park in Mozambique,,,,ecology,,,wikidata,Q1968897,,,,-18.67,35.53,nonprofit,tier_b,3,,,
763214,MICAIA Foundation,MZ,Mozambique,,,,,"nonprofit organization in Chimoio, Mozambique",http://micaia.org/,,,democracy,,,wikidata,Q30261901,,,,-18.67,35.53,nonprofit,,2,,,
763207,Marine Megafauna Foundation,MZ,Mozambique,,,,,nonprofit organization researching manta rays and whales,https://marinemegafaunafoundation.org/,,,democracy,,,wikidata,Q90571221,,,,-18.67,35.53,nonprofit,,2,,,
720677,Mozambique Red Cross Society,MZ,Mozambique,,,,,,,,,democracy,,,wikidata,Q3698020,,,,-18.67,35.53,nonprofit,tier_c,3,,,
763211,Mozambique Women of Energy,MZ,Mozambique,,,,,empowering women to become the source of change,,,,energy_digital,,,wikidata,Q136701616,,,,-18.67,35.53,nonprofit,,2,,,
764049,Organizaçâo dos Trabalhadores de Moçambique,MZ,Mozambique,,,,labor/union_federation,"ITUC affiliate. OTM. 97,305 members.",,,,cooperatives,,,ituc_affiliates,wp:Organizaçâo_dos_Trabalhadores_de_Moçambique,,,,-18.67,35.53,labor_union,"labor_union,ituc_affiliate",2,https://en.wikipedia.org/wiki/Organiza%C3%A7%C3%A2o_dos_Trabalhadores_de_Mo%C3%A7ambique,,
720680,Society for Women and AIDS in Africa - Mozambique (SWAA-Mozambique),MZ,Mozambique,,,,,non-governmental organization in Mozambique that addresses the impacts of HIV/AIDS and child marriage,,,,healthcare,,,wikidata,Q136695757,,,,-18.67,35.53,nonprofit,tier_b,3,,,
720710,Universidade Rovuma,MZ,Mozambique,,,,,The Mozambique based University is a leading institution whose mission is aimed at training quality senior technicians who will contribute creatively to sustainable sociocultural economic development.,,,,education,,,wikidata,Q76737841,,,,-18.67,35.53,nonprofit,tier_b,3,,,
