id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
693993,Access to Justice,NG,Nigeria,,,,,Nigeria-focused human rights organization based in Lagos,https://www.accesstojustice-ng.org,,,democracy,,,wikidata,Q4672479,,,,9.08,8.67,nonprofit,tier_b,3,,,
696998,Akwanga College Of Education Medical Center,NG,Nigeria,,,,,Public healthcare Provider,,,,healthcare,,,wikidata,Q101939827,,,,9.08,8.67,education_inst,tier_b,2,,,
694325,All Believers MPCS,NG,Nigeria,,,,,a farmers cooperative society,,,,food,,,wikidata,Q129135311,,,,9.08,8.67,nonprofit,tier_b,3,,,
694205,Arike Foundation,NG,Nigeria,,,,,"Education and enlightenment, Non governmental organisation in Education & Enlightenment, Environmental & Health Care Services, Peace, Security and Conflict Resolution, Religion/Faith & Ethics, Agro- economic and Empowerment.",http://www.arf-ng.org,,,conflict,,,wikidata,Q106573366,,,,9.08,8.67,foundation,tier_b,5,,,
694313,Association of public health physicians of Nigerian,NG,Nigeria,,,,,"is a professional association made up of physicians who, beyond their primary qualifications, have additional postgraduate training(s) in various aspects of Public Health/Community Medicine",https://aphpn-ng.net,,,healthcare,,,wikidata,Q123650163,,,,9.08,8.67,federation,tier_b,2,,,
694212,Aya International Development Indigenous Knowledge Initiative Nigeria,NG,Nigeria,,,,,Non-governmental organisation (NGO) in Nigeria,,,,democracy,,,wikidata,Q106572419,,,,9.08,8.67,nonprofit,tier_b,3,,,
694116,Bauchi Human Rights Network (BAHRN),NG,Nigeria,,,,,non governmental organization that combat human rights abuses by both state and non state actors in Northern Nigeria,,,,democracy,,,wikidata,Q106608401,,,,9.08,8.67,federation,tier_b,2,,,
694081,Brekete Family,NG,Nigeria,,,,,Human Rights Reality Radio and Television Program,http://www.breketefamily.com/,,,democracy,,,wikidata,Q60761721,,,,9.08,8.67,nonprofit,tier_b,2,,,
694291,Centre for Renewable Energy and Action on Climate Change,NG,Nigeria,,,,,research institute in Nigeria,https://creaccng.org/,,,energy_digital,,,wikidata,Q117804456,,,,9.08,8.67,research,tier_b,5,,,
911066,Co-operative Federation Of Nigeria (CFN),NG,,,"Ogba, Lagos",,,"CFN is the apex cooperative federation for the Cooperative Movement in Nigeria. It is a Non-Governmental Organisation representing the interest of all apex Cooperative organisations in Nigeria. Its members are State Co-operative Federations, National Apex Co-operative Societies, and duly registered Co-operative Society with national spread.",http://www.cfn.coop,,,cooperatives,,,ica_directory,353,,,,,,cooperative,ica_member,9,https://lod.coop/ica/353,,
694355,Co-operative Supply Association Limited,NG,Nigeria,,,,,agro co-operative association offering sales of agro chemicals and grocery supplies,,,,cooperatives,,,wikidata,Q128798964,,,,9.08,8.67,cooperative,tier_b,6,,,
694044,Common Heritage Foundation,NG,Nigeria,,,,,"nonprofit organization in Abuja, Nigeria",http://commonheritagefoundation.org/,,,recreation_arts,,,wikidata,Q30267835,,,,9.08,8.67,foundation,tier_b,2,,,
694227,Community Development Foundation,NG,Nigeria,,,,,Non Governmental organisation In Nigeria,,,,democracy,,,wikidata,Q106574097,,,,9.08,8.67,foundation,tier_b,3,,,
694350,Edo Co-operative Farmers,NG,Nigeria,,,,,agricultural association that is founded to provide farmers with extensive training,,,,food,,,wikidata,Q128671435,,,,9.08,8.67,cooperative,tier_b,6,,,
911111,"Federal Department of Co-operatives (FDC), Federal Ministry of Agriculture & Rural Development (FMARD)",NG,,,Abuja,,,"The Federal Department of Co-operatives (FDC) is responsible for developing Co-operative Policy and the Legal Framework for Nigerian Co-operatives. It is also responsible for the general coordination of the Nigerian Cooperative Movement. It promotes the effective growth of sustainable member-initiated and member-controlled National Cooperative Societies that contribute to the socio-economic development of Nigeria through job creation, income generation and economic diversification.",https://fdc.fmard.gov.ng/,,,cooperatives,,,ica_directory,2066,,,,9.043195,7.475268,cooperative,ica_member,10,https://lod.coop/ica/2066,,
694243,Federation of Nigeria Youth Cooperative,NG,Nigeria,,,,,Non governmental organization (NGO),,,,cooperatives,,,wikidata,Q114065933,,,,9.08,8.67,cooperative,tier_b,7,,,
694295,Global Initiative for Food Security and Preservation,NG,Nigeria,,,,,Nigerian climate change organization,https://gifsep4climate.org/,,,food,,,wikidata,Q121289670,,,,9.08,8.67,nonprofit,tier_b,2,,,
694067,Lagos Food Bank,NG,Nigeria,,,,,,https://lagosfoodbank.org/,,,food,,,wikidata,Q48809999,,,,9.08,8.67,nonprofit,tier_c,4,,,
694050,National Human Rights Commission,NG,Nigeria,,,,,human rights commission in Nigeria,,,,democracy,,,wikidata,Q21015847,,,,9.08,8.67,government,tier_b,2,,,
