id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
712754,Aan den IJssel Public Library Foundation,NL,Netherlands,,,,,"public library organization in the municipalities of Capelle aan den IJssel and Krimpen aan den IJssel, The Netherlands",https://www.bibliotheekaandenijssel.nl,,,education,,,wikidata,Q59961954,,,,52.13,5.29,foundation,tier_b,2,,,
709368,AanZet Public Library Foundation,NL,Netherlands,,,,,"public library organization in the municipalities of Dordrecht, Barendrecht, Zwijndrecht, Gorinchem, Ridderkerk and surroundings, The Netherlands",https://www.debibliotheekaanzet.nl/,,,education,,,wikidata,Q59838313,,,,52.13,5.29,foundation,tier_b,2,,,
709380,Almelo Public Library Foundation,NL,Netherlands,,,,,"public library organization in the municipality of Almelo, The Netherlands",https://www.bibliotheekalmelo.nl/,,,education,,,wikidata,Q59961892,,,,52.13,5.29,foundation,tier_b,2,,,
709725,Amsterdam Public Library Foundation,NL,Netherlands,,,,,"public library organization in the municipality of Amsterdam, The Netherlands",https://www.oba.nl,,,education,,,wikidata,Q2105660,,,,52.13,5.29,foundation,tier_b,2,,,
709383,Arnhem Public and Gelderland Scientific Library Foundation,NL,Netherlands,,,,,"public library organization in the municipality of Arnhem, The Netherlands",https://www.bibliotheekarnhem.nl,,,education,,,wikidata,Q59961906,,,,52.13,5.29,foundation,tier_b,2,,,
712753,Borne Public Library Foundation,NL,Netherlands,,,,,"public library organization in the municipalitity of Borne, The Netherlands",https://www.bibliotheekborne.nl/,,,education,,,wikidata,Q59961944,,,,52.13,5.29,foundation,tier_b,2,,,
764055,Christelijk Nationaal Vakverbond,NL,Netherlands,,,,labor/union_federation,"ITUC affiliate. CNV. 299,000 members.",,,,cooperatives,,,ituc_affiliates,wp:Christelijk_Nationaal_Vakverbond,,,,52.13,5.29,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Christelijk_Nationaal_Vakverbond,,
910645,Community Land Trust H-BUURT,NL,Netherlands,North Holland,Amsterdam,,,Community Land Trust listed in the Schumacher Center CLT World Map. Country: Netherlands,https://www.clthbuurt.nl/,,,housing_land,,,clt_world_map,community-land-trust-h-buurt,,,,,,community_org,community_land_trust,4,https://centerforneweconomics.org/clt/community-land-trust-h-buurt/,,
712752,CultuurSpoor Best Foundation,NL,Netherlands,,,,,"public library and cultural organization in the municipality of Best, The Netherlands",https://www.cultuurspoorbest.nl,,,education,,,wikidata,Q59961932,,,,52.13,5.29,foundation,tier_b,2,,,
909751,Ecovillage Sol,NL,Netherlands,Curacao,Willemstad,,,"status: Forming. type: Commune (organized around sharing almost everything.), Ecovillage (organized around ecology and sustainability.), Cohousing (individual homes within group owned property.). open to membership: Yes",https://www.ic.org/directory/ecovillage-sol/,,,housing_land,,,ic_directory,640575,,,,,,cooperative,"Commune (organized around sharing almost everything.), Ecovillage (organized around ecology and sustainability.), Cohousing (individual homes within group owned property.)",5,https://www.ic.org/directory/ecovillage-sol/,,
709371,Etten-Leur Public Library Foundation,NL,Netherlands,,,,,"public library organization in the municipality of Etten-Leur, The Netherlands",https://www.nieuwenobelaer.nl/bibliotheek/,,,education,,,wikidata,Q59962033,,,,52.13,5.29,foundation,tier_b,2,,,
764056,Federatie Nederlandse Vakbeweging,NL,Netherlands,,,,labor/union_federation,"ITUC affiliate. FNV. 1,370,884 members.",,,,cooperatives,,,ituc_affiliates,wp:Federatie_Nederlandse_Vakbeweging,,,,52.13,5.29,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Federatie_Nederlandse_Vakbeweging,,
764716,Habitat for Humanity Netherlands,NL,Netherlands,,Utrecht,,land_and_housing/sweat_equity_program,Habitat for Humanity country or regional office. Sweat-equity homeownership program. See https://www.habitat-holland.nl/.,https://www.habitat-holland.nl/,,,housing_land,,,habitat_affiliates,NL:habitat-for-humanity-netherlands,,,,52.13,5.29,sweat_equity_program,"habitat_affiliate,sweat_equity",9,https://www.habitat-holland.nl/,,
709377,Huizen-Laren-Blaricum Public Library Foundation,NL,Netherlands,,,,,"former public library organization in the municipalities of Huizen, Laren and Blaricum, The Netherlands",,,,education,,,wikidata,Q59962110,,,,52.13,5.29,foundation,tier_b,2,,,
709476,Louis Bolk Institute,NL,Netherlands,,,,,"research institute in the Netherlands that specializes in sustainable agriculture, nutrition and health",http://www.louisbolk.nl/,,,food,,,wikidata,Q1972117,,,,52.13,5.29,research,tier_b,2,,,
709376,Markiezaat Public Library Foundation,NL,Netherlands,,,,,"Public library organisation in the municipalities of Bergen op Zoom, Steenbergen and Woensdrecht, The Netherlands",,,,education,,,wikidata,Q59961930,,,,52.13,5.29,foundation,tier_b,2,,,
911088,Nationale Coöperatieve Raad (NCR) – Dutch Council for Cooperatives,NL,,,Houten,,,"NCR is the center of the debate about cooperative enterprises in the Netherlands. It&rsquo;s also the place where inspiration takes place and where cooperatives meet and learn from each other. Strong supporter of the cooperative model, NCR believes in its benefits and operates on behalf of its members through professional development activities and awareness, particularly among stakeholders.",http://www.cooperatie.nl,,,cooperatives,,,ica_directory,1450,,,,,,cooperative,ica_member,9,https://lod.coop/ica/1450,,
709320,Netherlands Federation of Industrial Heritage Foundation,NL,Netherlands,,,,,organization,https://www.industrieel-erfgoed.nl/,,,recreation_arts,,,wikidata,Q15882375,,,,52.13,5.29,foundation,tier_b,2,,,
709628,Netherlands Institute of Human Rights,NL,Netherlands,,,,,department of Utrecht University,http://www.uu.nl/onderzoek/studie-en-informatiecentrum-mensenrechten-sim,,,education,,,wikidata,Q41082226,,,,52.13,5.29,research,tier_b,2,,,
903935,Nijmegen TransitieStad,NL,Netherlands,GE,Nijmegen,,,"Transition Town Nijmegen exists from february 2009. In this organisation 6 groups are active with different themes like eatable gardens, organic food out of the region, transport, sustainable energy, saving energy and a local currency ""the Gelre"". Each First thursday of each month at 19.45 hour there is an one hour programm about a special theme in the ""Transition Pub"", Broeckhuysenstraat 46 in Nijmegen. Then and after that everybody can meet members of Transition Town Nijmegen.",http://nijmegen.transitiontowns.nl,,,,,,transition_network,809,,,,51.841692,5.858651,collective,Transition Group,3,https://maps.transitionnetwork.org/group/nijmegen-transitiestad/,,
709378,Nissewaard Boekenberg Public Library Foundation,NL,Netherlands,,,,,"public library organisation in the municipality of Nissewaard, The Netherlands",https://www.bibliotheekdeboekenberg.nl/,,,education,,,wikidata,Q59962276,,,,52.13,5.29,foundation,tier_b,2,,,
903554,Olst in Transitie,NL,Netherlands,Overijssel,Olst,,,"Olst in Transitie was founded in january 2016. We have a Core Team of 8 committed people, divided over 5 interconnected domains of interest: Energy, Food, Consumerism, Waste & Resources, and REconomy. Within these domains we have a wide range of working groups, activities, projects and spin-off organisations. Olst is a village of 5,500 inhabitants in the Eastern part of the Netherlands. It is part of a greater municipality of some 18,000 inhabitants, living in a rural area with a total of 4 villages and 8 hamlets. The River IJssel is a dominant natural feature. At the southern border of Olst, the establishment in 2012 of the Aardehuizen ecovillage has been an important impulse for the social, cultural and environmentalist activities in the wider community.",http://www.olstintransitie.nl,,,,,,transition_network,1688,,,,52.3385606,6.1387039,collective,Transition Group,4,https://maps.transitionnetwork.org/group/olst-in-transitie/,,
712756,Oostland Public Library Foundation,NL,Netherlands,,,,,"public library organization in the municipalities of Lansingerland and Pijnacker-Nootdorp, The Netherlands",https://www.bibliotheekoostland.nl,,,education,,,wikidata,Q59961937,,,,52.13,5.29,foundation,tier_b,2,,,
911121,Rabobank,NL,,,Utrecht,,,"Rabobank emerged from small agricultural cooperative banks, first founded by Dutch farmers and horticulturists in the late nineteenth century. They had been eager to improve the future of agriculture and horticulture and make farmers prosperous through a credit cooperative. From 1895 on, several banks modeled on this ""Raiffeisen system"" were set up in different parts of the Netherlands. The organizational model centered on self-help, taking individual and mutual responsibility, and the involvement of all stakeholders. Our focus is on delivering all-finance services in the Netherlands and on serving our Food & Agri customers internationally. We create value with our strategy and the products and services we offer customers in Retail Banking, Wholesale Banking, Rural Banking, Private Banking, Vendor Finance, Leasing and Real Estate.",http://www.rabobankgroep.nl,,,cooperatives,,,ica_directory,2530,,,,,,cooperative,ica_member,9,https://lod.coop/ica/2530,,
910263,RomolenBEEK,NL,Netherlands,Noord Holland,Haarlem,,,"status: Established (At least 4+ adults, 2+ years. type: Cohousing (individual homes within group owned property.), Spiritual or Religious Community. open to membership: Not currently~ but there is a list or possibly in the future",https://www.ic.org/directory/romolenbeek/,,,recreation_arts,,,ic_directory,541624,,,,,,cooperative,"Cohousing (individual homes within group owned property.), Spiritual or Religious Community",5,https://www.ic.org/directory/romolenbeek/,,
709770,Stadkamer Zwolle Foundation,NL,Netherlands,,,,,"Organisation for public library, education, art and culture in the municipality of Zwolle, The Netherlands",https://stadkamer.nl,,,education,,,wikidata,Q2489765,,,,52.13,5.29,foundation,tier_b,4,,,
903524,Transitie Castricum,NL,Netherlands,,Castricum,,,"In Castricum (in The Netherlands) we work together to create a more sustainable, social and locally rooted way of living. We focus on simple, concrete actions that anyone can join. Everything we do is volunteer-based — no membership or fees. Our work follows three pillars: Head: raising awareness and sharing knowledge about energy, ecology, economy and climate through workshops, talks and practical advice. Heart: building connection, trust and hope by organising meetups, cafés and activities where people can share ideas about living more resiliently. Hands: putting ideas into action with local projects such as car-sharing, exchange circles, tool and item sharing, Repair Cafés, community energy initiatives, local food projects and activities that support biodiversity. We believe that small, voluntary contributions from anyone who wants to join can make our community stronger. Together we show that sustainable, community-based initiatives are both possible and worthwhile.",http://transitiecastricum.nl/,,,food,,,transition_network,4805,,,,52.5588306,4.6396755,collective,"Transition Group, Community Growing, Other food projects, Nature, Community hub or activities, Festivals, fairs or events, Art / creativity, Community visioning / imagination work, Building local networks, Local economy or new economy projects, Wellbeing or Inner Transition, Social Justice / Just Transition activities, Youth or education projects, Share, Repair or reuse, Energy, Transport, Other",6,https://maps.transitionnetwork.org/group/transitie-castricum/,,
910494,Vicky's Keys in Sint Maaten - where Communal Living meets Caribbean Charm,NL,Netherlands,"Kingdom of the Netherlands, Dutch Caribbean","Philipsburg, Sint Maarten",,,"status: Forming. type: Commune (organized around sharing almost everything.), Shared Housing, Cohouseholding, or Coliving (multiple individuals sharing a dwelling.). open to membership: Yes",https://www.ic.org/directory/vickys-keys/,,,housing_land,,,ic_directory,585990,,,,,,cooperative,"Commune (organized around sharing almost everything.), Shared Housing, Cohouseholding, or Coliving (multiple individuals sharing a dwelling.)",4,https://www.ic.org/directory/vickys-keys/,,
