id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
763757,Association of Norwegian Lawyers,NO,Norway,,Oslo,,labor/national_union,Norwegian jurists' association,https://juristforbundet.no,,,democracy,,,wikidata_unions,Q11992049,1966,,,60.47,8.47,labor_union,,4,http://www.wikidata.org/entity/Q11992049,,
764343,BOB,NO,Norway,,Bergen,,land_and_housing/housing_cooperative,Real Estate company in Norway,http://www.bob.no/,,,housing_land,,,wikidata_land_trusts,Q17750215,1941,,,60.47,8.47,cooperative,,3,http://www.wikidata.org/entity/Q17750215,,
764346,Bate,NO,Norway,,Stavanger,,land_and_housing/housing_cooperative,Real Estate,https://bate.no/,,,housing_land,,,wikidata_land_trusts,Q63393498,2014,,,60.47,8.47,cooperative,,3,http://www.wikidata.org/entity/Q63393498,,
903325,Bi-Omstilling Maridalen,NO,Norway,,Oslo,,,"Bi-Omstilling (Bi-O) is working for transition within areas defined by how far bees reach from their hive. (Bi=Bee, Omstilling=Transition) We are operating an organic garden project in Maridalen, a cultural heritage landscape north of Oslo which also contains the Maridalen lake, which is serving the city of Oslo with 85% of its drinking water. We will start beekeeping from the 2024 season, and at the same time invite the appr. 1000 inhabitants living within the area to participate in creating a carbon negative society within 2030. We will also work to encourage the local farmers and gardeners to go all organic and increase local food production. Since the project site is within 20 min. by bus from Oslo, with 600 000 inhabitants, we believe it can have a more general impact as well. *** Bi-Omstilling (Bi-O) jobber for omstilling innenfor områder definert av hvor langt biene når fra bikuben. Vi driver et økologisk hageprosjekt i Maridalen, et kulturminnelandskap nord for Oslo som også inneholder Maridalsvannet, som betjener Oslo by med 85 % av sitt drikkevann. Vi starter birøkt fra sesongen 2024, og inviterer samtidig de ca. 1000 innbyggere som bor i området for å være med på å skape et karbonnegativt samfunn innen 2030. Vi vil også jobbe for å oppmuntre de lokale bøndene og hagedyrkerne til å dyrke økologisk og øke lokal matproduksjon. Siden prosjektet er innen 20 min. med buss fra Oslo, med 600 000 innbyggere, tror vi det også kan ha en mer generell innvirkning.",https://bi-o.no/en/,,,food,,,transition_network,6822,,,,60.0255605,10.8082438,collective,"Transition Group, Other food projects",2,https://maps.transitionnetwork.org/group/bi-o-maridalen/,,
764437,Borettslaget Friis' gate 6,NO,Norway,,,,land_and_housing/housing_cooperative,,https://friisgate6.no,,,housing_land,,,wikidata_land_trusts,Q11961919,,,,60.47,8.47,cooperative,,3,http://www.wikidata.org/entity/Q11961919,,
762339,CICERO Center for International Climate Research,NO,Norway,,,,,"climate and environmental science research organization in Oslo, Norway",https://cicero.oslo.no,,,ecology,,,wikidata,Q11005470,,,,60.47,8.47,research,,2,,,
764067,Confederation of Unions for Professionals,NO,Norway,,,,labor/union_federation,"ITUC affiliate. Unio. 300,000 members.",,,,cooperatives,,,ituc_affiliates,wp:Confederation_of_Unions_for_Professionals_(Unio),,,,60.47,8.47,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Confederation_of_Unions_for_Professionals_%28Unio%29,,
764068,Confederation of Vocational Unions,NO,Norway,,,,labor/union_federation,"ITUC affiliate. YS. 209,344 members.",,,,cooperatives,,,ituc_affiliates,wp:Confederation_of_Vocational_Unions,,,,60.47,8.47,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Confederation_of_Vocational_Unions,,
911042,Coop Norge SA,NO,,,Oslo,,,Coop Norge is a large consumer co-operative with locations across the whole country. It is owned by 60 local co-ops with 2.0 million individual members (September 2022).,http://www.coop.no,,,cooperatives,,,ica_directory,202,,,,,,cooperative,ica_member,9,https://lod.coop/ica/202,,
763562,Creo,NO,Norway,,Oslo,,labor/national_union,Norwegian trade union,https://creokultur.no,,,democracy,,,wikidata_unions,Q1955116,2001,,,60.47,8.47,labor_union,,4,http://www.wikidata.org/entity/Q1955116,,
764568,De Eldres Boligspareklubb,NO,Norway,,Oslo,,land_and_housing/housing_cooperative,Norwegian nationwide housing cooperative,http://www.des-norge.no/,,,cooperatives,,,wikidata_land_trusts,Q79861457,2000,,,60.47,8.47,cooperative,,7,http://www.wikidata.org/entity/Q79861457,,
764347,Drammen og Omegn Boligbyggelag,NO,Norway,,,,land_and_housing/housing_cooperative,,,,,housing_land,,,wikidata_land_trusts,Q17767125,1945,,,60.47,8.47,cooperative,,3,http://www.wikidata.org/entity/Q17767125,,
763852,Econa,NO,Norway,,Oslo,,labor/national_union,Norwegian trade union,http://econa.no,,,democracy,,,wikidata_unions,Q7532493,1939,,,60.47,8.47,labor_union,,4,http://www.wikidata.org/entity/Q7532493,,
762772,Human Rights Service,NO,Norway,,,,,organization,https://rights.no,,,democracy,,,wikidata,Q4586557,,,,60.47,8.47,nonprofit,,2,,,
764597,Kolstadflaten borettslag,NO,Norway,,Kolstadflata,,land_and_housing/housing_cooperative,"Housing cooperative in Trondheim, Norway",https://kolstadflaten.no/,,,cooperatives,,,wikidata_land_trusts,Q105104598,1969,,,60.47,8.47,cooperative,,7,http://www.wikidata.org/entity/Q105104598,,
764529,Kristiansand og Omegn Boligbyggelag,NO,Norway,,Kristiansand,,land_and_housing/housing_cooperative,,http://www.sorbbl.no/,,,housing_land,,,wikidata_land_trusts,Q12004883,,,,60.47,8.47,cooperative,,3,http://www.wikidata.org/entity/Q12004883,,
764291,LHL Bygg,NO,Norway,,,,land_and_housing/housing_cooperative,Norwegian building cooperative,,,,cooperatives,,,wikidata_land_trusts,Q11982857,1967,,,60.47,8.47,cooperative,,6,http://www.wikidata.org/entity/Q11982857,,
764069,Landsorganisasjonen i Norge,NO,Norway,,,,labor/union_federation,"ITUC affiliate. LO. 880,769 members.",,,,cooperatives,,,ituc_affiliates,wp:Landsorganisasjonen_i_Norge,,,,60.47,8.47,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Landsorganisasjonen_i_Norge,,
764543,Larvik Boligbyggelag,NO,Norway,,,,land_and_housing/housing_cooperative,housing association,https://www.labo.no/,,,housing_land,,,wikidata_land_trusts,Q11983376,,,,60.47,8.47,cooperative,,4,http://www.wikidata.org/entity/Q11983376,,
764323,Midteggen Borettslag,NO,Norway,,,,land_and_housing/housing_cooperative,"Housing cooperative in Trondheim, Norway",https://www.midteggen.no/,,,cooperatives,,,wikidata_land_trusts,Q19381476,,,,60.47,8.47,cooperative,,7,http://www.wikidata.org/entity/Q19381476,,
764490,Møre og Romsdal Boligbyggelag,NO,Norway,,,,land_and_housing/housing_cooperative,,,,,housing_land,,,wikidata_land_trusts,Q11990471,,,,60.47,8.47,cooperative,,3,http://www.wikidata.org/entity/Q11990471,,
764440,Nedre Buskerud Boligbyggelag,NO,Norway,,,,land_and_housing/housing_cooperative,,,,,housing_land,,,wikidata_land_trusts,Q11991046,,,,60.47,8.47,cooperative,,3,http://www.wikidata.org/entity/Q11991046,,
