id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
764052,All Nepal Federation of Trade Unions,NP,Nepal,,,,labor/union_federation,"ITUC affiliate. ANTUF. 615,233 members.",,,,cooperatives,,,ituc_affiliates,wp:All_Nepal_Federation_of_Trade_Unions,,,,28.39,84.12,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/All_Nepal_Federation_of_Trade_Unions,,
764180,Congress of Independent Trade Unions,NP,Nepal,,,,labor/union_federation,ITUC affiliate. CITU.,,,,cooperatives,,,ituc_affiliates,wp:Congress_of_Independent_Trade_Unions,,,,28.39,84.12,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Congress_of_Independent_Trade_Unions,,
720970,Find NGOs in Nepal - Directory of Nepal,NP,Nepal,,,,,"Volunteer Concern is a non-profit volunteer organization that focuses on three sides of a society: Empathy, Education and Environment. We run various community development programs within these sector",,,,education,,,web_research,,,,,28.39,84.12,nonprofit,tier_b,2,,,
764053,General Federation of Nepalese Trade Unions,NP,Nepal,,,,labor/union_federation,"ITUC affiliate. GEFONT. 330,619 members.",,,,cooperatives,,,ituc_affiliates,wp:General_Federation_of_Nepalese_Trade_Unions,,,,28.39,84.12,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/General_Federation_of_Nepalese_Trade_Unions,,
764715,Habitat for Humanity Nepal,NP,Nepal,,Kathmandu,,land_and_housing/sweat_equity_program,Habitat for Humanity country or regional office. Sweat-equity homeownership program. See https://habitatnepal.org/.,https://habitatnepal.org/,,,housing_land,,,habitat_affiliates,NP:habitat-for-humanity-nepal,,,,28.39,84.12,sweat_equity_program,"habitat_affiliate,sweat_equity",9,https://habitatnepal.org/,,
720969,NGO Federation of Nepal,NP,Nepal,,,,,"Established in 1991 for the promotion and protection of social justice, human rights, civic space and pro-poor development, NFN has evolved as a leading organization working for the entire NGO movemen",,,,democracy,,,web_research,,,,,28.39,84.12,federation,tier_b,4,,,
911171,National Co-operative Bank Ltd. (NCBL),NP,,,Lalitpur,,,"National Cooperative Bank Limited (NCBL), established in 2003 is the only bank in cooperative movement of Nepal functioning as an umbrella institution to provide banking and technical services to its member cooperatives. The establishment of NCBL, has a special implication for the development of cooperative movement of Nepal as it works for promotion and strengthening of cooperatives and addressing the country's major socio-economic deprivations, poverty, unemployment, and inequality etc. through means of cooperative. At present, the bank has around 16,000 members covering all the 7 provinces and 77 districts catering service through 68 different places nationwide.",http://www.ncbl.coop,,,cooperatives,,,ica_directory,15595,,,,,,cooperative,ica_member,10,https://lod.coop/ica/15595,,
911018,National Co-operative Federation of Nepal (NCF),NP,,,,,,"NCF/N is an apex body of the cooperative movement of all types and level of cooperatives established on 20 June, 1993 in the basis of universally accepted cooperative values and principles. It has plays the crucial role to promote cooperative sector in Nepal. As a result, there has been a rapid expansion of the cooperatives in the last decade. There are 34,512 primary cooperatives, 325 district level cooperative unions, 20 central cooperative unions and 1 national cooperative bank under the umbrella of NCF. The vision of NCF is to be established as a leading federation for prosperous and equitable society by achieving Sustainable Development Goals through cooperatives, whereas to play the leadership role, organize and provide services to all levels of cooperatives for the member's economic, social and cultural empowerment are its mission.",http://www.ncfnepal.com.np,,,cooperatives,,,ica_directory,138,,,,,,cooperative,ica_member,10,https://lod.coop/ica/138,,
911165,Nepal Agricultural Cooperative Central Federation Limited (NACCFL),NP,,,Lalitpur,,,"NACCFL has its roots in the Small Farmers Development Program which was initiated by the government in 1975 for development of the small and marginal destitute in rural areas. This project worked so well that the farmers asked to take over the management of the project, which was gradually granted starting in 1993. In 2008 the farmers felt that they were facing different sets of problems which were better handled by a federation and so formed the NACCFL in 2008. They provide a range of financial and non-financial services to members, focusing on capacity building, policy advocacy and co-operative network expansion. They also provide auditing support, establish co-operative run schools and markets, electrification, irrigation, portable buildings, health information and communications, and drinking water.",http://www.naccfl.org.np,,,cooperatives,,,ica_directory,3616,,,,,,cooperative,ica_member,10,https://lod.coop/ica/3616,,
911176,Nepal Multipurpose Central Co-operative Union Ltd (NEMCCU),NP,,,Lalitpur District,,,"NEMCCU is a member based national organisation of multipurpose co-operatives. They were established to promote multipurpose co-operatives running all over the country. They carry out promotional activities in order to develop and strengthen the multipurpose co-ops in Nepal. For the long term development of member organization and to focus on their goals as well as to bring positive changes on country economy, cultural and social aspects the objectives are as follows: i) Following co-operative values, beliefs and principles, focus to maintain organizational disciplines. ii) Playing the role to help between co-operative and the member unions/organizations. iii) From traditional co-operative transform members into business form and modernize them. iv) Develop and promote the multipurpose co-operative organization and subjective union all over the country. v) Help the member organization/subjective union for the development of their business and economy. vi) Conduct the activities such as accounting, business and industrial for enhancing the capability of member unions/organizations. vii) To play the role of leadership among the co-operative running all over the country. viii) For the independency of member union/organization make the business plan and help to imply them. ix) Provide full help in the distribution and promotion of products of member union/organization. x) Making different levels of society to involve in co-operative and to raise their living standard by the mea...",http://www.nemccu.com.np/,,,cooperatives,,,ica_directory,16075,,,,,,cooperative,ica_member,9,https://lod.coop/ica/16075,,
