id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
705434,Akaroa Community and School Library,NZ,New Zealand,,,,,"public and school library in Christchurch, New Zealand",,,,education,,,wikidata,Q70765421,,,,-40.9,174.89,nonprofit,tier_b,3,,,
705366,Akaroa Coronation Library,NZ,New Zealand,,,,,"library in Akaroa, New Zealand",,,,education,,,wikidata,Q73558000,,,,-40.9,174.89,nonprofit,tier_b,3,,,
705299,Alexander Turnbull Library,NZ,New Zealand,,,,,part of the National Library of New Zealand,https://natlib.govt.nz/collections/a-z/alexander-turnbull-library-collections,,,education,,,wikidata,Q61604271,,,,-40.9,174.89,nonprofit,tier_b,3,,,
705286,Alexandra Library,NZ,New Zealand,,,,,"public library in Alexandra, New Zealand",,,,education,,,wikidata,Q61756123,,,,-40.9,174.89,nonprofit,tier_b,3,,,
704261,Amnesty International Aotearoa New Zealand,NZ,New Zealand,,,,,,http://www.amnesty.org.nz,,,democracy,,,wikidata,Q4747372,,,,-40.9,174.89,nonprofit,tier_c,3,,,
704242,Antarctic Heritage Trust (New Zealand),NZ,New Zealand,,,,,"founded in 1987, oldest member of the Antarctic Heritage Trust coalition",https://www.nzaht.org,,,recreation_arts,,,wikidata,Q2855344,,,,-40.9,174.89,nonprofit,tier_b,3,,,
705365,Aranui Library,NZ,New Zealand,,,,,"public library in Christchurch, New Zealand",,,,education,,,wikidata,Q74078651,,,,-40.9,174.89,nonprofit,tier_b,3,,,
705433,Arapaki Manners Library and Service Centre,NZ,New Zealand,,,,,"pop-up public library and council service centre in Wellington, New Zealand",,,,education,,,wikidata,Q70491848,,,,-40.9,174.89,nonprofit,tier_b,3,,,
705369,Architecture and Design Library,NZ,New Zealand,,,,,"the architecture and design library at Victoria University of Wellington's Te Aro campus, Welington, New Zealand",,,,education,,,wikidata,Q66142226,,,,-40.9,174.89,nonprofit,tier_b,3,,,
705247,Archives New Zealand,NZ,New Zealand,,,,,national archives of New Zealand,https://archives.govt.nz/,,,healthcare,,,wikidata,Q4787285,,,,-40.9,174.89,nonprofit,tier_b,3,,,
704734,Archives and Records Association of New Zealand,NZ,New Zealand,,,,,an incorporated society with the aim of promoting the understanding and importance of records and archives in New Zealand,https://www.aranz.org.nz/,,,healthcare,,,wikidata,Q65561443,,,,-40.9,174.89,nonprofit,tier_b,3,,,
705329,Arrowtown Library,NZ,New Zealand,,,,,"public library in Arrowtown, New Zealand",,,,education,,,wikidata,Q61756289,,,,-40.9,174.89,nonprofit,tier_b,3,,,
705408,Ashburton Public Library,NZ,New Zealand,,,,,"public library in Ashburton, New Zealand",https://ent.kotui.org.nz/client/en_AU/ashburton,,,education,,,wikidata,Q70715529,,,,-40.9,174.89,nonprofit,tier_b,3,,,
705509,Auckland Council Open Data Portal,NZ,New Zealand,,,,,open data portal of Auckland Council in New Zealand,https://data-aucklandcouncil.opendata.arcgis.com/,,,energy_digital,,,wikidata,Q97291704,,,,-40.9,174.89,nonprofit,tier_b,3,,,
704587,Auckland Institute and Museum,NZ,New Zealand,,,,,learned society in New Zealand,,,,education,,,wikidata,Q16949336,,,,-40.9,174.89,nonprofit,tier_b,3,,,
704229,Auckland Libraries,NZ,New Zealand,,,,,"public library system for Auckland, New Zealand",https://www.aucklandlibraries.govt.nz/,,,education,,,wikidata,Q4819503,,,,-40.9,174.89,nonprofit,tier_b,3,,,
705387,Auckland University of Technology Library,NZ,New Zealand,,,,,academic library,https://library.aut.ac.nz,,,education,,,wikidata,Q73784427,,,,-40.9,174.89,nonprofit,tier_b,3,,,
705431,Ayson Clifford Library,NZ,New Zealand,,,,,library at the Carey Baptist College,https://www.carey.ac.nz/library/about-the-library/,,,education,,,wikidata,Q85373586,,,,-40.9,174.89,nonprofit,tier_b,3,,,
704224,Beech Forest Action Committee,NZ,New Zealand,,,,,environmental organization in New Zealand,,,,ecology,,,wikidata,Q4879573,,,,-40.9,174.89,nonprofit,tier_b,3,,,
705239,Birkenhead Library,NZ,New Zealand,,,,,"library in Birkenhead, Auckland, New Zealand",https://www.aucklandlibraries.govt.nz/pages/library.aspx?library=3&libraryname=Birkenhead%20Library,,,education,,,wikidata,Q4916443,,,,-40.9,174.89,nonprofit,tier_b,3,,,
705318,Blueskin Bay Library,NZ,New Zealand,,,,,"public library in Dunedin, New Zealand",https://www.dunedinlibraries.govt.nz/locationhours/blueskin-bay-library,,,education,,,wikidata,Q61771814,,,,-40.9,174.89,nonprofit,tier_b,3,,,
