id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
696856,Biblioteca de la Oficina Cultural de la Embajada de España en Panamá,PA,Panama,,,,,library,,,,education,,,wikidata,Q85726902,,,,8.54,-80.78,nonprofit,tier_b,3,,,
764074,Confederación General de Trabajadores de Panamá,PA,Panama,,,,labor/union_federation,"ITUC affiliate. CGTP. 53,250 members.",,,,cooperatives,,,ituc_affiliates,wp:Confederación_General_de_Trabajadores_de_Panamá,,,,8.54,-80.78,labor_union,"labor_union,ituc_affiliate",2,https://en.wikipedia.org/wiki/Confederaci%C3%B3n_General_de_Trabajadores_de_Panam%C3%A1,,
764073,Confederación de Trabajadores de la República de Panamá,PA,Panama,,,,labor/union_federation,"ITUC affiliate. CTRP. 40,000 members.",,,,cooperatives,,,ituc_affiliates,wp:Confederación_de_Trabajadores_de_la_República_de_Panamá,,,,8.54,-80.78,labor_union,"labor_union,ituc_affiliate",2,https://en.wikipedia.org/wiki/Confederaci%C3%B3n_de_Trabajadores_de_la_Rep%C3%BAblica_de_Panam%C3%A1,,
764075,Convergencia Sindical,PA,Panama,,,,labor/union_federation,"ITUC affiliate. CS. 33,800 members.",,,,cooperatives,,,ituc_affiliates,wp:Convergencia_Sindical,,,,8.54,-80.78,labor_union,"labor_union,ituc_affiliate",2,https://en.wikipedia.org/wiki/Convergencia_Sindical,,
764721,Habitat for Humanity Panama,PA,Panama,,Panama City,,land_and_housing/sweat_equity_program,Habitat for Humanity country or regional office. Sweat-equity homeownership program. See https://www.habitatpanama.org/.,https://www.habitatpanama.org/,,,housing_land,,,habitat_affiliates,PA:habitat-for-humanity-panama,,,,8.54,-80.78,sweat_equity_program,"habitat_affiliate,sweat_equity",3,https://www.habitatpanama.org/,,
696857,National Library of Panama,PA,Panama,,,,,library of Panama,http://www.binal.ac.pa/binal/,,,education,,,wikidata,Q5727818,,,,8.54,-80.78,nonprofit,tier_b,3,,,
696860,Panama Open Data,PA,Panama,,,,,,https://www.datosabiertos.gob.pa/,,,energy_digital,,,wikidata,Q97073910,,,,8.54,-80.78,nonprofit,tier_c,3,,,
763112,Panamanian Association for the Advancement of Science,PA,Panama,,,,,"nonprofit organization in Panama, Panama",http://www.apanac.org.pa/,,,democracy,,,wikidata,Q111431914,,,,8.54,-80.78,nonprofit,,2,,,
696593,Red Cross Society of Panama,PA,Panama,,,,,Panamanian chapter of the International Federation of Red Cross and Red Crescent Societies,https://www.cruzroja.org.pa/,,,democracy,,,wikidata,Q97183264,,,,8.54,-80.78,nonprofit,tier_b,3,,,
696603,The Leatherback Project,PA,Panama,,,,,The Leatherback Project is an organization dedicated to the conservation of the massive leatherback sea turtle.,https://www.leatherbackproject.org/,,,ecology,,,wikidata,Q119975735,,,,8.54,-80.78,nonprofit,tier_b,3,,,
