id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
710950,Amazonian Indigenous Peoples United in Defense of their Territory,PE,Peru,,,,,group of indigenous federations in Peru,https://observatoriopetrolero.org/,,,democracy,,,wikidata,Q81767274,,,,-9.19,-75.02,nonprofit,tier_b,3,,,
909497,Ancient Apus Ecovillage,PE,Peru,Cusco,"Pisac, Cusco Region",,,"status: Forming. type: Ecovillage (organized around ecology and sustainability.), Cohousing (individual homes within group owned property.), Unspecified, or Other. open to membership: Yes",https://www.ic.org/directory/ancient-apus-ecovillage/,,,housing_land,,,ic_directory,664999,,,,,,cooperative,"Ecovillage (organized around ecology and sustainability.), Cohousing (individual homes within group owned property.), Unspecified, or Other",5,https://www.ic.org/directory/ancient-apus-ecovillage/,,
710977,Central Asháninka Río Ene,PE,Peru,,,,,indigenous association in Peru,,,,democracy,,,wikidata,Q117788291,,,,-9.19,-75.02,nonprofit,tier_b,3,,,
764078,Central Autónoma de Trabajadores del Perú,PE,Peru,,,,labor/union_federation,"ITUC affiliate. CATP. 12,705 members.",,,,cooperatives,,,ituc_affiliates,wp:Central_Autónoma_de_Trabajadores_del_Perú,,,,-9.19,-75.02,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Central_Aut%C3%B3noma_de_Trabajadores_del_Per%C3%BA,,
764079,Central Unitaria de Trabajadores del Perú,PE,Peru,,,,labor/union_federation,"ITUC affiliate. CUT. 25,000 members.",,,,cooperatives,,,ituc_affiliates,wp:Central_Unitaria_de_Trabajadores_del_Perú,,,,-9.19,-75.02,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Central_Unitaria_de_Trabajadores_del_Per%C3%BA,,
710984,Central de Comunidades de la Selva Central,PE,Peru,,,,,indigenous association in Peru,https://www.ceconsec.com/,,,democracy,,,wikidata,Q117788370,,,,-9.19,-75.02,nonprofit,tier_b,3,,,
710868,Centre for Indigenous Cultures of Peru,PE,Peru,,,,,"nonprofit organization in Lima, Peru",http://chirapaq.org.pe/en/,,,recreation_arts,,,wikidata,Q31793758,,,,-9.19,-75.02,research,tier_b,4,,,
911138,Cooperativa de Ahorro y Credito del Centro “COOPAC CENTROCOOP”,PE,,,Provincia Lima y Departamento de Lima,,,"Somos una Cooperativa cerrada, con solidez financiera fundada hace 58 a&ntilde;os. Contamos con 15 agencias a nivel nacional en Per&uacute; y como socios a trabajadores dependientes de 124 empresas privadas e instituciones p&uacute;blicas.",http://www.centrocoop.pe,,,cooperatives,,,ica_directory,3321,,,,,,cooperative,ica_member,6,https://lod.coop/ica/3321,,
911247,Cooperativa de Servicios Multiples El Tumi,PE,,,Lima,,,"Cooperativa el Tumi is provides financial and other services to its&rsquo; members who are present in all departments in the country. Their members can be those who are members or workers of a Public or Private Entity and who have a current payroll discount agreement with them. Their main services are loans and life insurance. 53,000 individual members",,,,cooperatives,,,ica_directory,50274,,,,,,cooperative,ica_member,6,https://lod.coop/ica/50274,,
710971,Coordinator for the Development and Defence of Indigenous Peoples in the San Martin Region,PE,Peru,,,,,"indigenous organization in San Martin region, Peru",https://www.codepisam.org.pe/,,,democracy,,,wikidata,Q123936485,,,,-9.19,-75.02,nonprofit,tier_b,3,,,
710978,Federación Nativa de Comunidades Kakataibo,PE,Peru,,,,,indigenous association in Peru,,,,democracy,,,wikidata,Q117788365,,,,-9.19,-75.02,nonprofit,tier_b,3,,,
710980,Federación de Comunidades Awajun de Río Santiago,PE,Peru,,,,,indigenous organization in Peru,,,,democracy,,,wikidata,Q117800202,,,,-9.19,-75.02,nonprofit,tier_b,3,,,
764723,Habitat for Humanity Peru,PE,Peru,,Lima,,land_and_housing/sweat_equity_program,Habitat for Humanity country or regional office. Sweat-equity homeownership program. See https://www.habitatperu.org.pe/.,https://www.habitatperu.org.pe/,,,housing_land,,,habitat_affiliates,PE:habitat-for-humanity-peru,,,,-9.19,-75.02,sweat_equity_program,"habitat_affiliate,sweat_equity",9,https://www.habitatperu.org.pe/,,
909856,Halcyon Community,PE,Peru,Amazonas,Chachapoyas,,,"status: Forming. type: Commune (organized around sharing almost everything.), Ecovillage (organized around ecology and sustainability.), Transition Town or Eco-Neighborhood (focused on energy/resource resiliency). open to membership: Yes",https://www.ic.org/directory/halcyon-community/,,,ecology,,,ic_directory,569049,,,,,,collective,"Commune (organized around sharing almost everything.), Ecovillage (organized around ecology and sustainability.), Transition Town or Eco-Neighborhood (focused on energy/resource resiliency)",3,https://www.ic.org/directory/halcyon-community/,,
710899,National Organization of Andean and Amazonian Indigenous Women of Peru,PE,Peru,,,,,,http://onamiap.org,,,democracy,,,wikidata,Q31793766,,,,-9.19,-75.02,nonprofit,tier_c,4,,,
711535,Peruvian State open data portal,PE,Peru,,,,,,https://www.datosabiertos.gob.pe/,,,energy_digital,,,wikidata,Q97096839,,,,-9.19,-75.02,nonprofit,tier_c,3,,,
710979,Rio Tambo Ashaninka Center,PE,Peru,,,,,indigenous association in Peru,,,,democracy,,,wikidata,Q117788271,,,,-9.19,-75.02,nonprofit,tier_b,3,,,
