id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
911216,1 Cooperative Insurance System of the Philippines Life and General Insurance (1CISP) or 1CoopInsurance,PH,,,Quezon City,,,"The 1 COOPERATIVE INSURANCE SYSTEM OF THE PHILIPPINES (1CISP), also known as 1CoopInsurance, is the FIRST and duly licensed insurance cooperative operating nationwide in the Philippines. Founded in 1974 for low-income sector Filipinos and those not covered by formal insurance. The 1CISP is primarily a group life insurance provider but now offers general insurance products. It is also one of the primary movers of microinsurance in the Philippines. For 1CISP, the entire cooperative community is a close-knit family, where the welfare of every individual member comes first. True to its mantra, 1CISP is Protecting Youike Family.",http://www.1cisp.coop,,,cooperatives,,,ica_directory,35336,,,,,,cooperative,ica_member,7,https://lod.coop/ica/35336,,
911220,ACDI Multipurpose Cooperative,PH,,,Taguig City,,,"They are an institutional cooperative serving members from the entire Armed Services of the Philippines (AFP) and other uniformed personnel, including active service, retirees, and civilian employees. Their primary services are savings and lending but also have a flying school, a tour agency, agriculture production and retail (dairy, rice, imports/exports), and insurance. They are the largest cooperative in the country and were recognised as the Most Outstanding large cooperative by the Cooperative Development Authority (CDA). They have 140 offices across the Philippines.",https://www.acdicoop.com,,,cooperatives,,,ica_directory,36174,,,,,,cooperative,ica_member,7,https://lod.coop/ica/36174,,
761765,Accredited Civil Society Organizations | PDF | Metro Manila - Scribd,PH,Philippines,,,,,"This document lists 36 accredited civil society organizations in the Philippines. It provides information such as the name and address of each organization, its type (e.g. cooperative, foundation, non",,,,cooperatives,,,web_research,,,,,12.88,121.77,nonprofit,tier_b,3,,,
764080,Alliance of Progressive Labour,PH,Philippines,,,,labor/union_federation,"ITUC affiliate. APL. 50,821 members.",,,,cooperatives,,,ituc_affiliates,wp:Alliance_of_Progressive_Labour,,,,12.88,121.77,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Alliance_of_Progressive_Labour,,
911122,Aurora Integrated Multipurpose Cooperative (AIMCooP),PH,,,"Poblacion, Aurora, Zamboanga del Sur",,,"The Aurora Integrated Multipurpose Cooperative is a duly organized multipurpose cooperative that specializes on savings and credit services registered with the Cooperative Development Authority with CIN: 012090030. It's main office address is located at Burgos St., Poblaci&oacute;n, Aurora, Zamboanga del Sur and has branches in Luzon, Visayas and Mindanao. AIMCooP is recognized as one of the top 20 cooperatives in the Philippines and received awards from various government entities for its support and compliance to government regulations and standards. Guided by its vision, mission and goal, AIMCooP believe that in cooperativism, AIMCooP will be a catalyst for poverty reduction, nation-building and member empowerment.",http://www.aimcoop.coop,,,cooperatives,,,ica_directory,2539,,,,12.2312393,118.4653348,cooperative,ica_member,9,https://lod.coop/ica/2539,,
909631,CIRCADIA COMMUNITY,PH,Philippines,Negros Oriental,Dauin,,,"status: Forming. type: Ecovillage (organized around ecology and sustainability.), Cohousing (individual homes within group owned property.), Shared Housing, Cohouseholding, or Coliving (multiple individuals sharing a dwelling.), Transition Town or Eco-Neighborhood (focused on energy/resource resiliency). open to membership: Yes",https://www.ic.org/directory/circadia-community/,,,housing_land,,,ic_directory,661726,,,,,,cooperative,"Ecovillage (organized around ecology and sustainability.), Cohousing (individual homes within group owned property.), Shared Housing, Cohouseholding, or Coliving (multiple individuals sharing a dwelling.), Transition Town or Eco-Neighborhood (focused on energy/resource resiliency)",7,https://www.ic.org/directory/circadia-community/,,
911119,CLIMBS Life and General Insurance Cooperatives (CLIMBS),PH,,,CAGAYAN DE ORO CITY,,,"CLIMBS Life and General Insurance Cooperative, is a leading LIFE & NON-LIFE micro-insurance provider especially for the grassroots. It now also partners with primary cooperatives nationwide through CoopAssurance Center (CAC) as a distribution channel of insurance products and services to their members and, overall, as a financial solutions provider to cooperatives and their respective members.",http://www.climbs.coop,,,cooperatives,,,ica_directory,2271,,,,,,cooperative,ica_member,9,https://lod.coop/ica/2271,,
911074,Co-operative Development Authority (CDA),PH,,,Quezon City,,,"CDA is a government agency created pursuant to Republic Act No. 6938 in fulfilment of Section 5 Article XII of the Philippine Constitution which mandates the creation of an agency that would promote the viability and growth of co-operatives as instruments of equity, social justice and sustainable economic development. In the Philippines: Individual members about 14 million in 2015 about 13 million in 2014 Over 25,600 registered co-operatives. Estimated PHP 334 billion volume of business in 2015 (CHF 7 billion) Estimated 122 billion revenue in 2015 (CHF 2.5 billion)",,,,cooperatives,,,ica_directory,665,,,,,,cooperative,ica_member,10,https://lod.coop/ica/665,,
713585,Cultural Center of the Philippines,PH,Philippines,,,,,"government owned and controlled corporation established to preserve, develop and promote arts and culture in the Philippines",https://culturalcenter.gov.ph,,,recreation_arts,,,wikidata,Q3544802,,,,12.88,121.77,nonprofit,tier_b,2,,,
714476,Divine Heart Medical Service And Development Cooperative (Dihmesco Hospital),PH,Philippines,,,,,"hospital in Quezon City, Philippines",,,,healthcare,,,wikidata,Q135550874,,,,12.88,121.77,cooperative,tier_b,6,,,
