id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
909547,Bhrugu Aranya Ecovillage - Poland,PL,Poland,Malpolska,Jordanow,,,"status: Established (At least 4+ adults, 2+ years. type: Ecovillage (organized around ecology and sustainability.), Spiritual or Religious Community. open to membership: Yes",https://www.ic.org/directory/bhrugu-aranya-ecovillage-poland/,,,recreation_arts,,,ic_directory,39920,,,,,,community_org,"Ecovillage (organized around ecology and sustainability.), Spiritual or Religious Community",2,https://www.ic.org/directory/bhrugu-aranya-ecovillage-poland/,,
911318,Fair Trade Polska - Fundacja „Koalicja Sprawiedliwego Handlu”,PL,,,,,,"Fundacja „Koalicja Sprawiedliwego Handlu” – Fairtrade Polska (Foundation of the “Fair Trade Coalition” – Fairtrade Polska) is a national non-profit organization with headquarters in Krakow, Poland.. founded: 2013. scope: sectoral. member of: RIPESS Europe",https://www.fairtrade.org.pl/about-us/,fairtrade@fairtrade.org.pl,,cooperatives,,,ripess_family,socioeco:471:1019,,,,50.04691,19.997064,cooperative,"ripess_member, RIPESS Europe",3,https://www.socioeco.org/bdf_organisme-1019_en.html,,
764725,Habitat for Humanity Poland,PL,Poland,,Warsaw,,land_and_housing/sweat_equity_program,Habitat for Humanity country or regional office. Sweat-equity homeownership program. See https://habitatpoland.pl/.,https://habitatpoland.pl/,,,housing_land,,,habitat_affiliates,PL:habitat-for-humanity-poland,,,,51.92,19.15,sweat_equity_program,"habitat_affiliate,sweat_equity",9,https://habitatpoland.pl/,,
911045,National Association Of Co-operative Savings And Credit Unions (NACSCU),PL,,,Sopot,,,"NACSCU is a cooperative of credit unions. The aim of NACSCU activity is to ensure the financial stability of the credit unions, and in particular to grant financial support to the credit unions from the resources of the stabilisation fund, and to exercise control over the credit unions to ensure the security of the savings accumulated in them and the compliance of the activities of the creditunions with the provisions of the law.",http://www.skok.pl,,,cooperatives,,,ica_directory,205,,,,,,cooperative,ica_member,10,https://lod.coop/ica/205,,
911046,National Auditing Union of Cooperatives (NAUWC),PL,,,Warsaw,,,"NAUWC is a voluntary and self-governing organisation, which associates labour cooperatives and all othercooperative organisations in Poland. NAUWC runs statutory and legal activities in the following fields: Auditing financial statements of cooperatives; Providing consultancy as well as financial, legal, and self-governing trainings for members of supervisory boards, management boards and staff of workers&rsquo; cooperatives and cooperative organisations; Training personnel for cooperatives, scientific & technical cooperation and publishing activities; Archiving documents of liquidated cooperatives and cooperative organisations; Providing economic integration and promotion of workers&rsquo; cooperatives in Poland and abroad; Functioning of mutual aid funds, including the Cooperative Development Fund and the Cooperative Credit Guarantee Fund; Awarding state, branch and regional prizes to workers&rsquo; cooperatives, cooperative organisations and their members for activities in the fields of self-government and economy; Promoting international cooperative principles and the Polish workers&rsquo; cooperatives traditions; Representing workers&rsquo; cooperatives circles in Poland and abroad. NAUWC represented 6,200 individual members in 2011.",http://www.zlsp.org.pl,,,cooperatives,,,ica_directory,206,,,,,,cooperative,ica_member,10,https://lod.coop/ica/206,,
911048,National Cooperative Council - NCC,PL,,,Warsaw,,,"NCC is the apex organization of the cooperatives of all sectors in Poland. It represents Polish cooperative movement in the country and abroad, initiates and gives its opinion on legislation concerning cooperatives, conducts training and educational activities, consultancy and advising, auditing, conducts cooperative development projects.",http://www.krs.org.pl,,,cooperatives,,,ica_directory,208,,,,,,cooperative,ica_member,10,https://lod.coop/ica/208,,
763773,"National Railway Section of NSZZ ""Solidarność""",PL,Poland,,Warsaw,,labor/national_union,Polish labor organization,http://www.skk.org.pl,,,democracy,,,wikidata_unions,Q9335024,1980,,,51.92,19.15,labor_union,,4,http://www.wikidata.org/entity/Q9335024,,
911047,National Supervision Union Of Spolem Consumer Co-operatives,PL,,,Warsaw,,,"KZRSS is a national federation of consumer co-peratives. The aim of the Association is to assist and facilitate the realization of their affiliated cooperatives statutory tasks and inspire cooperation cooperatives for their development and integration. The tasks of the Association include: Provide training and advisory services in the areas of legal, economic and financial, tax and accounting assistance in selecting the most effective organizational and economic forms and methods of co-operative management training activities and the publishing and promotion of cultural and educational activities representing the interests of cooperatives affiliated to bodies of state administration and local self-government bodies representing the affiliated cooperatives abroad and in international co-operative movement initiate and develop cooperation between cooperatives and cooperation with research institutions development of information and analysis for the affiliated cooperatives organizing audit accounts affiliated cooperatives on the basis of specific regulations providing assistance to affiliated cooperatives in social activities There are around 49,000 individual members in consumer co-operatives. This number is variable as a consumers cooperative is an organization open and anyone who meets the requirements of the Statute of the cooperative pays a buy-in and participation may be admitted as members.",https://kzrss.spolem.org.pl,,,cooperatives,,,ica_directory,207,,,,,,cooperative,ica_member,10,https://lod.coop/ica/207,,
764083,"Niezależny Samorządny Związek Zawodowy ""Solidarność""",PL,Poland,,,,labor/union_federation,"ITUC affiliate. NSZZ. 622,596 members.",,,,cooperatives,,,ituc_affiliates,wp:Solidarity_(Polish_trade_union),,,,51.92,19.15,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Solidarity_%28Polish_trade_union%29,,
763747,Ogólnopolski Związek Zawodowy Pielęgniarek i Położnych,PL,Poland,,Warsaw,,labor/national_union,,http://www.ozzpip.com.pl,,,democracy,,,wikidata_unions,Q11796875,1996,,,51.92,19.15,labor_union,,4,http://www.wikidata.org/entity/Q11796875,,
