id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
911294,ANIMAR - Associação Portuguesa para o Desenvolvimento Local,PT,,,,,,"Animar is the network synergies for local development, uniting development agents and organizations in the construction of a challenging strategy, which presents itself with its independent and bold proposals for strengthening local development as a structuring model for valuing territories, of people and all living beings.. founded: 1993. scope: regional. member of: RIPESS Europe",https://www.animar-dl.pt/,animar@animar-dl.pt,,cooperatives,,,ripess_family,socioeco:471:485,,,,38.707751,-9.136592,cooperative,"ripess_member, RIPESS Europe",3,https://www.socioeco.org/bdf_organisme-485_en.html,,
911330,Agência Piaget para o Desenvolvimento (APDES),PT,,,,,,founded: 2004. scope: local. member of: RIPESS Europe,https://apdes.pt/en/home-en/,info@apdes.pt,,cooperatives,,,ripess_family,socioeco:471:848,,,,41.149451,-8.610788,cooperative,"ripess_member, RIPESS Europe",3,https://www.socioeco.org/bdf_organisme-848_en.html,,
903881,Aldeia das Amoreiras Sustentável,PT,Portugal,Beja,Aldeia das Amoreiras,,,"The project Aldeia das Amoreiras Sustentável (sustainable village of Amoreiras) is an holistic local development project aimed at creating a sustainable village through the participation and empowerment of the local community. The strategy of the coordination group Centro de Convergencia (Convergence Centre, see www.centrodeconvergencia.org) was to make several meetings in the streets asking what is the dream village or what are the dreams that the people have for their village. The result was the concept of a sustainable village, the vision. See the movie in http://vimeo.com/16109018 We are now joining the people in groups to work around the dreams and make them reality. We are also making a Permaculture design to the whole village based on the dreams and a detailled questionary applied to all the 200 inhabitants. The Permaculture solutions and design will be appropriated by the local working groups and the ecological and integrated solutions will be implemented by the population. The Convergence Centre is acting as a animator, facilitator and organisator at the same time. We have also invited a group of external facilitators for all the group meetings. We have invited all possible organisations in the region to be partners. In the coordinating group there are 6 people with Permaculture Design Course and two people with the Transition Initiative Course. Our challenge is to integrate the landscape around the village and private property in the process of managing for the c...",http://centrodeconvergencia.wordpress.com,,,food,,,transition_network,918,,,,37.670634,-8.374436,collective,"Transition Group, Community Growing, Nature, Community hub or activities, Festivals, fairs or events, Art / creativity, Community visioning / imagination work, Building local networks, Local economy or new economy projects, Wellbeing or Inner Transition, Youth or education projects, Share, Repair or reuse, Other",5,https://maps.transitionnetwork.org/group/aldeia-das-amoreiras-sustentavel/,,
911143,"CASES - Cooperativa António Sérgio para a Economia Social, CIPRL",PT,,,Lisbon,,,"CASES is a common interest co-operative whose members are both the government of Portugal and social economy organisations (co-op confederations, mutuals and entities that represent families of social economy). CASES is not a federation, nor is it an apex -- but a co-operative of entities (public and non-profit private, and not of individual persons). It probably most resembles the structure of a shared-service co-operative. CASES promotes the strengthening of the social economy sector, deepening cooperation between the State and the organizations that integrate it, with a view to stimulating its potential at the service of the country's socio-economic development, as well as the pursuit of policies in the area of volunteering. It engages in research, training, encourages public-private partnerships, provides input on public regulation of co-operatives (legislation, tax, etc) and social economy, represents the social economy. It also has a supervisory role over co-operatives (a bit like a registrar in that it issues legal certification of co-ops and can recommend dissolution of co-ops). CASES has 6 members.",http://www.cases.pt,,,cooperatives,,,ica_directory,3396,,,,,,cooperative,ica_member,10,https://lod.coop/ica/3396,,
911098,"Confecoop - Confederação Cooperativa Portuguesa, CCRL",PT,,,Lisboa,,,"CONFECOOP is the Confederation for the co-operative movement in Portugal, not including the agricultural movement and Banking / Credit Unions. CONFECOOP represents 10 of the 12 cooperative sectors in Portugal. The CONFECOOP&acute;s members are national federation and cooperative organisations from all sectors of the economy, namely handicraft, consumer, culture, fisheries, health, housing, insurance, industry & services, social and solidarity sector. They represent 3 big Nacional Federations (FENACERCI , FENACHE and FENACOOP) and several important cooperatives from different sectors.",http://www.confe.coop,,,cooperatives,,,ica_directory,1635,,,,,,cooperative,ica_member,10,https://lod.coop/ica/1635,,
903125,"Cooperativa Integral da Terra, CRL",PT,Portugal,Aljezur,Rogil,,,"Cooperativa Integral da Terra is a multi-sector cooperative based in Aljezur, Portugal, creating a regenerative and resilient local economy. It integrates small producers, artisans, educators, and cultural initiatives through shared legal, administrative, and financial structures. Guided by transparency, cooperation, and community wellbeing, it enables members to develop independent projects in agriculture, craftsmanship, education, housing, and culture, promoting collective abundance and social regeneration.",https://cooperativadaterra.pt/,,,food,,,transition_network,14528,,,,37.3693701,-8.8005564,collective,"Transition Group, Community Growing, Other food projects, Nature, Community hub or activities, Festivals, fairs or events, Art / creativity, Community visioning / imagination work, Building local networks, Local economy or new economy projects, Wellbeing or Inner Transition, Social Justice / Just Transition activities, Youth or education projects, Share, Repair or reuse, Energy, Communications and dissemination",10,https://maps.transitionnetwork.org/group/cooperativa-integral-da-terra-crl/,,
764422,Cooperativa O Problema da Habitação,PT,Portugal,,Porto,,land_and_housing/housing_cooperative,housing cooperative in Portugal,,,,cooperatives,,,wikidata_land_trusts,Q133805851,,,,39.4,-8.22,cooperative,,10,http://www.wikidata.org/entity/Q133805851,,
911333,Cresaçor,PT,,,,,,scope: regional. member of: RIPESS Europe,https://www.cresacor.pt/,cresacor@cresacor.org,,cooperatives,,,ripess_family,socioeco:471:1196,,,,37.760434,-25.644677,cooperative,"ripess_member, RIPESS Europe",3,https://www.socioeco.org/bdf_organisme-1196_en.html,,
903513,Famalicão em Transição,PT,Portugal,Braga,Vila Nova de Famalicão,,,"We are a group of citizens from Vila Nova de Famalicão, a municipality north of Portugal, committed to contribute actively to make our community more sustainable and resilient. To do this, we progressively change our behaviors towards a more sustainable life, less consumerist, and in harmony with nature and the community. We are building awareness on this matters and new and positive stories between our community. Our principles and methodology are inspired by the Transition Network. We joined for the first time in the LIMPAR PORTUGAL initiative in 2010 (CLEAN PORTUGAL), and since then we have been promoting various activities and events. The initial transition group was assumed at the meeting on July 1, 2011, and, on August 25, 2016, we created an association, ""Associação Famalicão em Transição"". We hope to continue and to expand our activities for a more sustainable future. We have several working groups: Inner Transition, Education, Circular Economy, Enviromnment and Comunication. See what we aim and what we do in our blogue",https://famalicaomelhor.blogspot.com/,,,food,,,transition_network,2325,,,,41.4056558,-8.5181808,collective,"Transition Group, Other food projects, Nature, Community hub or activities, Community visioning / imagination work, Building local networks, Local economy or new economy projects, Wellbeing or Inner Transition, Social Justice / Just Transition activities, Youth or education projects, Energy, Transport, Communications and dissemination",2,https://maps.transitionnetwork.org/group/famalicao-em-transicao/,,
764726,Habitat for Humanity Portugal,PT,Portugal,,Lisbon,,land_and_housing/sweat_equity_program,Habitat for Humanity country or regional office. Sweat-equity homeownership program. See https://www.habitat.pt/.,https://www.habitat.pt/,,,housing_land,,,habitat_affiliates,PT:habitat-for-humanity-portugal,,,,39.4,-8.22,sweat_equity_program,"habitat_affiliate,sweat_equity",9,https://www.habitat.pt/,,
