id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
909489,Amali,PY,Paraguay,cordillera,Valenzuela,,,"status: Re-forming. type: Ecovillage (organized around ecology and sustainability.), Cohousing (individual homes within group owned property.), Shared Housing, Cohouseholding, or Coliving (multiple individuals sharing a dwelling.). open to membership: Yes",https://www.ic.org/directory/amali/,,,housing_land,,,ic_directory,548308,,,,,,cooperative,"Ecovillage (organized around ecology and sustainability.), Cohousing (individual homes within group owned property.), Shared Housing, Cohouseholding, or Coliving (multiple individuals sharing a dwelling.)",5,https://www.ic.org/directory/amali/,,
764076,Central Nacional de Trabajadores,PY,Paraguay,,,,labor/union_federation,"ITUC affiliate. CNT. 120,840 members.",,,,cooperatives,,,ituc_affiliates,wp:Central_Nacional_de_Trabajadores,,,,-23.44,-58.44,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Central_Nacional_de_Trabajadores,,
764077,Central Unitaria de Trabajadores Auténtica,PY,Paraguay,,,,labor/union_federation,"ITUC affiliate. CUT-A. 40,000 members.",,,,cooperatives,,,ituc_affiliates,wp:Central_Unitaria_de_Trabajadores_Auténtica,,,,-23.44,-58.44,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Central_Unitaria_de_Trabajadores_Aut%C3%A9ntica,,
910989,Confederación Paraguaya De Cooperativas CONPACOOP Ltda.,PY,,,Asunción,,,"La Confederaci&oacute;n Paraguaya de Cooperativas &ndash; CONPACOOP Ltda., constituida el 15 de octubre de 1991, es una cooperativa de tercer grado, principal &oacute;rgano de representaci&oacute;n y defensa gremial del movimiento cooperativo paraguayo. Sus entidades asociadas son las cooperativas de segundo grado, tanto Centrales como Federaciones. Acorde a sus funciones de car&aacute;cter gremial se constituye en centro de discusi&oacute;n y an&aacute;lisis de temas que afectan a todo el sector cooperativo del pa&iacute;s, en los aspectos legales, jur&iacute;dicos, tributarios, educativos.",http://www.conpacoop.coop.py,,,cooperatives,,,ica_directory,89,,,,,,cooperative,ica_member,6,https://lod.coop/ica/89,,
911204,Confederación de Cooperativas Rurales del Paraguay (CONCOPAR Ltda.),PY,,,Asunción,,,"CONCOPAR is a co-operative Union of the third degree, with non-profit character and does not distribute surplus among its members. It is intended, to exercise trade union representation, at the country level as well as internationally for the affiliated entities, strive for the observance of the co-operative principles doctrine. Encourage the creation and strengthening of new cooperatives and organizations of second degree, preferably in agricultural, forestry and rural environment.",https://www.concopar.coop.py/,,,cooperatives,,,ica_directory,25378,,,,,,cooperative,ica_member,9,https://lod.coop/ica/25378,,
911266,"Cooperativa Multiactiva de Ahorro, Crédito, Consumo, Producción y Servicios “8 de Marzo Limitada”",PY,,,Ciudad Lambaré,,,"8 de Marzo Limitada is capitalized primarily with the social contribution of its individual members. Its headquarters or head office is located in Lambare, adjacent to the capital Asunción, so its strategic location is part of the metropolitan area, where the economic and social operational mass of the whole country is largely concentrated. It currently has 23 branches with their own headquarters that underpin its growth and projection to the entire national territory. Its business strength allows it to provide its members with a wide range of quality financial and social services, practicing cooperative values.",,,,cooperatives,,,ica_directory,56303,,,,,,cooperative,ica_member,9,https://lod.coop/ica/56303,,
910990,Cooperativa Universitaria Ltda.,PY,,,Villa Morra,,,"La Cooperativa Universitaria es una cooperativa primaria fundada el 1973. La CU desarrolla actividades financieras y sociales, siendo l&iacute;der del sector cooperativo, cuenta con talento humano competente y servicios orientados a mejorar la calidad de vida de sus socios. Representa a m&aacute;s de 100 mil miembros individuales activos. Su Misi&oacute;n es conectarse con las personas, generando soluciones con servicios financieros adecuados y sustentables, a trav&eacute;s del cooperativismo, para beneficio de los socios y la comunidad.",http://www.cu.coop.py,,,cooperatives,,,ica_directory,90,,,,-25.29292,-57.57735,cooperative,ica_member,6,https://lod.coop/ica/90,,
911222,Federación de Cooperativas Multiactivas del Paraguay (FECOMULP LTDA.),PY,,,C/Picada Diarte,,,"La Federaci&oacute;n de Cooperativas Multiactivas del Paraguay &ndash; FECOMULP Ltda., es una federaci&oacute;n cuya membres&iacute;a integran 29 cooperativas de primer grado, cuyos fines principales son la defensa gremial y la educaci&oacute;n de sus cooperativas afiliadas.",http://www.fecomulp.coop.py/,,,cooperatives,,,ica_directory,36333,,,,,,cooperative,ica_member,3,https://lod.coop/ica/36333,,
911236,Federación de Cooperativas de Ahorro y Crédito Ltda. (FECOAC),PY,,,Choferes del Chaco,,,"FECOAC is a second-grade organization, founded with the aim of providing its member cooperatives education, advisory, technical assistance and union defense services. Also, among its objectives is to act as a link between its members and public and private organizations, as well as with international organizations linked to the solidarity sector. 76 member societies (cooperatives) 522,743 individual members",http://www.fecoac.coop.py/,,,cooperatives,,,ica_directory,41262,,,,,,cooperative,ica_member,7,https://lod.coop/ica/41262,,
911085,Federación de Cooperativas de Producción  (FECOPROD),PY,,,Asuncion,,,"FECOPROD is a second-tier union made up of 34 production cooperatives. Its&rsquo; obectives are proactive union defense, training and technical support of primary cooperatives, the member cooperatives carry out the production, transformation and commercialization in their bases, the FECOPROD carries out the technical and political procedures to facilitate these actions. Its main purpose is institutional strengthening, establishing mechanisms for the defense of the economic and social interests of its associates.",https://www.fecoprod.com.py/,,,cooperatives,,,ica_directory,1379,,,,,,cooperative,ica_member,6,https://lod.coop/ica/1379,,
911185,Federación de Cooperativas del Paraguay (FECOPAR LTDA.),PY,,,Mariscal Estigarribia,,,"La Federaci&oacute;n es una asociaci&oacute;n aut&oacute;noma y voluntaria de Cooperativas, que se unen sobre la base del esfuerzo propio y la ayuda mutua, para organizar una Sociedad Cooperativa de Segundo Grado, sin fines de lucro, con el prop&oacute;sito de satisfacer necesidades educativas, gremiales, luchar por la equidad de g&eacute;nero, la preservaci&oacute;n del medio ambiente y todo aquello que tienda al engrandecimiento y consolidaci&oacute;n del movimiento cooperativo paraguayo.",,,,cooperatives,,,ica_directory,19521,,,,-25.28981,-57.59734,cooperative,ica_member,9,https://lod.coop/ica/19521,,
764722,Habitat for Humanity Paraguay,PY,Paraguay,,Asuncion,,land_and_housing/sweat_equity_program,Habitat for Humanity country or regional office. Sweat-equity homeownership program. See https://habitatparaguay.org/.,https://habitatparaguay.org/,,,housing_land,,,habitat_affiliates,PY:habitat-for-humanity-paraguay,,,,-23.44,-58.44,sweat_equity_program,"habitat_affiliate,sweat_equity",9,https://habitatparaguay.org/,,
695066,New Australia Co-operative Settlement Association,PY,Paraguay,,,,,Australian utopian socialist settlement in Paraguay,,,,cooperatives,,,wikidata,Q139072,,,,-23.44,-58.44,cooperative,tier_b,6,,,
