id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
902435,Atelierul de design  RBQ,RO,Romania,,București,,,"Atelierul de Design harness Roma craftsmen products. With a network of suppliers as craftsmen and cooperatives across the country, the studio works with international designers to develop a line of contemporary products made by ancient techniques.. type: other. tags: roma craft;design;handicraft products. curated by: TERRAIII",http://pakivalobutiq.romanobutiq.ro/despre-noi/afaceri-sociale/atelierul-de-design/,office@romanobutiq.ro,+40 734800282,,,,susy_map,2e3064cab9be4448,,,,44.4745837,26.0093679,nonprofit,,3,https://github.com/TransforMap/transformap-viewer/raw/gh-pages/susydata-fallback.json,,
764086,Blocul National Sindical,RO,Romania,,,,labor/union_federation,"ITUC affiliate. BNS. 150,000 members.",,,,cooperatives,,,ituc_affiliates,wp:Blocul_National_Sindical,,,,45.94,24.97,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Blocul_National_Sindical,,
903735,Bucuresti in Tranzitie,RO,Romania,B,Bucharest,,,"Bucuresti in Transitie started in January 2012 (from the 1st national permaculture gathering that took place in the summer of 2011) through a introductory workshop in Transition. Since then we have organized different activities in which we engaged beautiful people that soon became an informal community of people interested in permaculture, transition, low impact living, alternative living and thinking. What we have done so far is: movies screenings for ""In Transition 1.0"" and In ""Transition 2.0"" public presentations of Transition Towns concepts organized events and activities dedicated to promotion of permaculture (we are proud to have organized in Bucharest an introductory workshop in Permaculture with Rod Everett and Mill Millichap in the fall of 2012), Community Supported Agriculture, etc. developed projects (that are in different stages of development) oriented towards susteinability and community, which are: creating a seed bank school gardening informat permaculture school/meeting groups urban/recicled art textile recycling (sowing learning project) cooking club We have started to develop specialized teams of people that are working on growing Transition Towns in Bucharest/Romania: communication team, events team, IT/web design-development team, projects team, documentation/translations team. We are in the process of creating a nice website and a NGO whil will serve as tools for the future national Transition Towns movement in Romania. We work in close cooperation w...",www.intranzitie.org,,,,,,transition_network,1192,,,,44.437711,26.097367,collective,Transition Group,6,https://maps.transitionnetwork.org/group/bucuresti-in-tranzitie/,,
911296,Centrul de Resurse pentru Inițiative Etice și Solidare (CRIES),RO,,,,,,The CRIES Association - Resource Center for Ethical and Solidarity Initiatives is a non-governmental organization that promotes citizens’ involvement in democratization processes and participatory decision-making. founded: 2009. scope: local. member of: RIPESS Europe,https://www.cries.ro/,office@cries.ro,,cooperatives,,,ripess_family,socioeco:471:841,,,,45.753835,21.225747,cooperative,"ripess_member, RIPESS Europe",6,https://www.socioeco.org/bdf_organisme-841_en.html,,
764088,Confederaţia Sindicatelor Democratice din România,RO,Romania,,,,labor/union_federation,"ITUC affiliate. CSDR. 101,000 members.",,,,cooperatives,,,ituc_affiliates,wp:Democratic_Trade_Union_Confederation_of_Romania,,,,45.94,24.97,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Democratic_Trade_Union_Confederation_of_Romania,,
764087,Confederația Națională Sindicală Cartel Alfa,RO,Romania,,,,labor/union_federation,"ITUC affiliate. Cartel ALFA. 1,050,000 members.",,,,cooperatives,,,ituc_affiliates,wp:National_Trade_Union_Confederation_(Romania),,,,45.94,24.97,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/National_Trade_Union_Confederation_%28Romania%29,,
764089,Confederația Națională a Sindicatelor Libere din România,RO,Romania,,,,labor/union_federation,"ITUC affiliate. CNSLR-FRATIA. 400,000 members.",,,,cooperatives,,,ituc_affiliates,wp:National_Confederation_of_Free_Trade_Unions_of_Romania_–_Brotherhood,,,,45.94,24.97,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/National_Confederation_of_Free_Trade_Unions_of_Romania_%E2%80%93_Brotherhood,,
764728,Habitat for Humanity Romania,RO,Romania,,Bucharest,,land_and_housing/sweat_equity_program,Habitat for Humanity country or regional office. Sweat-equity homeownership program. See https://www.habitat.ro/.,https://www.habitat.ro/,,,housing_land,,,habitat_affiliates,RO:habitat-for-humanity-romania,,,,45.94,24.97,sweat_equity_program,"habitat_affiliate,sweat_equity",9,https://www.habitat.ro/,,
910083,MudMuse Community,RO,Romania,Hunedoara,Balsa,,,"status: Forming. type: Commune (organized around sharing almost everything.), Ecovillage (organized around ecology and sustainability.), Cohousing (individual homes within group owned property.), Shared Housing, Cohouseholding, or Coliving (multiple individuals sharing a dwelling.), Spiritual or Religious Community. open to membership: Yes",https://www.ic.org/directory/mudmuse-community/,,,recreation_arts,,,ic_directory,544214,,,,,,cooperative,"Commune (organized around sharing almost everything.), Ecovillage (organized around ecology and sustainability.), Cohousing (individual homes within group owned property.), Shared Housing, Cohouseholding, or Coliving (multiple individuals sharing a dwelling.), Spiritual or Religious Community",6,https://www.ic.org/directory/mudmuse-community/,,
911049,National Union of Consumer Co-operatives (CENTROCOOP),RO,,,Bucharest,,,In charge of representing consumer co-operatives at the national level,http://www.centrocoop.com,,,cooperatives,,,ica_directory,211,,,,,,cooperative,ica_member,6,https://lod.coop/ica/211,,
