id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
718920,African Center for Excellence in Energy for Sustainable Development (ACE-ESD),RW,Rwanda,,,,,research institute in Rwanda,https://aceesd.ur.ac.rw/,,,energy_digital,,,wikidata,Q118187829,,,,-1.94,29.87,nonprofit,tier_b,3,,,
718905,African Centre of Excellence for Sustainable Cooling and Cold chain (ACES),RW,Rwanda,,,,,research institute in Rwanda,,,,democracy,,,wikidata,Q118287832,,,,-1.94,29.87,nonprofit,tier_b,3,,,
718899,Association for Co-Operation and Research in Development,RW,Rwanda,,,,,research institute in Rwanda,https://acordrwanda.org/,,,cooperatives,,,wikidata,Q118287907,,,,-1.94,29.87,nonprofit,tier_b,3,,,
763316,Association for the Development of Nyabimata,RW,Rwanda,,,,,local and rural NGO in Rwanda,,,,democracy,,,wikidata,Q136108461,,,,-1.94,29.87,nonprofit,,3,,,
718904,Center of Excellence in Biodiversity and Natural Resource Management (CoEB),RW,Rwanda,,,,,research institute in Rwanda,,,,ecology,,,wikidata,Q118287933,,,,-1.94,29.87,nonprofit,tier_b,3,,,
764092,Centrale des Syndicats des Travailleurs du Rwanda,RW,Rwanda,,,,labor/union_federation,"ITUC affiliate. CESTRAR. 72,000 members.",,,,cooperatives,,,ituc_affiliates,wp:Centrale_des_Syndicats_des_Travailleurs_du_Rwanda,,,,-1.94,29.87,labor_union,"labor_union,ituc_affiliate",2,https://en.wikipedia.org/wiki/Centrale_des_Syndicats_des_Travailleurs_du_Rwanda,,
718903,Cleaner Production and Climate Innovation Centre,RW,Rwanda,,,,,research institute in Rwanda,https://cpcic.rw/,,,ecology,,,wikidata,Q118290966,,,,-1.94,29.87,nonprofit,tier_b,3,,,
764181,Confédération des Travailleurs du Secteur Privé,RW,Rwanda,,,,labor/union_federation,ITUC affiliate. CTSP.,,,,cooperatives,,,ituc_affiliates,wp:Confédération_des_Travailleurs_du_Secteur_Privé,,,,-1.94,29.87,labor_union,"labor_union,ituc_affiliate",2,https://en.wikipedia.org/wiki/Conf%C3%A9d%C3%A9ration_des_Travailleurs_du_Secteur_Priv%C3%A9,,
764093,Congrès du Travail et de la Fraternité au Rwanda,RW,Rwanda,,,,labor/union_federation,"ITUC affiliate. COTRAF. 20,000 members.",,,,cooperatives,,,ituc_affiliates,wp:Congrès_du_Travail_et_de_la_Fraternité_au_Rwanda,,,,-1.94,29.87,labor_union,"labor_union,ituc_affiliate",2,https://en.wikipedia.org/wiki/Congr%C3%A8s_du_Travail_et_de_la_Fraternit%C3%A9_au_Rwanda,,
719226,National Library of Rwanda,RW,Rwanda,,,,,"Rwanda National Library Services is an unit under Rwanda Cultural Heritage Academy, Located at Kacyiru, Kigali, Rwanda",,,,recreation_arts,,,wikidata,Q6974170,,,,-1.94,29.87,nonprofit,tier_b,3,,,
718923,National Union of Disability Organizations in Rwanda,RW,Rwanda,,,,,,https://www.nudor.org/,,,democracy,,,wikidata,Q128796720,,,,-1.94,29.87,nonprofit,tier_c,3,,,
718909,Nature Rwanda,RW,Rwanda,,,,,conservation organization in Rwanda,https://www.naturerwanda.org/,,,ecology,,,wikidata,Q133894752,,,,-1.94,29.87,nonprofit,tier_b,3,,,
719007,Nyungwe Forest,RW,Rwanda,,,,,Nyungwe Forest Park is a national park that located in southwest part of Rwanda,,,,ecology,,,wikidata,Q1356828,,,,-1.94,29.87,nonprofit,tier_b,3,,,
763315,OAZIS Health,RW,Rwanda,,,,,"nonprofit organization in Kigali, Rwanda",https://www.oazis.rw,,,healthcare,,,wikidata,Q136352046,,,,-1.94,29.87,nonprofit,,2,,,
763314,Oli Health Magazine Organization,RW,Rwanda,,,,,"nonprofit organization in Kigali, Rwanda",https://www.olihealthmagazine.org,,,healthcare,,,wikidata,Q135095440,,,,-1.94,29.87,nonprofit,,2,,,
719233,Rukura Health Centre,RW,Rwanda,,,,,health centre in Gakenke district,,,,healthcare,,,wikidata,Q130537569,,,,-1.94,29.87,nonprofit,tier_b,3,,,
718898,Rwanda Wildlife Conservation Association,RW,Rwanda,,,,,"organization in Kigali, Rwanda",https://www.rwandawildlife.org/,,,ecology,,,wikidata,Q97041291,,,,-1.94,29.87,nonprofit,tier_b,3,,,
718888,Rwanda Zambia HIV Research Group,RW,Rwanda,,,,,"nonprofit organization in Kigali, Rwanda",http://www.rzhrg.org/,,,healthcare,,,wikidata,Q30270357,,,,-1.94,29.87,nonprofit,tier_b,3,,,
763304,Rwandan Association for Women in Science and Engineering,RW,Rwanda,,,,,,https://www.rawise.org.rw/,,,democracy,,,wikidata,Q125694931,,,,-1.94,29.87,nonprofit,,2,,,
718882,Rwandan Red Cross,RW,Rwanda,,,,,organization,,,,democracy,,,wikidata,Q3698045,,,,-1.94,29.87,nonprofit,tier_b,3,,,
718959,University of Global Health Equity,RW,Rwanda,,,,,university in Rwanda,http://ughe.org/,,,healthcare,,,wikidata,Q28035081,,,,-1.94,29.87,nonprofit,tier_b,3,,,
718950,University of Rwanda School of Public Health,RW,Rwanda,,,,,academic department,,,,education,,,wikidata,Q100947820,,,,-1.94,29.87,nonprofit,tier_b,3,,,
