id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
709020,Almut Kelber's Lab,SE,Sweden,,,,,"bioscience laboratory in sensory ecology, neuroethology, vision",https://airtable.com/appNvbXF7w0cbda3R/tblUFSHBSN0CtnAVB/viwxco2boh04F4Nie/recIzLRREPqwD4j2J?blocks=hide,,,ecology,,,wikidata,Q113627747,,,,60.13,18.64,nonprofit,tier_b,3,,,
763792,Architects Sweden,SE,Sweden,,Storgatan,,labor/national_union,professional organization in Sweden,https://www.arkitekt.se,,,democracy,,,wikidata_unions,Q10685861,2002,,,60.13,18.64,labor_union,,2,http://www.wikidata.org/entity/Q10685861,,
714524,Bohuslän Local History Association,SE,Sweden,,,,,Local heritage organisation in Sweden,https://www.hembygd.se/bohuslan,,,recreation_arts,,,wikidata,Q10432131,,,,60.13,18.64,nonprofit,tier_b,3,,,
708851,Bygdeå local heritage association,SE,Sweden,,,,,"local history and cultural heritage association in Bygdeå, Sweden",https://www.hembygd.se/bygdea,,,recreation_arts,,,wikidata,Q10438162,,,,60.13,18.64,nonprofit,tier_b,3,,,
708850,Bäckebo socken local heritage association,SE,Sweden,,,,,"local history and cultural heritage association in Bäckebo socken, Sweden",http://www.backebo.nu/hembygd/,,,recreation_arts,,,wikidata,Q10438398,,,,60.13,18.64,nonprofit,tier_b,3,,,
763545,Central Organisation of the Workers of Sweden,SE,Sweden,,Stockholm,,labor/national_union,Swedish trade union,http://www.sac.se/,,,democracy,,,wikidata_unions,Q1782523,1910,,,60.13,18.64,labor_union,,2,http://www.wikidata.org/entity/Q1782523,,
709009,"Department of Physical Geography, Stockholms University",SE,Sweden,,,,,heritage institution,https://www.natgeo.su.se/,,,education,,,wikidata,Q18290964,,,,60.13,18.64,nonprofit,tier_b,3,,,
762535,Food First Information and Action Network,SE,Sweden,,,,,organization,http://www.fian.org,,,food,,,wikidata,Q323692,,,,60.13,18.64,nonprofit,,2,,,
708986,Forest Institute,SE,Sweden,,,,,,,,,ecology,,,wikidata,Q10670359,,,,60.13,18.64,nonprofit,tier_c,3,,,
708523,Forest and Farm Workers Union of Sweden,SE,Sweden,,,,,trade union in Sweden,,,,food,,,wikidata,Q5469136,,,,60.13,18.64,nonprofit,tier_b,3,,,
709010,Forestry Research Institute of Sweden,SE,Sweden,,,,,,http://www.skogforsk.se/en/,,,ecology,,,wikidata,Q18355850,,,,60.13,18.64,nonprofit,tier_c,3,,,
708971,Fredriksdal Museums and Gardens,SE,Sweden,,,,,"building in Helsingborg, Skåne County, Sweden",https://fredriksdal.se,,,recreation_arts,,,wikidata,Q10498762,,,,60.13,18.64,nonprofit,tier_b,3,,,
764300,HSB,SE,Sweden,,Stockholm,,land_and_housing/housing_cooperative,cooperative association for housing in Sweden,https://www.hsb.se/,,,cooperatives,,,wikidata_land_trusts,Q5635891,1924,,,60.13,18.64,cooperative,,6,http://www.wikidata.org/entity/Q5635891,,
764512,Hotel Falsterbohus,SE,Sweden,,,,land_and_housing/housing_cooperative,"former luxury hotel, the building in the 1970s bought by a housing cooperative",,,,cooperatives,,,wikidata_land_trusts,Q133307905,1908,,,60.13,18.64,cooperative,,6,http://www.wikidata.org/entity/Q133307905,,
762551,International Fellowship of Reconciliation,SE,Sweden,,,,,international peace movement with Christian roots,https://www.ifor.org/,,,conflict,,,wikidata,Q1577256,,,,60.13,18.64,nonprofit,,2,,,
709031,International Network for the History of Public Health,SE,Sweden,,,,,organisation involved in scholarly research,,,,healthcare,,,wikidata,Q74526720,,,,60.13,18.64,nonprofit,tier_b,3,,,
