id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
763147,African Assembly for the Defense of Human Rights,SN,Senegal,,,,,,https://www.raddho-africa.org/,,,democracy,,,wikidata,Q3425135,,,,14.5,-14.45,nonprofit,,2,,,
763183,Association Jeunesse Education et Loisirs de Rufisque,SN,Senegal,,,,,,,,,education,,,wikidata,Q130479486,,,,14.5,-14.45,nonprofit,,2,,,
719632,"Association Sénégalaise des Bibliothécaires, Archivistes et Documentalistes",SN,Senegal,,,,,association,,,,healthcare,,,wikidata,Q47462873,,,,14.5,-14.45,nonprofit,tier_b,3,,,
764103,Confédération Nationale des Travailleurs du Sénégal,SN,Senegal,,,,labor/union_federation,"ITUC affiliate. CNTS. 70,000 members.",,,,cooperatives,,,ituc_affiliates,wp:Confédération_Nationale_des_Travailleurs_du_Sénégal,,,,14.5,-14.45,labor_union,"labor_union,ituc_affiliate",2,https://en.wikipedia.org/wiki/Conf%C3%A9d%C3%A9ration_Nationale_des_Travailleurs_du_S%C3%A9n%C3%A9gal,,
764102,Confédération Nationale des Travailleurs du Sénégal – Forces du Changement,SN,Senegal,,,,labor/union_federation,"ITUC affiliate. CNTS-FC. 14,000 members.",,,,cooperatives,,,ituc_affiliates,wp:Confédération_Nationale_des_Travailleurs_du_Sénégal_-_Forces_du_Changement,,,,14.5,-14.45,labor_union,"labor_union,ituc_affiliate",2,https://en.wikipedia.org/wiki/Conf%C3%A9d%C3%A9ration_Nationale_des_Travailleurs_du_S%C3%A9n%C3%A9gal_-_Forces_du_Changement,,
764101,Confédération des Syndicats Autonomes du Sénégal,SN,Senegal,,,,labor/union_federation,"ITUC affiliate. CSA. 40,000 members.",,,,cooperatives,,,ituc_affiliates,wp:Confédération_des_Syndicats_Autonomes_du_Sénégal,,,,14.5,-14.45,labor_union,"labor_union,ituc_affiliate",2,https://en.wikipedia.org/wiki/Conf%C3%A9d%C3%A9ration_des_Syndicats_Autonomes_du_S%C3%A9n%C3%A9gal,,
763188,Council for the Development of Social Science Research in Africa,SN,Senegal,,,,,research institute,https://codesria.org/?lang=en,,,democracy,,,wikidata,Q2044761,,,,14.5,-14.45,nonprofit,,2,,,
763170,Environment and Development Action Third World,SN,Senegal,,,,,"nonprofit organization in Dakar, Senegal",http://endatiersmonde.org/instit/,,,ecology,,,wikidata,Q30256340,,,,14.5,-14.45,nonprofit,,2,,,
763169,Global Research and Advocacy Group,SN,Senegal,,,,,"nonprofit organization in Dakar, Senegal",http://globalresearchandadvocacygroup.org/,,,democracy,,,wikidata,Q77084460,,,,14.5,-14.45,nonprofit,,2,,,
719782,Gorée,SN,Senegal,,,,,"one of the 19 communes d'arrondissement (i.e. districts) of the city of Dakar, Senegal; World Heritage Site",https://www.iledegoree.org/,,,recreation_arts,,,wikidata,Q244347,,,,14.5,-14.45,nonprofit,tier_b,3,,,
763182,Initiative for the Development of Africa,SN,Senegal,,,,,nonprofit organization,https://www.idainternational.org/,,,democracy,,,wikidata,Q110723769,,,,14.5,-14.45,nonprofit,,2,,,
763181,"Institute of Health Research, Epidemiological Surveillance and Training",SN,Senegal,,,,,"nonprofit organization in Dakar, Senegal",https://iressef.org/en/,,,healthcare,,,wikidata,Q61932969,,,,14.5,-14.45,nonprofit,,2,,,
763185,National Alliance of Communities for Health (ANCS),SN,Senegal,,,,,A non governmental organization,https://www.nationalalliancehealth.org/,,,healthcare,,,wikidata,Q135338845,,,,14.5,-14.45,nonprofit,,2,,,
720049,National Archives of Senegal,SN,Senegal,,,,,national archives of Senegal,,,,healthcare,,,wikidata,Q2860558,,,,14.5,-14.45,nonprofit,tier_b,3,,,
720002,National Library of Senegal,SN,Senegal,,,,,"national library, part of the National Archives of Senegal",,,,healthcare,,,wikidata,Q15116339,,,,14.5,-14.45,nonprofit,tier_b,3,,,
763186,National Youth Alliance for Health and Development,SN,Senegal,,,,,non-governmental organization,https://anjsd.org/,,,healthcare,,,wikidata,Q139414630,,,,14.5,-14.45,nonprofit,,4,,,
719771,Niokolo-Koba National Park,SN,Senegal,,,,,national park of Senegal and UNESCO World Heritage Site,,,,recreation_arts,,,wikidata,Q679891,,,,14.5,-14.45,nonprofit,tier_b,3,,,
763180,PROMETRA International,SN,Senegal,,,,,"nonprofit organization in Dakar, Senegal",http://prometra.org/#,,,democracy,,,wikidata,Q61933304,,,,14.5,-14.45,nonprofit,,2,,,
763148,Pasteur Network,SN,Senegal,,,,,global alliance of health and research organizations,https://pasteur-network.org/,,,healthcare,,,wikidata,Q3456837,,,,14.5,-14.45,nonprofit,,3,,,
763187,Réseau siggil jigeen,SN,Senegal,,,,,Senegalese network of women's organization,,,,democracy,,,wikidata,Q136359322,,,,14.5,-14.45,nonprofit,,2,,,
