id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
764124,"Algemeen Verbond van Vakverenigingen in Suriname ""De Moederbond""",SR,Surinam,,,,labor/union_federation,"ITUC affiliate. MOEDERBOND. 6,000 members.",,,,cooperatives,,,ituc_affiliates,"wp:Algemeen_Verbond_van_Vakverenigingen_in_Suriname_""De_Moederbond""",,,,3.92,-56.03,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Algemeen_Verbond_van_Vakverenigingen_in_Suriname_%22De_Moederbond%22,,
689340,International connections between Surinamese cooperatives and global networks,SR,Suriname,,,,,"If you're researching this topic, I'd recommend searching for information from Surinamese government economic development agencies, regional cooperative networks in the Caribbean or South America, or ",,,,cooperatives,,,web_research,,,,,3.92,-56.03,cooperative,tier_b,9,,,
764125,Organisatie van Samenwerkende Autonome Vakbonden,SR,Surinam,,,,labor/union_federation,"ITUC affiliate. OSAV. 5,000 members.",,,,cooperatives,,,ituc_affiliates,wp:Organisatie_van_Samenwerkende_Autonome_Vakbonden,,,,3.92,-56.03,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Organisatie_van_Samenwerkende_Autonome_Vakbonden,,
689334,SR/suriname,SR,Suriname,,,,,"I don't have specific information about a Suriname cooperative federation, worker-owned cooperatives, or solidarity economy initiatives in Suriname from the provided search results. The search results",,,,cooperatives,,,web_research,,,,,3.92,-56.03,nonprofit,tier_b,10,,,
689341,Solidarity Economy,SR,Suriname,,,,,,,,,cooperatives,,,web_research,,,,,3.92,-56.03,nonprofit,tier_b,3,,,
689339,Solidarity economy projects or policies in Suriname,SR,Suriname,,,,,,,,,cooperatives,,,web_research,,,,,3.92,-56.03,nonprofit,tier_b,3,,,
695492,Suriname Built Heritage Foundation,SR,Suriname,,,,,,,,,recreation_arts,,,wikidata,Q130757813,,,,3.92,-56.03,foundation,tier_c,2,,,
689335,"Suriname cooperative federation, worker",SR,Suriname,,,,,"To provide you with accurate information about Suriname's cooperative federation and worker-owned solidarity economy initiatives, I would need search results that specifically address:",,,,cooperatives,,,web_research,,,,,3.92,-56.03,cooperative,tier_b,10,,,
689336,Suriname's cooperative federation and worker,SR,Suriname,,,,,,,,,cooperatives,,,web_research,,,,,3.92,-56.03,cooperative,tier_b,6,,,
689337,Suriname's national cooperative federation or governing bodies,SR,Suriname,,,,,,,,,cooperatives,,,web_research,,,,,3.92,-56.03,cooperative,tier_b,6,,,
