id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
714883,Amnesty International Thailand,TH,Thailand,,,,,non-governmental organisation,http://www.amnesty.or.th,,,democracy,,,wikidata,Q26208988,,,,15.87,100.99,nonprofit,tier_b,3,,,
714831,Asian Forum for Human Rights and Development,TH,Thailand,,,,,organization,https://www.forum-asia.org/,,,democracy,,,wikidata,Q4806639,,,,15.87,100.99,nonprofit,tier_b,3,,,
714822,Asian Human Rights Commission,TH,Thailand,,,,,advocacy organization for human rights in Asia,http://www.humanrights.asia/,,,democracy,,,wikidata,Q451867,,,,15.87,100.99,nonprofit,tier_b,3,,,
714848,Baan Gerda,TH,Thailand,,,,,non-profit organization that looks after AIDS orphans in Thailand,http://www.baangerda.org/,,,healthcare,,,wikidata,Q4837156,,,,15.87,100.99,nonprofit,tier_b,3,,,
715600,Bangkok City Library,TH,Thailand,,,,,"Public library in Bangkok, Thailand",https://bangkoklibrary.go.th/bangkokcitylib,,,education,,,wikidata,Q55604822,,,,15.87,100.99,nonprofit,tier_b,3,,,
715678,Bangkok open data,TH,Thailand,,,,,,https://tvirot.github.io/bkkviz/,,,energy_digital,,,wikidata,Q97317670,,,,15.87,100.99,nonprofit,tier_c,3,,,
715603,Buddhist Manuscript Library and Museum,TH,Thailand,,,,,"Library and museum in Chiang Mai, Thailand",,,,education,,,wikidata,Q20446820,,,,15.87,100.99,nonprofit,tier_b,3,,,
715674,Chaloem Phra Kiat library,TH,Thailand,,,,,"library in Surat Thani city, Thailand",,,,education,,,wikidata,Q72835951,,,,15.87,100.99,nonprofit,tier_b,3,,,
715593,Chiang Rai Train Library,TH,Thailand,,,,,"Library, housed in a train in Chiang Rai, Thailand",,,,education,,,wikidata,Q21014604,,,,15.87,100.99,nonprofit,tier_b,3,,,
715703,Chula UltimateX Library,TH,Thailand,,,,,Branch of Chulalongkorn University's Central Library,,,,education,,,wikidata,Q124484874,,,,15.87,100.99,nonprofit,tier_b,3,,,
715116,Chulalongkorn University Department of Obstetrics and Gynecology,TH,Thailand,,,,,academic department,,,,education,,,wikidata,Q100979665,,,,15.87,100.99,nonprofit,tier_b,3,,,
715031,College of Public Health Sciences Chulalongkorn University,TH,Thailand,,,,,College of Public Health Sciences of Chulalongkorn University,,,,education,,,wikidata,Q13021136,,,,15.87,100.99,nonprofit,tier_b,3,,,
715099,Department of Mental Health,TH,Thailand,,,,,organisation involved in scholarly research,,,,healthcare,,,wikidata,Q74529046,,,,15.87,100.99,nonprofit,tier_b,3,,,
715151,Green Farm,TH,Thailand,,,,,"Botanical garden on Ko Lanta, Thailand",,,,food,,,wikidata,Q55424230,,,,15.87,100.99,nonprofit,tier_b,3,,,
714862,Greenpeace Southeast Asia,TH,Thailand,,,,,"regional Greenpeace organisation for Thailand, the Philippines, Malaysia and Indonesia",https://www.greenpeace.org/malaysia/,,,conflict,,,wikidata,Q17003845,,,,15.87,100.99,nonprofit,tier_b,3,,,
764733,Habitat for Humanity Thailand,TH,Thailand,,Bangkok,,land_and_housing/sweat_equity_program,Habitat for Humanity country or regional office. Sweat-equity homeownership program. See https://www.habitatthailand.org/.,https://www.habitatthailand.org/,,,housing_land,,,habitat_affiliates,TH:habitat-for-humanity-thailand,,,,15.87,100.99,sweat_equity_program,"habitat_affiliate,sweat_equity",3,https://www.habitatthailand.org/,,
715691,King Chulalongkorn Digital Archives,TH,Thailand,,,,,The exhibition and digital archives focus on dedication to His Majesty King Chulalongkorn’s and His Majesty King Vajiravudh’s royal benevolences to the Chulalongkorn University and the series of royal duties in development projects in Thailand.,http://kingchulalongkorn.car.chula.ac.th/,,,healthcare,,,wikidata,Q116872537,,,,15.87,100.99,nonprofit,tier_b,3,,,
714824,King Chulalongkorn Memorial Hospital,TH,Thailand,,,,,"The Thai Red Cross Society teaching hospital in Bangkok, Thailand.",http://www.chulalongkornhospital.go.th/,,,healthcare,,,wikidata,Q1588587,,,,15.87,100.99,nonprofit,tier_b,3,,,
764134,Labour Congress of Thailand,TH,Thailand,,,,labor/union_federation,"ITUC affiliate. LCT. 25,000 members.",,,,cooperatives,,,ituc_affiliates,wp:Labour_Congress_of_Thailand,,,,15.87,100.99,labor_union,"labor_union,ituc_affiliate",2,https://en.wikipedia.org/wiki/Labour_Congress_of_Thailand,,
714945,Love Wildlife Foundation,TH,Thailand,,,,,"nonprofit organization in Bangkok, Thailand",http://lovewildlife.org,,,ecology,,,wikidata,Q132803557,,,,15.87,100.99,nonprofit,tier_b,3,,,
715127,Mahidol University Department of Obstetrics and Gynecology,TH,Thailand,,,,,academic department,,,,education,,,wikidata,Q100979696,,,,15.87,100.99,nonprofit,tier_b,3,,,
715660,McKean Senior Center,TH,Thailand,,,,,hospital in Thailand,,,,healthcare,,,wikidata,Q113648568,,,,15.87,100.99,nonprofit,tier_b,3,,,
764135,National Congress Private Industrial of Employees,TH,Thailand,,,,labor/union_federation,"ITUC affiliate. NCPE. 150,000 members.",,,,cooperatives,,,ituc_affiliates,wp:National_Congress_Private_Industrial_of_Employees,,,,15.87,100.99,labor_union,"labor_union,ituc_affiliate",2,https://en.wikipedia.org/wiki/National_Congress_Private_Industrial_of_Employees,,
714838,National Human Rights Commission,TH,Thailand,,,,,human rights commission in Thailand,,,,democracy,,,wikidata,Q4381784,,,,15.87,100.99,nonprofit,tier_b,3,,,
715503,National Library Lat Krabang Chaloem Phrakiat,TH,Thailand,,,,,"library in Lat Krabang, Thailand",,,,education,,,wikidata,Q13023425,,,,15.87,100.99,nonprofit,tier_b,3,,,
715529,National Library of Thailand,TH,Thailand,,,,,National library,https://www.nlt.go.th/,,,education,,,wikidata,Q618628,,,,15.87,100.99,nonprofit,tier_b,3,,,
714828,National Museums of Thailand,TH,Thailand,,,,,group of museums in Thailand,,,,recreation_arts,,,wikidata,Q660549,,,,15.87,100.99,nonprofit,tier_b,3,,,
