id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
689407,Acik Gida (Open Food Network Turkey),TR,Turkey,,,,,In development; open food network instance for Turkey supporting local food sovereignty and producer-consumer connections.,https://www.acikgida.com/,,,food,,,manual_curation,OFN_TR,,,,38.96,35.24,cooperative,tier_a,5,,,
763077,Aeronautic Association of Turkey,TR,Turkey,,,,,sports governing body in Turkey,https://www.thsf.org.tr/,,,recreation_arts,,,wikidata,Q118928444,,,,38.96,35.24,nonprofit,,2,,,
762396,Ahbap Foundation,TR,Turkey,,,,,Turkish social movement,https://www.ahbap.org/,,,democracy,,,wikidata,Q85967603,,,,38.96,35.24,nonprofit,,2,,,
762393,Alliance of International Doctors,TR,Turkey,,,,,organization,http://www.aidoctors.org,,,democracy,,,wikidata,Q20717072,,,,38.96,35.24,nonprofit,,2,,,
763073,Anatolian University Libraries Consortium Association,TR,Turkey,,,,,library consortium,https://ankos.org.tr,,,education,,,wikidata,Q56100999,,,,38.96,35.24,nonprofit,,2,,,
763075,Association of Financial Institutions (Turkey),TR,Turkey,,,,,,https://www.fkb.org.tr/home-page/,,,democracy,,,wikidata,Q28132068,,,,38.96,35.24,nonprofit,,2,,,
763085,Bilkent Laboratory and International School,TR,Turkey,,,,,"school in Ankara, Turkey",http://blisankara.org,,,education,,,wikidata,Q4907815,,,,38.96,35.24,nonprofit,,2,,,
763064,Confederation of  Civil Servants Trade Union of Turkey,TR,Turkey,,,,,confederation of some trade unions in Turkey,http://www.kamusen.org.tr/index.php,,,democracy,,,wikidata,Q6090029,,,,38.96,35.24,nonprofit,,2,,,
763061,Confederation of Progressive Trade Unions of Turkey,TR,Turkey,,,,,organization,http://www.disk.org.tr,,,democracy,,,wikidata,Q1164646,,,,38.96,35.24,nonprofit,,2,,,
763582,Confederation of Progressive Trade Unions of Turkey,TR,Turkey,,Istanbul,,labor/national_union,organization,http://www.disk.org.tr,,,democracy,,,wikidata_unions,Q1164646,1967,,,38.96,35.24,labor_union,,2,http://www.wikidata.org/entity/Q1164646,,
763070,Confederation of Public Servants Trade Unions,TR,Turkey,,,,,organization,http://www.memursen.org.tr/,,,democracy,,,wikidata,Q6035542,,,,38.96,35.24,nonprofit,,2,,,
763063,Confederation of Public Workers' Unions,TR,Turkey,,,,,confederation of some trade unions in Turkey,http://www.kesk.org.tr,,,democracy,,,wikidata,Q2913281,,,,38.96,35.24,nonprofit,,3,,,
763535,Confederation of Public Workers' Unions,TR,Turkey,,Ankara,,labor/national_union,confederation of some trade unions in Turkey,http://www.kesk.org.tr,,,democracy,,,wikidata_unions,Q2913281,1995,,,38.96,35.24,labor_union,,2,http://www.wikidata.org/entity/Q2913281,,
763065,Confederation of Turkish Real Trade Unions,TR,Turkey,,,,,national trade union center in Turkey,http://www.hakis.org.tr,,,democracy,,,wikidata,Q2992689,,,,38.96,35.24,nonprofit,,2,,,
763066,Confederation of Turkish Trade Unions,TR,Turkey,,,,,national trade union center in Turkey,http://www.turkis.org.tr,,,democracy,,,wikidata,Q2992680,,,,38.96,35.24,nonprofit,,2,,,
763557,Confederation of Turkish Trade Unions,TR,Turkey,,Ankara,,labor/national_union,national trade union center in Turkey,http://www.turkis.org.tr,,,democracy,,,wikidata_unions,Q2992680,1952,,,38.96,35.24,labor_union,,2,http://www.wikidata.org/entity/Q2992680,,
762397,Darüşşafaka,TR,Turkey,,,,,Turkish philanthropic and educational association,https://www.darussafaka.org,,,education,,,wikidata,Q2676582,,,,38.96,35.24,nonprofit,,2,,,
764145,Devrimci Isçi Sendikalari Konfederasyonu,TR,Turkey,,,,labor/union_federation,"ITUC affiliate. DISK. 30,000 members.",,,,cooperatives,,,ituc_affiliates,wp:Devrimci_Isçi_Sendikalari_Konfederasyonu,,,,38.96,35.24,labor_union,"labor_union,ituc_affiliate",2,https://en.wikipedia.org/wiki/Devrimci_Is%C3%A7i_Sendikalari_Konfederasyonu,,
762399,Dr. Behçet Uz Children's Hospital,TR,Turkey,,,,,"healthcare organization in Izmir, Turkey",http://behcetuzch.saglik.gov.tr/,,,healthcare,,,wikidata,Q30279892,,,,38.96,35.24,nonprofit,,2,,,
762104,Elazig Education and Research Hospital,TR,Turkey,,,,,"healthcare organization in Elâzığ, Turkey",http://elazigeah.saglik.gov.tr/,,,healthcare,,,wikidata,Q30280042,,,,38.96,35.24,nonprofit,,2,,,
763088,Etlik Zübeyde Hanım Kadın Hastalıkları Eğitim ve Araştırma Hastanesi,TR,Turkey,,,,,"healthcare organization in Ankara, Turkey",http://www.ezh.gov.tr/,,,healthcare,,,wikidata,Q30280127,,,,38.96,35.24,nonprofit,,2,,,
762103,"Foundation for the Education, Health, Social Cooperation and Solidarity of the People of GÌ_lhane",TR,Turkey,,,,,learned society,,,,education,,,wikidata,Q73507242,,,,38.96,35.24,nonprofit,,5,,,
763087,Freedom Research Association,TR,Turkey,,,,,Turkish think-tank,,,,democracy,,,wikidata,Q20988354,,,,38.96,35.24,nonprofit,,2,,,
762400,Gaziantep Children's Hospital,TR,Turkey,,,,,"healthcare organization in Gaziantep, Turkey",http://www.cengizgokcekkdch.gov.tr/,,,healthcare,,,wikidata,Q30280430,,,,38.96,35.24,nonprofit,,2,,,
762388,Human Rights Association,TR,Turkey,,,,,,http://www.ihd.org.tr/,,,democracy,,,wikidata,Q343974,,,,38.96,35.24,nonprofit,,3,,,
762395,Human Values and Mental Health Foundation,TR,Turkey,,,,,Foundation established in Turkey,http://www.ider.org.tr,,,healthcare,,,wikidata,Q20949586,,,,38.96,35.24,nonprofit,,2,,,
762391,International Federation for Relief and Development,TR,Turkey,,,,,international charity organization,,,,democracy,,,wikidata,Q120340977,,,,38.96,35.24,nonprofit,,5,,,
763080,Istanbul Mineral and Metals Exporters' Association,TR,Turkey,,,,,,https://www.immib.org.tr/,,,democracy,,,wikidata,Q6087491,,,,38.96,35.24,nonprofit,,2,,,
762102,KAOS GL,TR,Turkey,,,,,gay and Lesbian Cultural Research and Solidarity Association in Turkey,https://kaosgl.org/,,,cooperatives,,,wikidata,Q3192823,,,,38.96,35.24,nonprofit,,3,,,
764146,Kamu Emekçileri Sendikalari Konfederasyonu,TR,Turkey,,,,labor/union_federation,"ITUC affiliate. KESK. 200,000 members.",,,,cooperatives,,,ituc_affiliates,wp:Kamu_Emekçileri_Sendikalari_Konfederasyonu,,,,38.96,35.24,labor_union,"labor_union,ituc_affiliate",2,https://en.wikipedia.org/wiki/Kamu_Emek%C3%A7ileri_Sendikalari_Konfederasyonu,,
763082,Karger,TR,Turkey,,,,,Kurdish cultural association in Turkey,,,,recreation_arts,,,wikidata,Q6969346,,,,38.96,35.24,nonprofit,,2,,,
762402,Kudret International Hospital,TR,Turkey,,,,,health care institution in city of Ankara,https://kudretinternational.com,,,healthcare,,,wikidata,Q89402334,,,,38.96,35.24,nonprofit,,2,,,
762394,LÖSEV (Children with Leukemia Foundation),TR,Turkey,,,,,NGO in Turkey,http://www.losev.org.tr/v2/tr/default.asp,,,democracy,,,wikidata,Q28940770,,,,38.96,35.24,nonprofit,,3,,,
763089,Sağlık Hizmetleri Uygulama ve Araştırma Hastanesi,TR,Turkey,,,,,"healthcare organization in Kocasinan, Turkey",http://hastaneler.cumhuriyet.edu.tr/,,,healthcare,,,wikidata,Q30265200,,,,38.96,35.24,nonprofit,,2,,,
762401,Social Security Children's Hospital,TR,Turkey,,,,,"healthcare organization in Ankara, Turkey",,,,healthcare,,,wikidata,Q30280766,,,,38.96,35.24,nonprofit,,3,,,
763078,Student's Union Federation,TR,Turkey,,,,,,http://www.mttb.org.tr/,,,democracy,,,wikidata,Q6073629,,,,38.96,35.24,nonprofit,,2,,,
763494,Süleymancılar,TR,Turkey,,,,labor/union_federation,religious order,,,,democracy,,,wikidata_unions,Q2381957,,,,38.96,35.24,labor_union,,2,http://www.wikidata.org/entity/Q2381957,,
763083,The Turkish Association for Thoracic Surgery,TR,Turkey,,,,,,,,,democracy,,,wikidata,Q6062027,,,,38.96,35.24,nonprofit,,2,,,
763067,Turkey Metal Industrialists’ Union,TR,Turkey,,,,,labor union,http://www.birlesikmetal.org/,,,democracy,,,wikidata,Q21524402,,,,38.96,35.24,nonprofit,,2,,,
763079,Turkish Archivists Association,TR,Turkey,,,,,Turkish Archivists Society,https://www.arsivder.org.tr/,,,healthcare,,,wikidata,Q125171898,,,,38.96,35.24,nonprofit,,2,,,
763071,Turkish Banks Association,TR,Turkey,,,,,an organisation for banks in Turkey,http://www.tbb.org.tr/tr,,,democracy,,,wikidata,Q6034678,,,,38.96,35.24,nonprofit,,2,,,
762389,Turkish Businessmen and Industrialists Confederation,TR,Turkey,,,,,civil society organisation,http://www.tusiad.org/tr/,,,democracy,,,wikidata,Q821976,,,,38.96,35.24,nonprofit,,2,,,
762392,Turkish Economic and Social Studies Foundation,TR,Turkey,,,,,Non-governmental think tank,https://www.tesev.org.tr/,,,democracy,,,wikidata,Q1691696,,,,38.96,35.24,nonprofit,,2,,,
763072,Turkish Film Critics Association,TR,Turkey,,,,,non-governmental organization in Istanbul,http://www.siyad.org,,,democracy,,,wikidata,Q6086353,,,,38.96,35.24,nonprofit,,2,,,
763068,Turkish Journalists' Association,TR,Turkey,,,,,association for journalists in Istanbul,https://www.tgc.org.tr,,,democracy,,,wikidata,Q6083371,,,,38.96,35.24,nonprofit,,2,,,
763081,Turkish Mathematical Society,TR,Turkey,,,,,Turkish association,http://tmd.org.tr/language/tr/,,,democracy,,,wikidata,Q55636314,,,,38.96,35.24,nonprofit,,2,,,
763076,Turkish Medical Association,TR,Turkey,,,,,organization,https://www.ttb.org.tr,,,healthcare,,,wikidata,Q6053107,,,,38.96,35.24,nonprofit,,2,,,
763074,Turkish Notary Association,TR,Turkey,,,,,non-governmental organization in Turkey,http://portal.tnb.org.tr/,,,democracy,,,wikidata,Q6053424,,,,38.96,35.24,nonprofit,,2,,,
763084,Turkish Nurses Association,TR,Turkey,,,,,,https://www.thder.org.tr/,,,healthcare,,,wikidata,Q106256597,,,,38.96,35.24,nonprofit,,2,,,
