id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
764142,All Trinidad General Workers' Trade Union,TT,Trinidad and Tobago,,,,labor/union_federation,ITUC affiliate. ATGWTU. 500 members.,,,,cooperatives,,,ituc_affiliates,wp:All_Trinidad_General_Workers'_Trade_Union,,,,10.69,-61.22,labor_union,"labor_union,ituc_affiliate",2,https://en.wikipedia.org/wiki/All_Trinidad_General_Workers%27_Trade_Union,,
720530,Alma Jordan Library,TT,Trinidad and Tobago,,,,,library,http://www.mainlib.uwi.tt/,,,education,,,wikidata,Q4733560,,,,10.69,-61.22,nonprofit,tier_b,3,,,
720403,Fondes Amandes Community Reforestation Project,TT,Trinidad and Tobago,,,,,environmental NGO,https://facrp1.webs.com/,,,ecology,,,wikidata,Q116395528,,,,10.69,-61.22,nonprofit,tier_b,3,,,
720441,Forest Reserve,TT,Trinidad and Tobago,,,,,locality in Trinidad and Tobago,,,,ecology,,,wikidata,Q34935560,,,,10.69,-61.22,nonprofit,tier_b,3,,,
720425,Forest Reserve Estate Police,TT,Trinidad and Tobago,,,,,,,,,ecology,,,wikidata,Q116036031,,,,10.69,-61.22,nonprofit,tier_c,3,,,
720404,Library of the Economic Commission for Latin America and the Caribbean,TT,Trinidad and Tobago,,,,,Library at the Economic Commission for Latin America and the Caribbean,https://www.cepal.org/es/biblioteca,,,education,,,wikidata,Q98901778,,,,10.69,-61.22,nonprofit,tier_b,3,,,
720414,National Council of Indian Culture,TT,Trinidad and Tobago,,,,,cultural center in Trinidad,https://ncictt.com/,,,recreation_arts,,,wikidata,Q136481121,,,,10.69,-61.22,nonprofit,tier_b,3,,,
720410,National Library and Information System,TT,Trinidad and Tobago,,,,,national library of Trinidad and Tobago,https://www.nalis.gov.tt,,,education,,,wikidata,Q6974132,,,,10.69,-61.22,nonprofit,tier_b,3,,,
764143,National Trade Union Centre of Trinidad and Tobago,TT,Trinidad and Tobago,,,,labor/union_federation,"ITUC affiliate. NATUC. 45,000 members.",,,,cooperatives,,,ituc_affiliates,wp:National_Trade_Union_Centre_of_Trinidad_and_Tobago,,,,10.69,-61.22,labor_union,"labor_union,ituc_affiliate",2,https://en.wikipedia.org/wiki/National_Trade_Union_Centre_of_Trinidad_and_Tobago,,
720432,Trinidad Regional Virus Laboratory,TT,Trinidad and Tobago,,,,,public health research lab,,,,healthcare,,,wikidata,Q7842400,,,,10.69,-61.22,nonprofit,tier_b,3,,,
720396,Trinidad and Tobago Red Cross Society,TT,Trinidad and Tobago,,,,,organization,https://www.ttrcs.org/,,,democracy,,,wikidata,Q16238476,,,,10.69,-61.22,nonprofit,tier_b,3,,,
