id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
717670,Call for Environmental Conservation,TZ,Tanzania,,,,,A non-governmental organization in Tanzania,https://callforenvironmental.org/,,,ecology,,,wikidata,Q135103239,,,,-6.37,34.89,nonprofit,tier_b,2,,,
911282,Co-operative Bank Tanzania Plc,TZ,,,Dodoma,,,Co-operative Bank of Tanzania is a commercial bank whose majority of shareholder members are cooperatives. Their aims are to drive socio-economic transformation of their members/customers to empower and improve livelihoods through financial inclusion and digital innovation.,,,,cooperatives,,,ica_directory,57815,,,,,,cooperative,ica_member,9,https://lod.coop/ica/57815,,
717669,Elizabeth Glaser Pediatric AIDS Foundation,TZ,Tanzania,,,,,"nonprofit organization in Dar es Salaam, Tanzania",http://www.pedaids.org/countries/tanzania,,,healthcare,,,wikidata,Q50804997,,,,-6.37,34.89,foundation,tier_b,2,,,
717705,Environmental Conservation Community of Tanzania,TZ,Tanzania,,,,,Community-driven environmental conservation organization,https://ecct.or.tz/about.php,,,ecology,,,wikidata,Q136750555,,,,-6.37,34.89,nonprofit,tier_b,3,,,
717685,"Environmental, Human Rights Care and Gender Organisation, Tanzania",TZ,Tanzania,,,,,"A non-profit, organization advocating for environmental justice, human rights, and gender equality.",https://www.envirocaretz.net/,,,ecology,,,wikidata,Q135778841,,,,-6.37,34.89,nonprofit,tier_b,7,,,
717757,Moshi Co-operative University (MoCU),TZ,Tanzania,,,,,Public university in Tanzania,https://www.mocu.ac.tz,,,education,,,wikidata,Q15256455,,,,-6.37,34.89,cooperative,tier_b,6,,,
911064,Moshi Co-operative University (MoCU),TZ,,,Moshi,,,"The Moshi Co-operative University (MoCU) is among the oldest co-operative training institution in Africa, where it was first established as the Co-operative College Moshi in 1963 offering accredited programmes in co-operative accounting, finance, marketing, management, and rural development. It has turned out experts in accounting, finance, auditing, marketing, management and co-operative development employed in different institutions &ndash; both co-operative and non-co-operatives - from within and outside Tanzania. It grew from a college enrolling 150 students in the 1960s to 1500 students in the 1990s. It was transformed into the Moshi University College of Co-operative and Business Studies (MUCCoBS) in 2004, a constituent university college of the Sokoine University of Agriculture. During its time as a University College it was able to increase its programmes to eleven and expand its enrolment to over 3000 students. In September, 2014 the government elevated MUCCoBS to a full-fledged university by the name of the Moshi Co-operative University in short MoCU. Currently, the university has thirty three programmes ranging from certificates, diploma, undergraduate, and postgraduate prorammes at Masters and Doctoral levels. In addition to accredited programmes, the university also runs outreach programmes through its thirteen regional offices across the country to meet co-operative members&rsquo; and leaders&rsquo; short-term training requirements. It has an additional teach...",http://www.mocu.ac.tz/,,,cooperatives,,,ica_directory,270,,,,,,cooperative,ica_member,10,https://lod.coop/ica/270,,
717727,Nipe Fagio,TZ,Tanzania,,,,,Tanzanian non-governmental organization focused on waste management and environmental conservation,https://nipefagio.co.tz/,,,ecology,,,wikidata,Q136470260,,,,-6.37,34.89,nonprofit,tier_b,2,,,
717680,Tanzania Environmental Conservation Society,TZ,Tanzania,,,,,nonprofit environmental organization,https://tecosotanzania.weebly.com/,,,ecology,,,wikidata,Q106366874,,,,-6.37,34.89,nonprofit,tier_b,2,,,
911065,Tanzania Federation of Co-operatives Ltd. (TFC),TZ,,,Dar-es-Salaam,,,"TFC is the apex organisation for the entire co-operative movement in Tanzania. They represented 1,380,000 individual members in 2021.",https://ushirika.co.tz/,,,cooperatives,,,ica_directory,275,,,,,,cooperative,ica_member,9,https://lod.coop/ica/275,,
717707,The Gender and Climate Change Tanzania Coalition,TZ,Tanzania,,,,,Tanzanian non governmental organization that promotes gender equality and women’s empowerment in climate policy,https://gcctc.or.tz/,,,ecology,,,wikidata,Q136748237,,,,-6.37,34.89,federation,tier_b,2,,,
764132,Trade Unions' Congress of Tanzania,TZ,Tanzania,,,,labor/union_federation,"ITUC affiliate. TUCTA. 350,000 members.",,,,cooperatives,,,ituc_affiliates,wp:Trade_Unions'_Congress_of_Tanzania,,,,-6.37,34.89,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Trade_Unions%27_Congress_of_Tanzania,,
764133,Zanzibar Trade Union Congress,TZ,Tanzania,,,,labor/union_federation,"ITUC affiliate. ZATUC. 15,000 members.",,,,cooperatives,,,ituc_affiliates,wp:Zanzibar_Trade_Union_Congress,,,,-6.37,34.89,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Zanzibar_Trade_Union_Congress,,
