id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
718823,Adult Education Centre Community Library,UG,Uganda,,,,,library in Uganda,,,,education,,,wikidata,Q68653110,,,,1.37,32.29,nonprofit,tier_b,2,,,
718293,African Youth Peace Initiatives,UG,Uganda,,,,,"indigenous, non-partisan, non-political grassroots organisation working to empower the young people, organisations, institutions and communities",https://web.facebook.com/AYPIUganda/,,,conflict,,,wikidata,Q126947370,,,,1.37,32.29,nonprofit,tier_b,4,,,
718163,Association of Refugees with Disability,UG,Uganda,,,,,Association of Refugees with Disability is a refugee led organization located in Uganda.,https://ardofuganda.org,,,democracy,,,wikidata,Q123412843,,,,1.37,32.29,federation,tier_b,2,,,
718806,Book Drive-Read to Learn Foundation,UG,Uganda,,,,,community library in Uganda,,,,education,,,wikidata,Q131360561,,,,1.37,32.29,foundation,tier_b,3,,,
718118,Bugisu Co-operative Union Limited,UG,Uganda,,,,,union in Uganda,https://www.bugisucooperativeunion.com,,,cooperatives,,,wikidata,Q18210507,,,,1.37,32.29,cooperative,tier_b,6,,,
718096,"Center for Health, Human Rights and Development",UG,Uganda,,,,,"nonprofit organization in Kampala, Uganda",http://www.cehurd.org/,,,healthcare,,,wikidata,Q30261689,,,,1.37,32.29,research,tier_b,3,,,
718869,Centre for Youth Driven Development Initiatives (CFYDDI),UG,Uganda,,,,,community library in Uganda,,,,education,,,wikidata,Q131359909,,,,1.37,32.29,research,tier_b,2,,,
718173,Child Care And Youth Empowerment Foundation,UG,Uganda,,,,,"nonprofit organization in Mukono, Uganda",https://www.ccayef.org,,,democracy,,,wikidata,Q119857234,,,,1.37,32.29,foundation,tier_b,3,,,
718147,Community Health And Information Network,UG,Uganda,,,,,"nonprofit organization in Kampala, Uganda",http://chainproject.co.ug/,,,healthcare,,,wikidata,Q59536489,,,,1.37,32.29,federation,tier_b,5,,,
718105,Conservation Through Public Health,UG,Uganda,,,,,conservation organization in Uganda and the USA,http://www.ctph.org/,,,healthcare,,,wikidata,Q5162939,,,,1.37,32.29,nonprofit,tier_b,2,,,
718092,Conservation and Ecosystem Health Alliance,UG,Uganda,,,,,"nonprofit organization in Kampala, Uganda",http://www.ceha.co/,,,healthcare,,,wikidata,Q30296149,,,,1.37,32.29,federation,tier_b,2,,,
718099,Cooperative Office for Voluntary Organizations,UG,Uganda,,,,,"nonprofit organization in Lira, Uganda",http://covoluganda.org/,,,cooperatives,,,wikidata,Q30261735,,,,1.37,32.29,cooperative,tier_b,6,,,
718239,Development Foundation for Rural Areas,UG,Uganda,,,,,Human Rights Organization in Uganda (DEFORA),http://deforaug.org,,,democracy,,,wikidata,Q118370492,,,,1.37,32.29,foundation,tier_b,4,,,
718145,Development Network of Indigenous Voluntary Associations,UG,Uganda,,,,,"nonprofit organization in Kampala, Uganda",http://www.deniva.or.ug/,,,democracy,,,wikidata,Q61933607,,,,1.37,32.29,federation,tier_b,3,,,
718246,Eco Trust Uganda,UG,Uganda,,,,,Environmental conservation trust of Uganda,https://ecotrust.or.ug/about-us/,,,ecology,,,wikidata,Q118464755,,,,1.37,32.29,nonprofit,tier_b,2,,,
718240,Foundation for Human Rights Initiative,UG,Uganda,,,,,human rights organization in Uganda,https://fhri.or.ug,,,democracy,,,wikidata,Q118381567,,,,1.37,32.29,foundation,tier_b,4,,,
718078,Freedom & Roam Uganda,UG,Uganda,,,,,human rights organisation in Uganda,http://faruganda.org/,,,democracy,,,wikidata,Q391085,,,,1.37,32.29,nonprofit,tier_b,2,,,
718251,Habitat for Humanity Uganda,UG,Uganda,,,,,affordable housing NGO in Uganda,,,,housing_land,,,wikidata,Q125984827,,,,1.37,32.29,nonprofit,tier_b,7,,,
