id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
909454,"""American Refugee Community"" ARC",US,United States,Maine,TBD,,,"status: Forming. type: Unspecified, or Other. open to membership: Yes",https://www.ic.org/directory/american-refugee-community-arc/,,,housing_land,,,ic_directory,579289,,,,,,community_org,"Unspecified, or Other",2,https://www.ic.org/directory/american-refugee-community-arc/,,
908926,#BrooklynShowsLove Mutual Aid Project,US,USA,NY,New York City,,,category: Network,,,,democracy,,,mutual_aid_hub,cntBw2UlPIWwXMVU7dZS,,,,40.7648,-73.9808,mutual_aid,,6,https://www.mutualaidhub.org/,,
908588,#LoveYourNeighbor514,US,USA,VA,Norfolk,,,category: Network,https://www.facebook.com/groups/1289789657885457/,,,democracy,,,mutual_aid_hub,FAVcelUEnT4nTetcRJjH,,,,36.9138353,-76.2826675,mutual_aid,,3,https://www.mutualaidhub.org/,,
908660,#WeAreLowellJayWestfieldTroyAreaStrong,US,USA,VT,Lowell,,,category: Network,https://www.facebook.com/groups/WeAreLowellJayWestfieldTroyAreaStrong/,,,democracy,,,mutual_aid_hub,JWSbyIAo7PhHdG33VfwM,,,,44.7992,-72.4482,mutual_aid,,3,https://www.mutualaidhub.org/,,
764675,(Re)introducing Front Step Community Land Trust,US,United States,,,,land_and_housing/community_land_trust,Grounded Solutions Network member. See: https://groundedsolutions.org/member-spotlight-reintroducing-front-step-community-land-trust/,,,,housing_land,,,grounded_solutions,wp-post:5675,,,,,,nonprofit,,8,https://groundedsolutions.org/member-spotlight-reintroducing-front-step-community-land-trust/,,
174738,1000 WOMEN STRONG EDUCATION FUND,US,United States,FL,TALLAHASSEE,992680973,IRS_EIN,,,,,democracy,R40,,IRS_EO_BMF,992680973,2024,377920.0,,30.428563,-84.259337,nonprofit,tier_d,2,,,
909078,19th Ward Mutual Aid,US,USA,IL,Chicago,,,category: Network,https://www.facebook.com/19Aid,,,democracy,,,mutual_aid_hub,nuo9TAVgX1GwdeQNGM39,,,,41.6773775,-87.6538017,mutual_aid,,6,https://www.mutualaidhub.org/,,
187074,1ST CHOICE CREDIT UNION,US,United States,GA,ATLANTA,586035220,IRS_EIN,,,,,democracy,W61,,IRS_EO_BMF,586035220,2023,3398540.0,,33.749788,-84.31685,nonprofit,tier_c,3,,,
362045,1ST MENTAL HEALTH & WELLNESS,US,United States,MO,SAINT LOUIS,931843934,IRS_EIN,,,,,healthcare,F01,,IRS_EO_BMF,931843934,,0.0,,38.642574,-90.324189,nonprofit,tier_d,2,,,
92119,1ST NORTHERN CALIFORNIA CREDIT UNION,US,United States,CA,MARTINEZ,941175509,IRS_EIN,,,,,democracy,W61,,IRS_EO_BMF,941175509,2024,27797888.0,,37.993246,-122.111693,nonprofit,tier_c,3,,,
160278,2 ANGELS AFFORDABLE HOUSING FOUNDATION INC,US,United States,FL,CAPE CORAL,813176792,IRS_EIN,,,,,democracy,W30,,IRS_EO_BMF,813176792,2024,0.0,,26.57746,-81.952243,foundation,tier_c,6,,,
646589,2020 FARMERS COOPERATIVE INCORPORATED,US,United States,VA,SOUTH BOSTON,854197884,IRS_EIN,,,,,food,K20,,IRS_EO_BMF,854197884,2024,310380.0,,36.696335,-78.918829,cooperative,tier_c,6,,,
