id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
762513,Academy of Policy and Development,VN,Vietnam,,,,,"nonprofit organization in Hanoi, Vietnam",http://e.apd.edu.vn/,,,democracy,,,wikidata,Q61931234,,,,14.06,108.28,nonprofit,,2,,,
762484,Association Générale des Etudiants Vietnamiens de Paris,VN,Vietnam,,,,,,,,,democracy,,,wikidata,Q2867805,,,,14.06,108.28,nonprofit,,2,,,
762516,Bac Ha International University,VN,Vietnam,,,,,Vietnamese higher educational institution,http://www.bhiu.edu.vn,,,education,,,wikidata,Q10829118,,,,14.06,108.28,nonprofit,,2,,,
762500,Business Association of High Quality Vietnamese Goods,VN,Vietnam,,,,,,https://hvnclc.vn/,,,democracy,,,wikidata,Q65164565,,,,14.06,108.28,nonprofit,,2,,,
762494,Center for Creative Initiatives in Health and Population,VN,Vietnam,,,,,"nonprofit organization in Hanoi, Vietnam",http://ccihp.org/?lang=eng,,,healthcare,,,wikidata,Q77083078,,,,14.06,108.28,nonprofit,,2,,,
762510,Centre for Environment and Community Assets Development,VN,Vietnam,,,,,"nonprofit organization in Hanoi, Vietnam",http://www.cecad.vn/,,,ecology,,,wikidata,Q50039448,,,,14.06,108.28,nonprofit,,3,,,
762508,Centre for Social Research and Development,VN,Vietnam,,,,,"nonprofit organization in Huế, Vietnam",https://www.csrd.vn/,,,democracy,,,wikidata,Q61931347,,,,14.06,108.28,nonprofit,,3,,,
762520,Children's Hospital 1,VN,Vietnam,,,,,"healthcare organization in Ho Chi Minh City, Vietnam",,,,healthcare,,,wikidata,Q30293452,,,,14.06,108.28,nonprofit,,2,,,
762521,Children's Hospital 2,VN,Vietnam,,,,,"healthcare organization in Ho Chi Minh City, Vietnam",,,,healthcare,,,wikidata,Q30293454,,,,14.06,108.28,nonprofit,,2,,,
762474,Education for Nature Vietnam,VN,Vietnam,,,,,Vietnamese wildlife protection NGO,https://env4wildlife.org/,,,education,,,wikidata,Q22908056,,,,14.06,108.28,nonprofit,,2,,,
762473,General Buddhist Association of Vietnam,VN,Vietnam,,,,,,,,,democracy,,,wikidata,Q5531711,,,,14.06,108.28,nonprofit,,2,,,
762491,Green Innovation and Development Centre,VN,Vietnam,,,,,"nonprofit organization in Hanoi, Vietnam",http://en.greenidvietnam.org.vn/,,,democracy,,,wikidata,Q59536636,,,,14.06,108.28,nonprofit,,2,,,
764735,Habitat for Humanity Vietnam,VN,Vietnam,,Ho Chi Minh City,,land_and_housing/sweat_equity_program,Habitat for Humanity country or regional office. Sweat-equity homeownership program. See https://habitatvietnam.org/.,https://habitatvietnam.org/,,,housing_land,,,habitat_affiliates,VN:habitat-for-humanity-vietnam,,,,14.06,108.28,sweat_equity_program,"habitat_affiliate,sweat_equity",3,https://habitatvietnam.org/,,
762517,Hanoi University of Science and Technology School of International Education,VN,Vietnam,,,,,academic department,,,,education,,,wikidata,Q101000088,,,,14.06,108.28,nonprofit,,2,,,
762518,Ho Chi Minh City University of Transport International Education and Cooperation Centre,VN,Vietnam,,,,,academic department,,,,education,,,wikidata,Q101000125,,,,14.06,108.28,nonprofit,,2,,,
762511,Institute for Social Development Studies,VN,Vietnam,,,,,"nonprofit organization in Hanoi, Vietnam",http://www.isds.org.vn/,,,democracy,,,wikidata,Q61931532,,,,14.06,108.28,nonprofit,,3,,,
762512,"Institute of Population, Health and Development",VN,Vietnam,,,,,"nonprofit organization in Hanoi, Vietnam",http://phad.vn,,,healthcare,,,wikidata,Q50035327,,,,14.06,108.28,nonprofit,,3,,,
762497,"International Center of Tropical Agriculture, Hanoi",VN,Vietnam,,,,,"nonprofit organization in Hanoi, Vietnam",,,,food,,,wikidata,Q108737751,,,,14.06,108.28,nonprofit,,2,,,
762460,Liên đoàn Cầu lông Việt Nam,VN,Vietnam,,,,,badminton association,,,,democracy,,,wikidata,Q1517172,,,,14.06,108.28,nonprofit,,2,,,
761733,PDF Vietnam.PDF - ecoi.net,VN,Vietnam,,,,,"The directory aims to promote interaction and active partnerships among key development organisations in civil society, including NGOs, trade unions, faith-based organizations, indigenous peoples move",,,,democracy,,,web_research,,,,,14.06,108.28,nonprofit,tier_b,3,,,
762519,Pham Ngoc Thach Hospital,VN,Vietnam,,,,,"healthcare organization in Ho Chi Minh City, Vietnam",,,,healthcare,,,wikidata,Q30293465,,,,14.06,108.28,nonprofit,,2,,,
762105,Saigon Union of Trading Co-operatives,VN,Vietnam,,,,,union in Ho Chi Minh city,http://www.saigonco-op.com.vn,,,cooperatives,,,wikidata,Q56193426,,,,14.06,108.28,nonprofit,,3,,,
762492,Southern University Library Association,VN,Vietnam,,,,,organization in Vietnam,https://vilasal.org.vn/,,,education,,,wikidata,Q138660249,,,,14.06,108.28,nonprofit,,2,,,
762515,VNU Science and Technology Development Fund,VN,Vietnam,,,,,"nonprofit organization in Hanoi, Vietnam",https://vnu.edu.vn/eng/?C2294,,,energy_digital,,,wikidata,Q123512429,,,,14.06,108.28,nonprofit,,2,,,
762480,Vietnam Cricket Association,VN,Vietnam,,,,,,http://www.vietnamcricket.com/,,,democracy,,,wikidata,Q39046929,,,,14.06,108.28,nonprofit,,2,,,
762461,Vietnam General Confederation of Labour,VN,Vietnam,,,,,trade union,http://www.congdoan.vn,,,democracy,,,wikidata,Q602682,,,,14.06,108.28,nonprofit,,3,,,
762514,Vietnam Kennel Association,VN,Vietnam,,,,,Vietnamese umbrella organization for dog breeding,https://vka.vn/,,,democracy,,,wikidata,Q125688142,,,,14.06,108.28,nonprofit,,2,,,
762509,Vietnam Medical Association,VN,Vietnam,,,,,,,,,healthcare,,,wikidata,Q106096320,,,,14.06,108.28,nonprofit,,2,,,
762487,Vietnam Public Health Association,VN,Vietnam,,,,,"nonprofit organization in Hanoi, Vietnam",https://vpha.org.vn,,,healthcare,,,wikidata,Q137796032,,,,14.06,108.28,nonprofit,,4,,,
762472,Vietnamese Association of Historical Sciences,VN,Vietnam,,,,,organization,https://hoisuhoc.vn/,,,democracy,,,wikidata,Q10772260,,,,14.06,108.28,nonprofit,,2,,,
762507,Vietnamese Library Association,VN,Vietnam,,,,,organization in Viet Nam,https://vla.org.vn,,,education,,,wikidata,Q61128339,,,,14.06,108.28,nonprofit,,2,,,
762522,Vinmec International Hospital,VN,Vietnam,,,,,"healthcare organization in Hanoi, Vietnam",https://vinmec.com/,,,healthcare,,,wikidata,Q50035843,,,,14.06,108.28,nonprofit,,2,,,
