id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
689313,A Spring of Hope,ZA,South Africa,,,,,"- ****: Provides clean water, sanitation, school gardens, health programs, small-enterprise mentorship, community gardens, and afterschool activities in rural Limpopo and Mpumalanga to promote food se",,,,healthcare,,,web_research,,,,,-30.56,22.94,nonprofit,tier_b,7,,,
692412,AIDS Healthcare Foundation,ZA,South Africa,,,,,"nonprofit organization in Durban, South Africa",https://www.aidshealth.org/#,,,healthcare,,,wikidata,Q50037339,,,,-30.56,22.94,foundation,tier_b,3,,,
692555,African Climate Foundation,ZA,South Africa,,,,,research institute in South Africa,https://africanclimatefoundation.org/,,,ecology,,,wikidata,Q118313950,,,,-30.56,22.94,foundation,tier_b,3,,,
692573,African Climate and Development Foundation,ZA,South Africa,,,,,research institute in South Africa,https://acdi.uct.ac.za/,,,ecology,,,wikidata,Q118313912,,,,-30.56,22.94,foundation,tier_b,3,,,
689314,Afrika Tikkun Services,ZA,South Africa,,,,,"- ****: Focuses on community development and anti-corruption efforts in Bloemfontein.[2] - **Equal Education**: Works on education, literacy, legal aid, and community development in Boksburg.[2]",,,,education,,,web_research,,,,,-30.56,22.94,nonprofit,tier_b,6,,,
692253,Amnesty International South Africa,ZA,South Africa,,,,,South African human rights organization,http://www.amnesty.org.za,,,democracy,,,wikidata,Q4747376,,,,-30.56,22.94,nonprofit,tier_b,2,,,
763607,Association of Mineworkers and Construction Union,ZA,South Africa,,Witbank,,labor/national_union,trade union,,,,democracy,,,wikidata_unions,Q743979,1998,,,-30.56,22.94,labor_union,,4,http://www.wikidata.org/entity/Q743979,,
689297,"Birdlife South Africa, Centre for Environmental Rights, Endangered Wildlife Trust, and WWF South Africa",ZA,South Africa,,,,,- ****[3] are additional established NGOs addressing specific conservation and environmental governance areas.,,,,ecology,,,web_research,,,,,-30.56,22.94,research,tier_b,3,,,
689310,Black Sash,ZA,South Africa,,,,,"- ****: Veteran organization established in 1955 advocating for social justice, social protection, and poverty alleviation, with a focus on vulnerable populations.[5] - **South African Human Rights Co",,,,democracy,,,web_research,,,,,-30.56,22.94,nonprofit,tier_b,4,,,
692242,CapeNature,ZA,South Africa,,,,,"environmental conservation authority in the Western Cape, South Africa",http://www.capenature.org.za/,,,ecology,,,wikidata,Q5034555,,,,-30.56,22.94,nonprofit,tier_b,2,,,
692658,Centre for Human Rights,ZA,South Africa,,,,,organisation promoting human rights in Africa,http://www.chr.up.ac.za/,,,democracy,,,wikidata,Q5062463,,,,-30.56,22.94,research,tier_b,2,,,
689306,Centre for Human Rights (University of Pretoria),ZA,South Africa,,,,,"- ****: Founded in 1986 as an academic NGO, it specializes in human rights education, research on vulnerable groups (e.g., women, HIV-affected people, indigenous communities), and hosts the African Hu",,,,education,,,web_research,,,,,-30.56,22.94,research,tier_b,7,,,
696514,City of Cape Town Open Data Portal,ZA,South Africa,,,,,,http://odp.capetown.gov.za/,,,energy_digital,,,wikidata,Q97143576,,,,-30.56,22.94,nonprofit,tier_c,3,,,
692582,Climate Justice Coalition (South Africa),ZA,South Africa,,,,,"South African coalition of civil society, trade unions, and grassroots organisations working on climate justice.",https://climatejusticecoalition.org/,,,ecology,,,wikidata,Q138963489,,,,-30.56,22.94,federation,tier_b,2,,,
764112,Confederation of South African Workers' Unions,ZA,South Africa,,,,labor/union_federation,"ITUC affiliate. CONSAWU. 49,730 members.",,,,cooperatives,,,ituc_affiliates,wp:Confederation_of_South_African_Workers'_Unions,,,,-30.56,22.94,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Confederation_of_South_African_Workers%27_Unions,,
764113,Congress of South African Trade Unions,ZA,South Africa,,,,labor/union_federation,"ITUC affiliate. COSATU. 1,800,000 members.",,,,cooperatives,,,ituc_affiliates,wp:Congress_of_South_African_Trade_Unions,,,,-30.56,22.94,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Congress_of_South_African_Trade_Unions,,
696512,DataFirst,ZA,South Africa,,,,,Open Data Portal of the University of Cape Town,https://www.datafirst.uct.ac.za,,,education,,,wikidata,Q97153947,,,,-30.56,22.94,nonprofit,tier_b,3,,,
692251,Desmond Tutu HIV Foundation,ZA,South Africa,,,,,nonprofit organization founded to provide treatment for and conduct HIV/AIDS research,http://desmondtutuhivfoundation.org.za/,,,healthcare,,,wikidata,Q5264812,,,,-30.56,22.94,foundation,tier_b,2,,,
689302,ERM (Environmental Resources Management),ZA,South Africa,,,,,"- ****[4] operates offices in Cape Town, Durban, and Johannesburg, providing environmental, health, safety, and sustainability consulting services.",,,,healthcare,,,web_research,,,,,-30.56,22.94,nonprofit,tier_b,2,,,
689294,Environmental Monitoring Group (EMG),ZA,South Africa,,,,,"- ****[2] is a Cape Town-based non-profit focusing on climate change, water, and agroecology through community-driven solutions and participatory action research.",,,,ecology,,,web_research,,,,,-30.56,22.94,nonprofit,tier_b,10,,,
689315,Equal Education,ZA,South Africa,,,,,"- ****: Works on education, literacy, legal aid, and community development in Boksburg.[2] - **Ubuntu Education Fund**: Supports underprivileged rural communities with programs for children and youth ",,,,education,,,web_research,,,,,-30.56,22.94,nonprofit,tier_b,7,,,
