id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
764603,2101 Connecticut Avenue,,"Washington, D.C.",,,,land_and_housing/housing_cooperative,,,,,housing_land,,,wikidata_land_trusts,Q124668989,,,,,,cooperative,,2,http://www.wikidata.org/entity/Q124668989,,
763531,Beroepsvereniging van Beeldende Kunstenaars,,Netherlands,,Amsterdam,,labor/national_union,Dutch trade union,,,,democracy,,,wikidata_unions,Q2506228,1945,,,,,labor_union,,2,http://www.wikidata.org/entity/Q2506228,,
763518,CGMV,,Netherlands,,Zwolle,,labor/national_union,,https://www.cgmv.nl,,,democracy,,,wikidata_unions,Q1914579,,,,,,labor_union,,2,http://www.wikidata.org/entity/Q1914579,,
763665,Central Union of Chimney Sweeps of Germany,,German Empire,,Berlin,,labor/national_union,former German Reich trade union (1907–1933),,,,democracy,,,wikidata_unions,Q106729435,1907,,,,,labor_union,,2,http://www.wikidata.org/entity/Q106729435,,
763655,Central Union of Civilian Musicians in Germany,,German Empire,,Hamburg,,labor/national_union,former German Empire trade union (1902–1919),,,,democracy,,,wikidata_unions,Q106603223,1902,,,,,labor_union,,2,http://www.wikidata.org/entity/Q106603223,,
763671,Central Union of Plasterers,,German Empire,,Hamburg,,labor/national_union,former German Empire trade union (1892–1911),,,,democracy,,,wikidata_unions,Q106519560,1892,,,,,labor_union,,2,http://www.wikidata.org/entity/Q106519560,,
764459,Coöperatieve Woningvereniging voor Gemeentepersoneel te Haarlem,,Netherlands,,,,land_and_housing/housing_cooperative,,,,,housing_land,,,wikidata_land_trusts,Q2781135,,,,,,cooperative,,2,http://www.wikidata.org/entity/Q2781135,,
764627,De Warren,,Netherlands,,,,land_and_housing/housing_cooperative,,https://dewarren.co,,,housing_land,,,wikidata_land_trusts,Q126490473,,,,,,cooperative,,2,http://www.wikidata.org/entity/Q126490473,,
763795,Eindhovense Studenten Vakbond,,Netherlands,,Eindhoven,,labor/national_union,,,,,democracy,,,wikidata_unions,Q137527013,1977,,,,,labor_union,,2,http://www.wikidata.org/entity/Q137527013,,
763585,Einheitsverband der Metallarbeiter Berlins,,German Reich,,Berlin,,labor/national_union,German Communist industrial union in Berlin (1930-1935/36),,,,democracy,,,wikidata_unions,Q1307874,1930,,,,,labor_union,,2,http://www.wikidata.org/entity/Q1307874,,
763587,Factory Workers' Union of Germany,,German Empire,,Hanover,,labor/national_union,former German Reich trade union (1890–1933),,,,democracy,,,wikidata_unions,Q1390789,1890,,,,,labor_union,,2,http://www.wikidata.org/entity/Q1390789,,
763670,General Milking Union of Germany,,Weimar Republic,,Leipzig,,labor/national_union,former German Weimar Republic trade union (1929–1933),,,,democracy,,,wikidata_unions,Q106702695,1929,,,,,labor_union,,2,http://www.wikidata.org/entity/Q106702695,,
763740,German Hat Workers' Union,,German Empire,,Altenburg,,labor/national_union,former German Reich trade union (1872–1933),,,,democracy,,,wikidata_unions,Q15450325,1872,,,,,labor_union,,2,http://www.wikidata.org/entity/Q15450325,,
763581,German Labor Front,,Nazi Germany,,Berlin,,labor/national_union,Association of employers and employees during the Nazi era,,,,democracy,,,wikidata_unions,Q312526,1933,,,,,labor_union,,2,http://www.wikidata.org/entity/Q312526,,
763618,German Metal Workers' Union,,German Empire,,Stuttgart,,labor/national_union,former German Reich trade union (1891–1933),,,,democracy,,,wikidata_unions,Q1205105,1891,,,,,labor_union,,2,http://www.wikidata.org/entity/Q1205105,,
763592,German Textile Workers' Union,,German Empire,,Berlin,,labor/national_union,former German Reich trade union (1891–1933),,,,democracy,,,wikidata_unions,Q1205387,1891,,,,,labor_union,,2,http://www.wikidata.org/entity/Q1205387,,
763661,German Umbrella Makers' Union,,German Empire,,Hamburg,,labor/national_union,former German Reich trade union (1905–1910),,,,democracy,,,wikidata_unions,Q106627753,1905,,,,,labor_union,,2,http://www.wikidata.org/entity/Q106627753,,
763664,Internationale Union der Holzarbeiter,,Netherlands,,Amsterdam,,labor/national_union,international organization; union,,,,democracy,,,wikidata_unions,Q106651916,1904,,,,,labor_union,,2,http://www.wikidata.org/entity/Q106651916,,
763523,KVLO,,Netherlands,,Zeist,,labor/national_union,Dutch teachers and education union,,,,education,,,wikidata_unions,Q2880750,1862,,,,,labor_union,,2,http://www.wikidata.org/entity/Q2880750,,
763511,Kidwelly satanic child rape cult,,Wales,,,,labor/union_federation,"Group of Welsh child rapists, caught 2010",,,,democracy,,,wikidata_unions,Q65050122,1990,,,,,labor_union,,2,http://www.wikidata.org/entity/Q65050122,,
763514,Koninklijke Nederlandse Toonkunstenaars Vereniging,,Netherlands,,Amsterdam,,labor/national_union,Dutch trade union,,,,democracy,,,wikidata_unions,Q2072282,,,,,,labor_union,,2,http://www.wikidata.org/entity/Q2072282,,
763521,Koninklijke Vereniging van Marineofficieren,,Netherlands,,The Hague,,labor/national_union,,,,,democracy,,,wikidata_unions,Q2793485,,,,,,labor_union,,2,http://www.wikidata.org/entity/Q2793485,,
764758,"Konsum-, Bau- und Sparverein „Produktion“",,German Reich,,Hamburg,,labor/construction_cooperative,,,,,cooperatives,,,construction_coops,Q1783020,1899,,,,,cooperative,"construction,worker_cooperative",2,http://www.wikidata.org/entity/Q1783020,,
763793,Student Union Rotterdam,,Netherlands,,Rotterdam,,labor/national_union,,https://stuur-rotterdam.nl,,,democracy,,,wikidata_unions,Q137509965,2021,,,,,labor_union,,2,http://www.wikidata.org/entity/Q137509965,,
763517,Studentenvakbond NSEM,,Netherlands,,Maastricht,,labor/national_union,,,,,democracy,,,wikidata_unions,Q2339923,,,,,,labor_union,,2,http://www.wikidata.org/entity/Q2339923,,
763656,Union of Cigar Sorters and Box Gluers of Germany,,German Empire,,Hamburg,,labor/national_union,former German Empire trade union (1885–1912),,,,democracy,,,wikidata_unions,Q106641238,1885,,,,,labor_union,,2,http://www.wikidata.org/entity/Q106641238,,
763667,"Union of Coopers, Cellar Managers, and Helpers in Germany",,German Empire,,Bremen,,labor/national_union,former German Reich trade union (1885–1927),,,,democracy,,,wikidata_unions,Q106434547,1885,,,,,labor_union,,2,http://www.wikidata.org/entity/Q106434547,,
763653,"Union of Flower, Feather and Leaf Workers",,German Empire,,Berlin,,labor/national_union,former German Empire trade union (1901–1913),,,,democracy,,,wikidata_unions,Q106646724,1901,,,,,labor_union,,2,http://www.wikidata.org/entity/Q106646724,,
763662,Union of Gilders of Germany,,German Empire,,Berlin,,labor/national_union,former German Empire trade union (1889–1906),,,,democracy,,,wikidata_unions,Q106646881,1889,,,,,labor_union,,2,http://www.wikidata.org/entity/Q106646881,,
763654,Union of Upholsterers of Germany,,Weimar Republic,,Hamburg,,labor/national_union,former German Reich trade union (1897–1920),,,,democracy,,,wikidata_unions,Q106641448,1897,,,,,labor_union,,2,http://www.wikidata.org/entity/Q106641448,,
764395,Utrechtse coöperatieve bouwvereniging 'Samenwerking',,Netherlands,,Utrecht,,land_and_housing/housing_cooperative,,,,,housing_land,,,wikidata_land_trusts,Q134681157,,,,,,cooperative,,2,http://www.wikidata.org/entity/Q134681157,,
