id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
688832,208 Food Mutual Aid,US,United States,ID,Boise,413657322,IRS_EIN,,,,,cooperatives,K30,,ProPublica,413657322,,0.0,,43.6136,-116.2025,mutual_aid,tier_b,4,,,
688655,24 1 Community Land Trust,US,United States,MO,Saint Louis,275284861,IRS_EIN,,,,,housing_land,L20,,ProPublica,275284861,,0.0,,38.642574,-90.324189,nonprofit,tier_b,4,,,
689007,Access Community Health Center,US,United States,CA,Santa Ana,821598439,IRS_EIN,,,,,healthcare,E32,,ProPublica,821598439,,0.0,,33.75016,-117.857665,nonprofit,tier_b,8,,,
688513,Access Energy Cooperative,US,United States,IA,Mt Pleasant,420503322,IRS_EIN,,,,,cooperatives,,,ProPublica,420503322,,0.0,,42.0,-93.2,cooperative,tier_b,7,,,
688523,Adams Electric Cooperative,US,United States,IL,Camp Point,370147965,IRS_EIN,,,,,cooperatives,,,ProPublica,370147965,,0.0,,40.029285,-91.076926,cooperative,tier_b,6,,,
689146,Addison Court Housing Cooperative Inc,US,United States,CA,Berkeley,943255799,IRS_EIN,,,,,housing_land,L30,,ProPublica,943255799,,0.0,,37.8691,-122.2696,cooperative,tier_b,10,,,
689019,Adelante Community Health Center,US,United States,IL,Berwyn,474393365,IRS_EIN,,,,,healthcare,K40,,ProPublica,474393365,,0.0,,41.841819,-87.79075,nonprofit,tier_b,8,,,
689053,African Community Health Center Inc,US,United States,MD,Suitland,934375492,IRS_EIN,,,,,healthcare,E60,,ProPublica,934375492,,0.0,,38.842453,-76.922156,nonprofit,tier_b,8,,,
688570,Africatown Community Land Trust,US,United States,WA,Seattle,821710458,IRS_EIN,,,,,housing_land,L20,,ProPublica,821710458,,0.0,,47.611435,-122.330456,nonprofit,tier_b,4,,,
689045,Agape Community Health Center Inc,US,United States,FL,Jacksonville,161660966,IRS_EIN,,,,,healthcare,E30,,ProPublica,161660966,,0.0,,30.3163,-81.4175,nonprofit,tier_b,8,,,
688527,Agralite Electric Cooperative,US,United States,MN,Benson,410560428,IRS_EIN,,,,,cooperatives,,,ProPublica,410560428,,0.0,,45.312904,-95.576644,cooperative,tier_b,6,,,
688773,Agriculture For Community Restoration Economic Justice Susta,US,United States,MO,Saint Louis,922191450,IRS_EIN,,,,,conflict,K99,,ProPublica,922191450,,0.0,,38.642574,-90.324189,nonprofit,tier_b,3,,,
688780,Agroecology Commons,US,United States,CA,Berkeley,853343221,IRS_EIN,,,,,food,K20,,ProPublica,853343221,,0.0,,37.8691,-122.2696,nonprofit,tier_b,7,,,
688781,Agroecology Institute,US,United States,TX,Corp Christi,331686859,IRS_EIN,,,,,food,C99,,ProPublica,331686859,,0.0,,31.1,-97.6,research,tier_b,4,,,
689108,Aja Indigenous Peoples Rights Foundation,US,United States,NY,New York,821905130,IRS_EIN,,,,,democracy,P20,,ProPublica,821905130,,0.0,,40.74838,-73.996705,foundation,tier_b,4,,,
688711,Alabama Restorative Justice Center,US,United States,AL,Florence,932696326,IRS_EIN,,,,,conflict,P20,,ProPublica,932696326,,0.0,,34.830547,-87.655985,nonprofit,tier_b,4,,,
688581,Albany Community Land Trust,US,United States,NY,Albany,222908723,IRS_EIN,,,,,housing_land,L200,,ProPublica,222908723,,0.0,,42.6525,-73.7566,nonprofit,tier_b,4,,,
689099,All Inclusive Community Health Center,US,United States,CA,Burbank,274198722,IRS_EIN,,,,,healthcare,E32,,ProPublica,274198722,,0.0,,34.186238,-118.300898,nonprofit,tier_b,8,,,
688547,Alliance Cooperative Internationale,US,United States,,Belgium,981079526,IRS_EIN,,,,,cooperatives,Q12,,ProPublica,981079526,,0.0,,,,cooperative,tier_b,6,,,
689020,Alms Community Health Center,US,United States,TX,Grand Prairie,843440133,IRS_EIN,,,,,healthcare,E99,,ProPublica,843440133,,0.0,,32.76488,-97.01121,nonprofit,tier_b,8,,,
689028,Amanecer Community Health Center,US,United States,CA,Huntington Pk,932503847,IRS_EIN,,,,,healthcare,E20,,ProPublica,932503847,,0.0,,36.8,-119.4,nonprofit,tier_b,8,,,
688897,American Armed Forces Mutual Aid Association,US,United States,VA,Reston,530213841,IRS_EIN,,,,,cooperatives,,,ProPublica,530213841,,0.0,,38.96,-77.3456,mutual_aid,tier_b,3,,,
688674,Amherst Community Land Trust Inc,US,United States,MA,Amherst,471337183,IRS_EIN,,,,,housing_land,L21,,ProPublica,471337183,,0.0,,42.377017,-72.51565,nonprofit,tier_b,4,,,
689026,Aminas Community Health Center,US,United States,MA,Hyde Park,611621053,IRS_EIN,,,,,healthcare,Q30,,ProPublica,611621053,,0.0,,42.253989,-71.126052,nonprofit,tier_b,8,,,
688492,Appalachian Electric Cooperative,US,United States,TN,New Market,620116541,IRS_EIN,,,,,cooperatives,,,ProPublica,620116541,,0.0,,36.081037,-83.567253,cooperative,tier_b,6,,,
688864,Appalachian Mutual Aid Collective Foundation,US,United States,WV,Buckhannon,874243212,IRS_EIN,,,,,cooperatives,K30,,ProPublica,874243212,,0.0,,38.98407,-80.217824,mutual_aid,tier_b,6,,,
688985,Aria Community Health Center,US,United States,CA,Lemoore,770425496,IRS_EIN,,,,,healthcare,E30Z,,ProPublica,770425496,,0.0,,36.309535,-119.831017,nonprofit,tier_b,8,,,
688604,Arizona Community Land Trust,US,United States,AZ,Phoenix,462866657,IRS_EIN,,,,,housing_land,S20,,ProPublica,462866657,,0.0,,33.451,-112.0685,nonprofit,tier_b,4,,,
689003,Asher Community Health Center,US,United States,OR,Fossil,383692646,IRS_EIN,,,,,healthcare,E32,,ProPublica,383692646,,0.0,,44.985289,-120.206699,nonprofit,tier_b,8,,,
688664,Asheville Buncombe Community Land Trust,US,United States,NC,Asheville,831409504,IRS_EIN,,,,,housing_land,L20,,ProPublica,831409504,,0.0,,35.597075,-82.556533,nonprofit,tier_b,4,,,
688597,Ashland Community Land Trust,US,United States,OR,Ashland,936331678,IRS_EIN,,,,,housing_land,,,ProPublica,936331678,,0.0,,42.188509,-122.693033,nonprofit,tier_b,4,,,
688802,Auburn Mutual Aid,US,United States,WA,Auburn,884021404,IRS_EIN,,,,,cooperatives,K31,,ProPublica,884021404,,0.0,,47.316339,-122.270057,mutual_aid,tier_b,3,,,
688790,Austin Mutual Aid,US,United States,TX,Austin,862318976,IRS_EIN,,,,,cooperatives,P20,,ProPublica,862318976,,0.0,,30.210692,-97.942749,mutual_aid,tier_b,3,,,
688678,Avalon Community Land Trust Inc,US,United States,IN,Bloomington,921254674,IRS_EIN,,,,,housing_land,,,ProPublica,921254674,,0.0,,39.140057,-86.508262,nonprofit,tier_b,4,,,
689024,Avicenna Community Health Center,US,United States,IL,Urbana,270267757,IRS_EIN,,,,,healthcare,E30,,ProPublica,270267757,,0.0,,40.109522,-88.203631,nonprofit,tier_b,8,,,
688775,B E L O V E D Community Of Restorative Justice,US,United States,LA,Baton Rouge,611856040,IRS_EIN,,,,,conflict,O50,,ProPublica,611856040,,0.0,,30.450731,-91.186954,nonprofit,tier_b,5,,,
688623,Bakersfield Community Land Trust,US,United States,CA,Bakersfield,992908586,IRS_EIN,,,,,housing_land,L80,,ProPublica,992908586,,0.0,,35.386611,-119.017063,nonprofit,tier_b,4,,,
689112,Baltimore Green Justice Workers Cooperative,US,United States,MD,Baltimore,921652470,IRS_EIN,,,,,cooperatives,J22,,ProPublica,921652470,,0.0,,39.17185,-76.648287,cooperative,tier_b,7,,,
689069,Banyan Community Health Center Inc,US,United States,FL,Doral,273164934,IRS_EIN,,,,,healthcare,E32,,ProPublica,273164934,,0.0,,27.8,-81.6,nonprofit,tier_b,8,,,
688514,Barc Electric Cooperative,US,United States,VA,Millboro,540130127,IRS_EIN,,,,,cooperatives,,,ProPublica,540130127,,0.0,,38.005795,-79.640649,cooperative,tier_b,6,,,
688510,Barron Electric Cooperative,US,United States,WI,Barron,390150875,IRS_EIN,,,,,cooperatives,,,ProPublica,390150875,,0.0,,45.400535,-91.84996,cooperative,tier_b,6,,,
689079,Bartz Altadonna Community Health Center,US,United States,CA,Lancaster,273261289,IRS_EIN,,,,,healthcare,E32,,ProPublica,273261289,,0.0,,34.690888,-118.149129,nonprofit,tier_b,8,,,
688658,Bay Area Community Land Trust,US,United States,CA,Berkeley,205420298,IRS_EIN,,,,,housing_land,L20,,ProPublica,205420298,,0.0,,37.8691,-122.2696,nonprofit,tier_b,4,,,
688540,Bayfield Electric Cooperative,US,United States,WI,Iron River,390154234,IRS_EIN,,,,,cooperatives,,,ProPublica,390154234,,0.0,,46.578984,-91.421056,cooperative,tier_b,6,,,
688438,Beeyo Cooperative,US,United States,MN,Bloomington,352214875,IRS_EIN,,,,,cooperatives,E01,,ProPublica,352214875,,0.0,,46.4,-93.1,cooperative,tier_b,6,,,
688501,Beltrami Electric Cooperative,US,United States,MN,Bemidji,410144943,IRS_EIN,,,,,cooperatives,,,ProPublica,410144943,,0.0,,47.488071,-94.848809,cooperative,tier_b,6,,,
688990,Berks Community Health Center,US,United States,PA,Reading,273795179,IRS_EIN,,,,,healthcare,E32,,ProPublica,273795179,,0.0,,40.346621,-75.935132,nonprofit,tier_b,8,,,
688592,Berkshire Community Land Trust,US,United States,MA,Gt Barrington,473292381,IRS_EIN,,,,,housing_land,C20,,ProPublica,473292381,,0.0,,42.2,-71.5,nonprofit,tier_b,4,,,
688605,Berrytown Community Land Trust,US,United States,KY,Louisville,922949582,IRS_EIN,,,,,housing_land,L20,,ProPublica,922949582,,0.0,,38.2435,-85.7639,nonprofit,tier_b,4,,,
688978,Beth Abrams Center For Peace Arts Justice And The Environment,US,United States,CA,San Francisco,943323712,IRS_EIN,,,,,ecology,P200,,ProPublica,943323712,,0.0,,37.775,-122.4183,research,tier_b,2,,,
688661,Beverly Vermont Community Land Trust,US,United States,CA,Los Angeles,261117569,IRS_EIN,,,,,housing_land,L99,,ProPublica,261117569,,0.0,,33.973093,-118.247896,nonprofit,tier_b,4,,,
688750,Beyond Bars A Restorative Justice Center,US,United States,CA,Sacramento,884291662,IRS_EIN,,,,,conflict,F32,,ProPublica,884291662,,0.0,,38.5816,-121.4933,nonprofit,tier_b,4,,,
688647,Bhp Community Land Trust Inc,US,United States,FL,Ft Lauderdale,204202758,IRS_EIN,,,,,housing_land,L80,,ProPublica,204202758,,0.0,,27.8,-81.6,nonprofit,tier_b,4,,,
688865,Black Bear Mutual Aid Fund,US,United States,ME,Orono,923351493,IRS_EIN,,,,,cooperatives,W12,,ProPublica,923351493,,0.0,,44.883056,-68.6725,mutual_aid,tier_b,3,,,
688640,Black Land Access Community Land Trust Inc,US,United States,NY,Brooklyn,994884190,IRS_EIN,,,,,housing_land,S20,,ProPublica,994884190,,0.0,,40.694021,-73.99034,nonprofit,tier_b,4,,,
688522,Bledsoe Telephone Cooperative,US,United States,TN,Pikeville,620526657,IRS_EIN,,,,,cooperatives,,,ProPublica,620526657,,0.0,,35.640769,-85.207653,cooperative,tier_b,6,,,
