id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
909608,"Carmelita Gardens, Belize",,Belize,Cayo,Santa Familia Village,,,"status: Established (At least 4+ adults, 2+ years. type: Ecovillage (organized around ecology and sustainability.). open to membership: Yes",https://www.ic.org/directory/carmelita-gardens/,,,ecology,,,ic_directory,449542,,,,,,community_org,Ecovillage (organized around ecology and sustainability.),2,https://www.ic.org/directory/carmelita-gardens/,,
909625,Chikwa Ecovillage,,Malawi,Southern Region,Chikwawa,,,"status: Forming. type: Commune (organized around sharing almost everything.), Ecovillage (organized around ecology and sustainability.), Spiritual or Religious Community, Traditional or Indigenous Community. open to membership: Yes",https://www.ic.org/directory/chikwa-ecovillage/,,,recreation_arts,,,ic_directory,626954,,,,,,collective,"Commune (organized around sharing almost everything.), Ecovillage (organized around ecology and sustainability.), Spiritual or Religious Community, Traditional or Indigenous Community",5,https://www.ic.org/directory/chikwa-ecovillage/,,
909652,Common Ground Community in Belize,,Belize,Stann Creek,Stann Creek,,,"status: Forming. type: Ecovillage (organized around ecology and sustainability.), Transition Town or Eco-Neighborhood (focused on energy/resource resiliency). open to membership: Yes",https://www.ic.org/directory/common-ground-paraguay/,,,ecology,,,ic_directory,419293,,,,,,community_org,"Ecovillage (organized around ecology and sustainability.), Transition Town or Eco-Neighborhood (focused on energy/resource resiliency)",3,https://www.ic.org/directory/common-ground-paraguay/,,
909678,Cowboy Village,,Bosnia and Herzegovina,Bosnia and Herzegovina,Konjic,,,"status: Forming. type: Ecovillage (organized around ecology and sustainability.), Cohousing (individual homes within group owned property.), Unspecified, or Other, Traditional or Indigenous Community. open to membership: Yes",https://www.ic.org/directory/cowboy-village/,,,housing_land,,,ic_directory,536660,,,,,,cooperative,"Ecovillage (organized around ecology and sustainability.), Cohousing (individual homes within group owned property.), Unspecified, or Other, Traditional or Indigenous Community",9,https://www.ic.org/directory/cowboy-village/,,
909679,Cowboy Village community,,Bosnia and Herzegovina,Bosnia,Konjic,,,"status: Forming. type: Commune (organized around sharing almost everything.), Cohousing (individual homes within group owned property.), Unspecified, or Other, Traditional or Indigenous Community. open to membership: Yes",https://www.ic.org/directory/cowboy-village-community/,,,housing_land,,,ic_directory,540618,,,,,,cooperative,"Commune (organized around sharing almost everything.), Cohousing (individual homes within group owned property.), Unspecified, or Other, Traditional or Indigenous Community",8,https://www.ic.org/directory/cowboy-village-community/,,
909738,East-of-Eden [Nature Preserve-Ecovillage-Campus for Higher Learning],,Vanuatu,Espiritu Santo,Big Bay,,,"status: Established (At least 4+ adults, 2+ years. type: Commune (organized around sharing almost everything.), Ecovillage (organized around ecology and sustainability.), Shared Housing, Cohouseholding, or Coliving (multiple individuals sharing a dwelling.), Spiritual or Religious Community. open to membership: Yes",https://www.ic.org/directory/east-of-eden/,,,recreation_arts,,,ic_directory,81884,,,,,,cooperative,"Commune (organized around sharing almost everything.), Ecovillage (organized around ecology and sustainability.), Shared Housing, Cohouseholding, or Coliving (multiple individuals sharing a dwelling.), Spiritual or Religious Community",6,https://www.ic.org/directory/east-of-eden/,,
909845,Green Community for Peace and sustainability,,Moldova,Orhei,Orhei,,,"status: Forming. type: Commune (organized around sharing almost everything.), Ecovillage (organized around ecology and sustainability.), Cohousing (individual homes within group owned property.), Shared Housing, Cohouseholding, or Coliving (multiple individuals sharing a dwelling.), Spiritual or Religious Community, Transition Town or Eco-Neighborhood (focused on energy/resource resiliency), Traditional or Indigenous Community. open to membership: Yes",https://www.ic.org/directory/community-for-conscient-beings/,,,recreation_arts,,,ic_directory,513679,,,,,,cooperative,"Commune (organized around sharing almost everything.), Ecovillage (organized around ecology and sustainability.), Cohousing (individual homes within group owned property.), Shared Housing, Cohouseholding, or Coliving (multiple individuals sharing a dwelling.), Spiritual or Religious Community, Transition Town or Eco-Neighborhood (focused on energy/resource resiliency), Traditional or Indigenous Community",10,https://www.ic.org/directory/community-for-conscient-beings/,,
910067,MONTELIBERO,,Montenegro,Voluntaryist community,Pecurice,,,"status: Established (At least 4+ adults, 2+ years. type: Cohousing (individual homes within group owned property.), Transition Town or Eco-Neighborhood (focused on energy/resource resiliency). open to membership: Yes",https://www.ic.org/directory/montelibero/,,,housing_land,,,ic_directory,584652,,,,,,cooperative,"Cohousing (individual homes within group owned property.), Transition Town or Eco-Neighborhood (focused on energy/resource resiliency)",5,https://www.ic.org/directory/montelibero/,,
910072,Moralland Madagascar,,Madagascar,Ambatomilo,Ambatomilo,,,"status: Forming. type: Commune (organized around sharing almost everything.), Ecovillage (organized around ecology and sustainability.), Cohousing (individual homes within group owned property.), Shared Housing, Cohouseholding, or Coliving (multiple individuals sharing a dwelling.), Student Housing or Student Co-Op, Spiritual or Religious Community, Unspecified, or Other, Transition Town or Eco-Neighborhood (focused on energy/resource resiliency), Traditional or Indigenous Community. open to membership: Yes",https://www.ic.org/directory/moralland-madagascar/,,,recreation_arts,,,ic_directory,515578,,,,,,cooperative,"Commune (organized around sharing almost everything.), Ecovillage (organized around ecology and sustainability.), Cohousing (individual homes within group owned property.), Shared Housing, Cohouseholding, or Coliving (multiple individuals sharing a dwelling.), Student Housing or Student Co-Op, Spiritual or Religious Community, Unspecified, or Other, Transition Town or Eco-Neighborhood (focused on energy/resource resiliency), Traditional or Indigenous Community",10,https://www.ic.org/directory/moralland-madagascar/,,
910089,Myanmar Commune,,Myanmar,Kayin,Myawaddy,,,"status: Forming. type: Commune (organized around sharing almost everything.), Ecovillage (organized around ecology and sustainability.), Shared Housing, Cohouseholding, or Coliving (multiple individuals sharing a dwelling.), Traditional or Indigenous Community. open to membership: Yes",https://www.ic.org/directory/myanmar-commune/,,,housing_land,,,ic_directory,435315,,,,,,cooperative,"Commune (organized around sharing almost everything.), Ecovillage (organized around ecology and sustainability.), Shared Housing, Cohouseholding, or Coliving (multiple individuals sharing a dwelling.), Traditional or Indigenous Community",9,https://www.ic.org/directory/myanmar-commune/,,
